Player,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
A.J. Green,45.5,0.5,10.45,1.5,3.55,0.4235,1.25,3.0,0.4135,0.3,0.55,0.4845,0.5995,0.2,0.2,0.9475,0.2,1.05,1.2,0.55,0.2,0.05,0.25,0.9,4.45
A.J. Lawson,18.0,0.0,6.05,1.325,2.475,0.6085,0.425,1.175,0.265,0.9,1.325,0.705,0.6798,0.15,0.4,0.288,0.275,0.975,1.25,0.175,0.1,0.025,0.175,0.725,3.2
AJ Griffin,46.0,6.0,14.05,2.15,5.25,0.3775,0.95,2.8,0.323,1.2,2.5,0.442,0.4655,0.35,0.4,0.947,0.3,1.2,1.5,0.65,0.35,0.15,0.5,0.75,5.65
Aaron Gordon,52.6667,52.6667,29.4,5.2333,10.3333,0.5067,1.0333,3.0833,0.3247,4.1833,7.2667,0.5777,0.5553,2.2,3.4,0.6657,1.85,4.1333,6.0,3.1,0.7,0.6833,1.7333,1.8667,13.7333
Aaron Henry,6.0,0.0,2.8,0.2,0.8,0.2,0.0,0.2,0.0,0.2,0.7,0.25,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.3,0.3,0.3,0.3
Aaron Holiday,55.5,7.5,16.0333,2.2667,5.2667,0.4298,0.7667,1.9667,0.3883,1.5167,3.3,0.4565,0.5025,0.85,1.0167,0.8652,0.3667,1.3333,1.6833,2.1333,0.65,0.1333,0.95,1.4667,6.15
Aaron Nesmith,60.75,27.75,19.525,2.75,6.075,0.4392,1.25,3.35,0.3562,1.475,2.7,0.558,0.5408,1.0,1.225,0.8032,0.65,2.35,3.025,0.925,0.6,0.375,0.75,2.425,7.7
Aaron Wiggins,66.0,17.6667,19.4667,2.8333,5.5667,0.5123,0.7667,2.0333,0.3963,2.0667,3.5333,0.5813,0.583,0.9,1.2,0.783,0.9333,2.0333,3.0,1.2,0.6333,0.2,0.8667,1.5667,7.3333
Abdel Nader,19.0,0.0,12.6,1.65,3.65,0.417,0.55,1.4,0.3525,1.1,2.25,0.4575,0.4845,0.8,1.1,0.6785,0.3,1.95,2.25,0.65,0.5,0.35,0.8,1.4,4.55
Adam Flagler,2.0,0.0,7.0,0.5,3.5,0.143,0.5,3.0,0.167,0.0,0.5,0.0,0.214,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.5
Adam Mokoka,14.0,0.0,4.0,0.5,1.4,0.368,0.1,0.7,0.1,0.4,0.6,0.667,0.395,0.0,0.1,0.0,0.1,0.3,0.4,0.4,0.1,0.1,0.4,0.4,1.1
Adama Sanogo,9.0,0.0,7.3,1.6,3.0,0.519,0.0,0.0,0.0,1.6,3.0,0.519,0.519,0.9,1.3,0.667,2.1,1.9,4.0,0.0,0.1,0.0,0.6,0.6,4.0
Ade Murkey,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Admiral Schofield,32.6667,0.3333,9.4,1.1,2.6,0.4183,0.5333,1.6,0.3427,0.5667,1.0,0.5353,0.5227,0.3,0.3667,0.571,0.3667,1.2,1.5667,0.6,0.1,0.0667,0.4,1.1667,3.0333
Ahmad Caver,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Al Horford,56.25,48.25,28.575,4.15,8.775,0.476,1.825,4.6,0.3922,2.325,4.175,0.5722,0.5853,0.6,0.75,0.8102,1.275,5.475,6.75,3.1,0.675,1.05,0.8,1.725,10.7
Al-Farouq Aminu,15.3333,9.3333,17.2333,1.3667,3.7333,0.3293,0.3,1.4667,0.203,1.0667,2.2667,0.4113,0.3727,0.7667,0.9333,0.814,0.8333,3.6,4.4667,1.1,0.7,0.3,1.0667,1.2667,3.8
Alec Burks,52.1667,9.8333,21.5167,3.4667,8.8833,0.3862,1.8667,4.8,0.3852,1.6,4.0833,0.3865,0.4903,2.3,2.7333,0.8317,0.4167,2.7833,3.2,1.8667,0.5833,0.2167,0.8833,1.6333,11.1167
Aleem Ford,5.0,0.0,14.8,1.2,4.0,0.3,0.4,3.0,0.133,0.8,1.0,0.8,0.35,0.0,0.0,0.0,0.4,2.6,3.0,0.4,0.2,0.0,0.8,1.4,2.8
Aleksej Pokusevski,32.6667,10.8333,17.45,2.3333,5.9333,0.3778,0.8333,2.7333,0.3012,1.4833,3.2167,0.4548,0.4482,0.8,1.1167,0.676,0.8,3.0667,3.8667,1.6167,0.5,0.6833,1.15,1.1,6.2833
Alen Smailagić,15.0,1.0,5.6,0.7,1.8,0.407,0.3,0.7,0.4,0.5,1.1,0.412,0.481,0.1,0.4,0.333,0.4,0.7,1.1,0.3,0.2,0.3,0.3,0.7,1.9
Alex Caruso,59.25,29.25,25.3,2.575,5.85,0.4392,1.15,3.125,0.3765,1.375,2.75,0.5112,0.5375,1.025,1.4,0.752,0.7,2.625,3.3,3.3,1.5,0.6,1.3,2.35,7.375
Alex Fudge,4.0,0.0,7.7333,1.2667,2.8333,0.3743,0.2333,0.9333,0.1777,1.0333,1.9,0.4723,0.4037,0.2667,0.2667,0.6667,0.7333,0.2333,0.9333,0.0,0.6667,0.0,0.3667,0.3667,3.0
Alex Len,40.1667,16.0,12.2333,1.7167,2.9667,0.5697,0.1333,0.3833,0.2282,1.5833,2.6167,0.5952,0.6015,0.7667,1.25,0.6153,0.9667,2.2167,3.2,0.7833,0.2333,0.7667,0.85,1.7667,4.3667
Alfonzo McKinnie,28.0,1.5,9.35,1.3,3.0,0.4545,0.45,1.3,0.3715,0.85,1.7,0.517,0.5345,0.2,0.5,0.403,0.7,1.0,1.65,0.25,0.15,0.1,0.25,1.1,3.3
Alize Johnson,11.3333,0.0,7.65,1.0,2.15,0.4465,0.0167,0.3,0.0278,1.0,1.8333,0.5393,0.4478,0.4,0.5667,0.5673,1.2833,2.0,3.3,0.3833,0.25,0.05,0.6333,0.7,2.3667
Alondes Williams,4.0,0.0,3.65,0.15,0.55,0.125,0.0,0.3,0.0,0.15,0.3,0.25,0.125,0.05,0.05,0.5,0.0,0.55,0.55,0.0,0.0,0.05,1.15,0.65,0.35
Alperen Şengün,70.0,49.3333,27.3667,5.9333,11.2,0.5213,0.4,1.4,0.2927,5.5,9.8,0.5587,0.54,2.9667,4.2,0.7063,2.6667,5.2333,7.9333,3.8333,0.9667,0.8333,2.4,3.2333,15.1667
Amari Bailey,10.0,0.0,6.5,0.8,2.4,0.333,0.1,0.8,0.125,0.7,1.6,0.438,0.354,0.6,0.7,0.857,0.6,0.3,0.9,0.7,0.3,0.0,0.4,0.2,2.3
Amen Thompson,62.0,23.0,22.4,3.9,7.2,0.536,0.1,0.9,0.138,3.7,6.3,0.595,0.545,1.7,2.5,0.684,2.4,4.2,6.6,2.6,1.3,0.6,1.5,2.3,9.5
Amida Brimah,5.0,0.0,5.8,1.0,1.6,0.625,0.0,0.0,0.0,1.0,1.6,0.625,0.625,0.6,0.6,1.0,0.4,1.2,1.6,0.2,0.0,1.0,0.8,0.8,2.6
Amir Coffey,58.25,13.25,16.275,1.9,4.25,0.437,0.775,2.1,0.361,1.125,2.175,0.5025,0.525,1.0,1.225,0.8028,0.325,1.425,1.775,1.125,0.375,0.125,0.475,1.125,5.55
Anderson Varejão,5.0,0.0,7.2,0.8,3.2,0.25,0.0,0.2,0.0,0.8,3.0,0.267,0.25,1.0,1.8,0.556,1.4,2.6,4.0,0.6,0.0,0.4,0.2,0.6,2.6
Andre Drummond,48.0,21.75,21.3625,4.3875,8.225,0.5472,0.0,0.0625,0.0,4.3875,8.1375,0.5521,0.5472,1.8125,3.1625,0.5629,3.25,6.725,9.9625,1.525,1.1,0.8875,1.8375,2.675,10.5625
Andre Iguodala,34.0,1.6667,18.3,1.3,3.2333,0.41,0.5333,2.1333,0.2237,0.7667,1.1,0.7157,0.4847,0.4,0.5333,0.6917,0.5667,2.4,2.9333,2.8,0.7667,0.5667,1.0333,1.3,3.5
Andre Jackson Jr.,57.0,8.0,10.0,0.9,1.8,0.5,0.3,0.8,0.37,0.6,0.9,0.611,0.585,0.1,0.2,0.727,0.8,1.2,2.0,0.9,0.3,0.1,0.5,1.6,2.2
Andre Roberson,5.0,0.0,12.6,0.4,2.8,0.143,0.2,1.6,0.125,0.2,1.2,0.167,0.179,0.2,0.4,0.5,1.4,1.6,3.0,0.8,0.6,0.2,0.4,0.8,1.2
Andrew Funk,5.0,0.0,2.6,0.0,0.8,0.0,0.0,0.6,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0
