player,location,team,opponent,team_score,opponent_score,win,game_id,PCA1_1,PCA2_1,PCA2_2,PCA2_3,PCA3_1,PCA3_2,PCA3_3,PCA4_1,PCA4_2,PCA5_1,PCA6_1,PCA6_2,PCA6_3
Max Strus,Away,CLE,BRK,114,113,1,4e15874a-c416-4065-8dfc-23b46fc07c07,5.18161144962302,-0.041392310116238826,0.563716732570754,-0.45687742554562505,3.2222385502878335,0.23748845828361245,-2.6136726542166757,2.2876669747353198,1.015040658693907,0.9061812267953677,1.6548996041493098,1.3777487156278077,-0.015040882633311575
Donovan Mitchell,Away,CLE,BRK,114,113,1,4e15874a-c416-4065-8dfc-23b46fc07c07,4.613965342328352,2.6926025671821865,3.6478389610841018,0.3473668726414654,0.8141122850504071,0.5796767302284023,0.6680620388609533,1.4908916612216272,0.23052826058040976,0.3534544747217859,1.8513534744996896,1.3899282033549953,-0.8688104748242839
Evan Mobley,Away,CLE,BRK,114,113,1,4e15874a-c416-4065-8dfc-23b46fc07c07,-0.1067056692093171,-1.1683290563624766,-0.18814512056200525,-0.15936328152846352,1.6832832637032116,2.005609585456739,-0.3448919348838519,-0.19933910466893143,-1.2878882208475713,-1.2921643532538019,0.7008557498108159,-0.41314052477091545,0.5001617320865761
Darius Garland,Away,CLE,BRK,114,113,1,4e15874a-c416-4065-8dfc-23b46fc07c07,1.234013438430604,3.7745686127015827,-1.0587160537699907,-1.3153480969759164,-0.995659993924996,-0.4126810776278718,0.3415169690545276,0.6282834886080446,-0.0898253132044417,0.9681507468333044,1.298396680639821,-0.39650721249559895,0.7160704005327132
Isaac Okoro,Away,CLE,BRK,114,113,1,4e15874a-c416-4065-8dfc-23b46fc07c07,1.3822764292682483,2.4560145830581033,0.35373811284884554,-1.1213215589718242,1.568808735437028,0.3191983832399399,1.3111611807489645,1.983878925715795,0.06382484166580858,2.302217627709851,1.1480174661112625,0.6869837983503271,-0.33876716509658183
Caris LeVert,Away,CLE,BRK,114,113,1,4e15874a-c416-4065-8dfc-23b46fc07c07,2.0048886522143405,0.3278002071057035,0.9463749129952611,1.163053699398572,-0.2027804854879289,1.077332703896338,-0.644620988104334,-0.27616071466380243,0.8726994951430381,-1.2921643532538019,0.9797542683009364,-1.0415076736451332,-0.19306520278402453
Georges Niang,Away,CLE,BRK,114,113,1,4e15874a-c416-4065-8dfc-23b46fc07c07,-1.5602508717016523,-1.4551711265276928,-0.1554132006216936,-0.5042954536897036,0.546596064907979,-1.0509930597604047,0.884915821949363,-1.9828644743160133,2.0247599289988734,-1.2921643532538019,-0.6398841896590922,-1.7078780446394675,0.383366263647907
Damian Jones,Away,CLE,BRK,114,113,1,4e15874a-c416-4065-8dfc-23b46fc07c07,-1.5112752415561657,1.3231096134979456,-2.7070631254733777,-1.0105841440049859,-1.983585567874925,-0.0737489911992379,-0.08998976283168154,2.278982567602845,-2.388387629537083,-1.2921643532538019,-0.35333751740519614,-1.0456857712461392,-0.05069936053298642
Ty Jerome,Away,CLE,BRK,114,113,1,4e15874a-c416-4065-8dfc-23b46fc07c07,-1.8293876832691869,-1.8367892931545775,0.10732902731706252,-0.11174211226614275,-1.983585567874925,-0.0737489911992379,-0.08998976283168154,2.9828141328497417,-2.581826287582978,-1.2921643532538019,-0.9988866171244652,-0.8478159033618663,-0.08021328460132063
Emoni Bates,Away,CLE,BRK,114,113,1,4e15874a-c416-4065-8dfc-23b46fc07c07,-2.147500124982208,-2.0275983764680197,0.23870014128644057,0.08453455844563763,-2.5889650391617227,0.17476536399755174,0.7149011738075323,-2.9891366794415717,-0.17103693633369385,-1.2921643532538019,-3.0572406758914688,0.832265759610711,-0.16251704880014295
