player,location,team,opponent,team_score,opponent_score,win,game_id,PCA1_1,PCA2_1,PCA2_2,PCA2_3,PCA2_4,PCA3_1,PCA3_2,PCA3_3,PCA4_1,PCA4_2,PCA5_1,PCA6_1,PCA6_2,PCA6_3
Nikola JokiÄ,Home,DEN,LAL,119,107,1,6f29b116-9da4-4c9c-98a8-f5c909d94293,4.553785675671721,3.2876204467879533,0.13823962001566972,-1.8401287133484114,-0.6479155054371526,4.315839366804782,-0.507802277347676,-0.24426395540348206,1.5730006681084032,-0.10475988360271342,1.1100456590040855,2.4046398593800205,1.279617407113826,-0.0861013848182291
Kentavious Caldwell-Pope,Home,DEN,LAL,119,107,1,6f29b116-9da4-4c9c-98a8-f5c909d94293,2.189472221795241,2.715053848913534,0.892656476400042,2.235633340421054,2.395112496633065,-0.4155202263313134,0.9248344392430922,0.2770613621532424,2.1881493464044905,-0.1614691457966334,1.2078046953440857,1.5598816480901312,0.468512543999255,0.3542584676524959
Aaron Gordon,Home,DEN,LAL,119,107,1,6f29b116-9da4-4c9c-98a8-f5c909d94293,1.2345874845942693,0.5638410928748516,1.719252442224702,-0.6532767286995131,-0.7347081186990703,1.7997872807475923,0.26395914587757197,0.13044685850558072,1.8908959007974555,-0.5449310291106273,-1.2041518504187765,1.2210035882597816,0.697040318948393,-0.24641865247716727
Jamal Murray,Home,DEN,LAL,119,107,1,6f29b116-9da4-4c9c-98a8-f5c909d94293,2.9719777907584617,1.207149361005713,-0.5061008660213279,-1.0620660298514262,0.7228474881507849,-0.5649721204669433,0.8889083365075772,-0.6461805565749785,2.262907880726189,0.14987661251819048,1.190750024794146,1.3235042284109686,0.2159131083387728,-0.3171904246891953
Michael Porter Jr.,Home,DEN,LAL,119,107,1,6f29b116-9da4-4c9c-98a8-f5c909d94293,2.4372908828733397,0.05157859367620824,1.70346572394594,0.12812491868974743,0.21986846847758354,3.709363729072228,-1.8327192289040557,-0.7613008522901825,0.6714621256116909,1.084254587293793,-1.2041518504187765,1.316652880276708,0.4581338898881775,0.6216960537192109
Reggie Jackson,Home,DEN,LAL,119,107,1,6f29b116-9da4-4c9c-98a8-f5c909d94293,0.9614988153694795,0.17526386765175256,-0.18881556860012202,1.236173999728669,-0.9443529573755371,-0.3619515773649678,-0.6336371263607812,-0.7627581415729715,0.7315571084905085,1.1534451339741898,-1.2041518504187765,0.918714419360538,-0.040213757304077634,0.9746862806589082
Christian Braun,Home,DEN,LAL,119,107,1,6f29b116-9da4-4c9c-98a8-f5c909d94293,-0.8564962210323795,-0.164443330173249,-0.7257166406602779,0.07657531797431312,-0.29106040479429046,0.5413475303637217,1.006577498566422,0.12273058139701565,-0.16141905112966476,-0.5598547306848559,0.6489099547793488,0.460017877030754,-0.2742263280756257,0.475954063628569
Zeke Nnaji,Home,DEN,LAL,119,107,1,6f29b116-9da4-4c9c-98a8-f5c909d94293,-1.1822989124233763,-0.01655623698272241,-0.979179055735696,0.5638831549649823,0.3610256424324982,-1.7260447845790718,-0.11077591953559233,-0.03121043387757368,-0.1374659883644391,-0.11708593820851378,1.8637535626494555,0.0023230353273534466,-1.1502526103221173,0.18443753836971485
Peyton Watson,Home,DEN,LAL,119,107,1,6f29b116-9da4-4c9c-98a8-f5c909d94293,-0.5755012995925816,-0.6289308811751827,-1.0975397204724693,1.1245181394350559,-0.13928938607304706,-1.1600815670898474,2.1227586520186326,-0.2409159465616734,0.7917700307439579,2.2181886213305604,-1.2041518504187765,-0.005103235088598098,-0.7330512244740222,0.36069874076856
Jalen Pickett,Home,DEN,LAL,119,107,1,6f29b116-9da4-4c9c-98a8-f5c909d94293,-1.5929453436187397,-1.739247182831515,0.010097677348375038,-0.1541415876248048,-0.30083794122915997,-1.7260447845790718,-0.11077591953559233,-0.03121043387757368,2.8589170879573222,-2.3723512499474855,-1.2041518504187765,2.3502211483630213,1.6250444621742026,-3.2401877392980243
Collin Gillespie,Home,DEN,LAL,119,107,1,6f29b116-9da4-4c9c-98a8-f5c909d94293,-1.8973738237025823,-1.739247182831515,0.010097677348375038,-0.1541415876248048,-0.30083794122915997,-1.7260447845790718,-0.11077591953559233,-0.03121043387757368,-2.6648560434597863,-0.23951144567566177,-1.2041518504187765,-1.2359264379781094,-0.555791149265971,0.4704265416687862
Braxton Key,Home,DEN,LAL,119,107,1,6f29b116-9da4-4c9c-98a8-f5c909d94293,-1.8973738237025823,-1.739247182831515,0.010097677348375038,-0.1541415876248048,-0.30083794122915997,-1.7260447845790718,-0.11077591953559233,-0.03121043387757368,-2.6648560434597863,-0.23951144567566177,-1.2041518504187765,-1.2259655828402962,-0.5053625565185226,0.42216204559299664
Justin Holiday,Home,DEN,LAL,119,107,1,6f29b116-9da4-4c9c-98a8-f5c909d94293,-1.8973738237025823,-1.739247182831515,0.010097677348375038,-0.1541415876248048,-0.30083794122915997,-2.33442510567548,-0.12524147112659734,0.4599210276564779,-2.6648560434597863,-0.23951144567566177,-1.2041518504187765,-2.5085461074395017,0.7279403824174387,0.07005446168843027
DeAndre Jordan,Home,DEN,LAL,119,107,1,6f29b116-9da4-4c9c-98a8-f5c909d94293,-1.8973738237025823,-1.739247182831515,0.010097677348375038,-0.1541415876248048,-0.30083794122915997,-2.33442510567548,-0.12524147112659734,0.4599210276564779,-2.6648560434597863,-0.23951144567566177,-1.2041518504187765,-2.5085461074395017,0.7279403824174387,0.07005446168843027
Julian Strawther,Home,DEN,LAL,119,107,1,6f29b116-9da4-4c9c-98a8-f5c909d94293,-1.8973738237025823,-1.739247182831515,0.010097677348375038,-0.1541415876248048,-0.30083794122915997,-2.33442510567548,-0.12524147112659734,0.4599210276564779,-2.6648560434597863,-0.23951144567566177,-1.2041518504187765,-2.5085461074395017,0.7279403824174387,0.07005446168843027
