player,location,team,opponent,team_score,opponent_score,win,game_id,PCA1_1,PCA2_1,PCA2_2,PCA2_3,PCA3_1,PCA3_2,PCA3_3,PCA4_1,PCA4_2,PCA5_1,PCA6_1,PCA6_2,PCA6_3
Cade Cunningham,Away,DET,MIA,102,103,0,9e2fa9f0-1114-4a88-acd8-b5ac9538d191,6.301432496998622,4.104152642418165,-1.0265388150855277,-1.9755529196854937,-0.40310170072487467,0.8665941472417028,-0.7661160878960802,1.2235524244055522,0.19253713171466202,-1.361847113840946,1.9074382628016158,1.492911118977361,-0.5121873857592197
Isaiah Stewart,Away,DET,MIA,102,103,0,9e2fa9f0-1114-4a88-acd8-b5ac9538d191,1.5430731681972907,-0.2316068813637656,-0.7761008553116379,0.08623620099584593,4.7493413018354715,-1.722721875088299,2.327428949985177,1.9527208520888704,0.2156966552760867,-1.361847113840946,0.6350420087358727,1.3440767608801203,0.5024504529388408
Jalen Duren,Away,DET,MIA,102,103,0,9e2fa9f0-1114-4a88-acd8-b5ac9538d191,0.9131173368535531,2.062707553151671,-2.0787293672384974,0.6876805049168019,6.717635067068534,3.9001930905583007,1.6613961334231524,1.2626048043206715,-1.8559160541474142,0.2794077374919452,1.0892068537007242,0.9648063830394996,-0.5785808639029368
Killian Hayes,Away,DET,MIA,102,103,0,9e2fa9f0-1114-4a88-acd8-b5ac9538d191,0.9293556505969649,1.2463380691988106,1.8861344973128091,-0.06174726796274539,-1.1737354565187652,1.2349680006624635,-0.385141260443504,-0.2488529069531459,0.3138282197345782,0.9018001686378705,0.9402711286365566,0.3455843063966877,0.5731429644230982
Ausar Thompson,Away,DET,MIA,102,103,0,9e2fa9f0-1114-4a88-acd8-b5ac9538d191,-0.5492279730655921,0.5071958583420796,-1.2436902464313917,0.2878875959596787,4.039776666132061,6.606279499971184,0.2753291728106036,-0.5343158784956594,0.884507629496475,0.25544228434562355,0.8605883579217825,-0.4664684197254079,-0.8631201338851506
Alec Burks,Away,DET,MIA,102,103,0,9e2fa9f0-1114-4a88-acd8-b5ac9538d191,0.6279300458964613,-1.8087601933756725,0.0030011615235539728,-0.031196642239947434,0.7491291403154119,0.6065471181075496,-1.3481244068150733,0.31687222675064125,1.3735638099424443,0.2143322331739072,0.2786175618685151,0.6049555075019888,1.3167537901734743
Jaden Ivey,Away,DET,MIA,102,103,0,9e2fa9f0-1114-4a88-acd8-b5ac9538d191,-0.8653972172047352,1.434473624334973,-1.7606035155361248,0.5911942291991841,-0.9103544131593924,-0.4929834161730395,-0.5696356041287807,-1.4434825792829546,0.14010018455107348,1.1062084786305715,1.0351636740738142,-1.483345360625716,1.7085905618368402
Marvin Bagley III,Away,DET,MIA,102,103,0,9e2fa9f0-1114-4a88-acd8-b5ac9538d191,-0.9641752844223789,0.4099203330824544,-1.0687978795313213,-0.570775383744442,3.591833516939804,0.23757123583369275,-0.04417605100303908,3.0320168612172744,-2.5274432023600606,1.526566358272528,-0.3204131591740344,1.8216208501393558,-0.6106134615953505
Joe Harris,Away,DET,MIA,102,103,0,9e2fa9f0-1114-4a88-acd8-b5ac9538d191,-1.6328511984834433,-1.595102025386712,-0.09565017286599438,0.10135442572512848,-2.003212362991835,-0.04389427618268539,-0.03309837265401037,-2.1530608066624346,2.5296832350679677,-1.361847113840946,-0.2624115485279796,-1.615941110189929,1.0604159430025082
Marcus Sasser,Away,DET,MIA,102,103,0,9e2fa9f0-1114-4a88-acd8-b5ac9538d191,0.21019805311371614,-0.5146101902805688,-0.7413316612899773,0.07840678850142843,-0.5361178095636765,-0.6737519174755803,-0.7649289094600946,3.697319740573216,0.9797383172489417,-1.361847113840946,-0.12159598689885145,1.4975661244825968,-0.40635515300385217
Malcolm Cazalon,Away,DET,MIA,102,103,0,9e2fa9f0-1114-4a88-acd8-b5ac9538d191,-2.098541916505564,-2.022418361364633,0.10165249591310233,-0.16374771020502335,-2.5947635665321283,0.09815189982021442,0.6948876692908809,-2.850099149177322,-0.22531762700422853,-1.361847113840946,-3.00159642592464,-0.12622112932033433,-0.306938448333415
Jared Rhoden,Away,DET,MIA,102,103,0,9e2fa9f0-1114-4a88-acd8-b5ac9538d191,-2.098541916505564,-2.022418361364633,0.10165249591310233,-0.16374771020502335,-2.5947635665321283,0.09815189982021442,0.6948876692908809,-2.850099149177322,-0.22531762700422853,-1.361847113840946,-3.00159642592464,-0.12622112932033433,-0.306938448333415
Stanley Umude,Away,DET,MIA,102,103,0,9e2fa9f0-1114-4a88-acd8-b5ac9538d191,-2.098541916505564,-2.022418361364633,0.10165249591310233,-0.16374771020502335,-2.5947635665321283,0.09815189982021442,0.6948876692908809,-2.850099149177322,-0.22531762700422853,-1.361847113840946,-3.00159642592464,-0.12622112932033433,-0.306938448333415
James Wiseman,Away,DET,MIA,102,103,0,9e2fa9f0-1114-4a88-acd8-b5ac9538d191,-2.098541916505564,-2.022418361364633,0.10165249591310233,-0.16374771020502335,-2.5947635665321283,0.09815189982021442,0.6948876692908809,-2.850099149177322,-0.22531762700422853,-1.361847113840946,-3.00159642592464,-0.12622112932033433,-0.306938448333415
