player,location,team,opponent,team_score,opponent_score,win,game_id,PCA1_1,PCA2_1,PCA2_2,PCA2_3,PCA3_1,PCA3_2,PCA3_3,PCA4_1,PCA4_2,PCA5_1,PCA6_1,PCA6_2,PCA6_3
Herbert Jones,Away,NOP,MEM,111,104,1,e76f1da9-93f4-4b52-8433-de77db1067a2,0.7006736011849758,1.544466916626203,-0.3995594658007567,1.237648596769979,2.165689923595673,0.2931995285877835,0.6116402784654147,1.4388105543369758,0.4070824808716191,1.7941823617808694,1.0428332116769514,0.08539320897176571,-0.23864409620052654
CJ McCollum,Away,NOP,MEM,111,104,1,e76f1da9-93f4-4b52-8433-de77db1067a2,4.55539715313089,2.584031333907386,0.06464778014483549,-0.7982740674222274,0.09112359174193345,0.9349976935692507,0.12397360486065538,1.8982948216039663,0.9687998201905466,0.7914339940875667,1.4289693926747924,0.5674650929038183,-1.1176872055858107
Brandon Ingram,Away,NOP,MEM,111,104,1,e76f1da9-93f4-4b52-8433-de77db1067a2,1.696537738343696,3.7535732695564477,-0.3526752394911365,0.6259061818523531,0.882424322306913,-0.4101045898472883,-1.901973838861583,-0.4093963445516206,-0.7077185852823281,2.3895791080874207,1.571894529852171,-0.8311371843053981,-0.01053849682887134
Zion Williamson,Away,NOP,MEM,111,104,1,e76f1da9-93f4-4b52-8433-de77db1067a2,1.7209456064288853,0.5838707788767726,-1.2119618812992419,0.620500786006573,1.7183097856021994,-1.4548892035746805,1.4926781052488165,0.24460192207061823,-1.4597643212243776,2.5496273832078193,1.4015219611919978,-0.8207732177020842,-0.6884947302260117
Jonas ValanÄiÅ«nas,Away,NOP,MEM,111,104,1,e76f1da9-93f4-4b52-8433-de77db1067a2,0.6998677805836037,0.0511775766726011,-0.7673027231930121,2.0488561252256976,4.025045619144443,0.7931723927036372,-3.039981270821727,1.7584525127305206,0.5768776948468658,0.9881868108293154,0.8701662985782975,0.8840245484462139,0.7041129375663004
Dyson Daniels,Away,NOP,MEM,111,104,1,e76f1da9-93f4-4b52-8433-de77db1067a2,-0.7523225311869756,1.239285946362427,1.744859883915771,1.7057398136285549,1.535392603999789,0.7477563389344376,1.2015267625709167,-0.05267493303771001,-0.8630888047039872,-1.360844591911482,0.24083637744461364,-0.48106379028020285,-0.0386920110139253
Larry Nance Jr.,Away,NOP,MEM,111,104,1,e76f1da9-93f4-4b52-8433-de77db1067a2,-1.6868438697428774,0.444355142213554,0.9608252876233814,2.961001326920067,3.2257107198057757,-1.3710072111534548,-1.4755023372428686,-0.35123534906509546,-1.244840279760974,-1.360844591911482,-0.3190857265968869,-0.7087097111727546,0.05929559460433564
Matt Ryan,Away,NOP,MEM,111,104,1,e76f1da9-93f4-4b52-8433-de77db1067a2,0.8427411059373708,-0.9978942799258328,-0.5584118036790793,-0.4738478451963837,-1.5236898457777315,-0.2341628535310079,-0.325751530738293,2.312897085557192,1.6727515733501683,-1.360844591911482,0.4188946375902082,1.4524700656615028,0.7398156767855945
Kira Lewis Jr.,Away,NOP,MEM,111,104,1,e76f1da9-93f4-4b52-8433-de77db1067a2,-1.5949707466779497,-1.0244667433658583,-0.2734291632276538,1.576139522655392,-1.5057465653855941,2.5229409063431705,0.8417197547284686,-2.5896548548656906,1.599126255098416,-1.360844591911482,-0.4031951212258317,-1.4476326975370541,1.2059096792127122
Jordan Hawkins,Away,NOP,MEM,111,104,1,e76f1da9-93f4-4b52-8433-de77db1067a2,-1.111603623833259,-0.17749654227044445,-1.0356600276082926,-1.2207355578332413,-2.213045986313064,-0.11060689822414135,0.03128379108614076,2.4699887497486492,1.6154771971089645,-1.360844591911482,-0.3374655509025178,1.0717039063336598,0.5537174053803257
Kaiser Gates,Away,NOP,MEM,111,104,1,e76f1da9-93f4-4b52-8433-de77db1067a2,-2.0887759887185737,-2.110243386711606,-0.0026392770588476206,-0.01840258416296726,-2.8625441705897225,0.009041194353200483,0.40743796064444454,-3.0406052915498494,-0.19593998816810032,-1.360844591911482,-3.047068993520961,0.5342616054372569,-0.1284789860248005
E.J. Liddell,Away,NOP,MEM,111,104,1,e76f1da9-93f4-4b52-8433-de77db1067a2,-2.0887759887185737,-2.110243386711606,-0.0026392770588476206,-0.01840258416296726,-2.8625441705897225,0.009041194353200483,0.40743796064444454,-3.0406052915498494,-0.19593998816810032,-1.360844591911482,-3.047068993520961,0.5342616054372569,-0.1284789860248005
Cody Zeller,Away,NOP,MEM,111,104,1,e76f1da9-93f4-4b52-8433-de77db1067a2,-2.0887759887185737,-2.110243386711606,-0.0026392770588476206,-0.01840258416296726,-2.8625441705897225,0.009041194353200483,0.40743796064444454,-3.0406052915498494,-0.19593998816810032,-1.360844591911482,-3.047068993520961,0.5342616054372569,-0.1284789860248005
Brandon Ingram,Home,NOP,NYK,96,87,1,1dcd8d3b-8f4f-4ca2-b2af-05895a99b1af,2.8127873212615726,2.731433594255267,-0.8915876170635615,1.5786367871031457,1.1164780989240626,-0.8577127955213839,-0.2327682034647897,1.2776089161122528,-0.7504828647474909,1.2884922086199881,1.8118639775469525,0.37351215761873946,-0.34234727821832334
CJ McCollum,Home,NOP,NYK,96,87,1,1dcd8d3b-8f4f-4ca2-b2af-05895a99b1af,1.401827136839272,3.486827296094781,2.2768788459525977,-2.052759146229493,-1.0069606783250713,-0.22121532603593835,-0.7201727549496633,0.38707317370825334,0.902317260201064,0.919604879850499,1.3021305317977339,1.6473977029880373,0.1474747585400334
Zion Williamson,Home,NOP,NYK,96,87,1,1dcd8d3b-8f4f-4ca2-b2af-05895a99b1af,2.191930343716036,-0.5934064609616727,0.46538480043318703,-1.052545916618055,0.16930150265736052,-0.5826771300619211,-0.4820352004435536,1.046088832312126,-1.7874600312615654,-0.8253661514531326,1.575288884993199,1.3675784727497489,-0.48701406360796934
Herbert Jones,Home,NOP,NYK,96,87,1,1dcd8d3b-8f4f-4ca2-b2af-05895a99b1af,0.2531247505733607,0.16743760860586243,-0.9014653339015926,0.885526486887793,-0.025142332455806007,4.451391125843227,0.7233620502515815,2.767946139977127,0.36730223193304296,-1.360844591911482,0.5273725535823544,0.7002352876056249,-0.22085184825348073
Jonas ValanÄiÅ«nas,Home,NOP,NYK,96,87,1,1dcd8d3b-8f4f-4ca2-b2af-05895a99b1af,-0.5668937023857497,0.8958808984947888,-1.034190101487623,3.1167940204192948,-0.20567973685546045,-0.3699155584181463,-1.1354104118798476,-0.425257920717383,-0.7767700562321815,0.9881868108293154,0.6699115654793861,-0.9892412406166774,1.1393256325090833
Matt Ryan,Home,NOP,NYK,96,87,1,1dcd8d3b-8f4f-4ca2-b2af-05895a99b1af,0.1373210614570065,0.3028854310222546,0.155462200208659,-1.0008485412560542,-0.4211679038921303,1.3301074119117318,-0.36006529442503504,-1.072314527337178,2.2450455233132476,-1.360844591911482,0.4805831865263587,0.11950699951682474,0.544460233649459
Dyson Daniels,Home,NOP,NYK,96,87,1,1dcd8d3b-8f4f-4ca2-b2af-05895a99b1af,-0.9073874998766732,0.70003489731801,0.1298800519490131,-0.3057076079682228,-0.27265175469487524,-0.35180551323225556,-1.1079799451302468,-1.8801515813828997,0.6175678979225229,0.11950479589022193,0.5539461751320994,-0.341328177155454,1.2861212941357978
Jordan Hawkins,Home,NOP,NYK,96,87,1,1dcd8d3b-8f4f-4ca2-b2af-05895a99b1af,0.9202381195479066,-1.0393437166069273,-0.4338336935577163,0.49100204583393486,-0.042499447084964184,-0.42353817866971677,-1.1890479067222428,1.4319706014556934,1.5718591540361022,-1.360844591911482,0.46404909853122356,0.2784047352288867,-0.42776085252281987
Larry Nance Jr.,Home,NOP,NYK,96,87,1,1dcd8d3b-8f4f-4ca2-b2af-05895a99b1af,-2.011278975108038,-1.5988337176072986,-0.21560636306681516,0.06278545235337539,1.956258346559407,1.023796350972259,-0.2068061334081425,-2.59789241973756,-0.3573495939387659,-1.360844591911482,-0.5119912780017066,0.19607884857788438,0.5786500718830283
Kira Lewis Jr.,Home,NOP,NYK,96,87,1,1dcd8d3b-8f4f-4ca2-b2af-05895a99b1af,-1.2705356413127888,-2.110243386711606,-0.0026392770588476206,-0.01840258416296726,-0.7638097127731556,-0.3929472863464839,-0.6867410391089396,-1.2114956457914825,0.5718674299169932,-1.360844591911482,-0.3420253818951716,-1.488631128603545,0.057539626215751795
Cody Zeller,Home,NOP,NYK,96,87,1,1dcd8d3b-8f4f-4ca2-b2af-05895a99b1af,-2.011278975108038,-2.110243386711606,-0.0026392770588476206,-0.01840258416296726,-1.3767701049700118,-0.29368474313207804,-0.35521600030148764,-3.0406052915498494,-0.19593998816810032,-1.360844591911482,-0.9768591419348176,-1.0080268703292687,0.12248546819910043
E.J. Liddell,Home,NOP,NYK,96,87,1,1dcd8d3b-8f4f-4ca2-b2af-05895a99b1af,-1.8806218745035297,-2.110243386711606,-0.0026392770588476206,-0.01840258416296726,2.107694923375953,-1.347055114932048,-1.6071265602148175,-2.3645176803292216,2.495313749862659,-1.360844591911482,-0.695257314837097,-1.7151065842080386,0.33227613104981313
Jordan Hawkins,Home,NOP,GSW,102,130,0,996273bf-5f07-401c-ad9e-73623f349cad,1.9427655323789037,0.30386984455218813,1.254847290933305,-0.228925682106535,0.40259868682091604,-0.7563480628594486,0.049198368508665054,0.6426666656923924,0.4959677523801856,-0.7813717328028037,0.8448463983755802,-1.0492648957051538,-1.0453398231323645
CJ McCollum,Home,NOP,GSW,102,130,0,996273bf-5f07-401c-ad9e-73623f349cad,3.102234556408358,0.5357218976938339,-0.1634830710913689,-1.7460068358980123,0.9077951058005453,-0.8190435835205008,-0.244275639502992,-0.06863731239063608,0.2499791655993016,1.233499185307077,1.2524365485209774,-1.426653150496565,-1.3900564053741904
Zion Williamson,Home,NOP,GSW,102,130,0,996273bf-5f07-401c-ad9e-73623f349cad,1.2027324963030719,3.4642882522403533,0.0867088388165079,1.5034270447388256,0.6406710064728696,-1.0289269241969992,0.8910522677521028,-0.1916364328604895,-1.0968343752474035,2.995214378438224,1.288831629468892,-1.8300108287415635,-0.80761209601494
Jonas ValanÄiÅ«nas,Home,NOP,GSW,102,130,0,996273bf-5f07-401c-ad9e-73623f349cad,0.8265868909296537,-0.5142708098293222,-0.8541751216777458,-1.1445568452166517,2.2723878729600466,2.2296830600982287,0.6927272020098778,0.16877202970394123,0.291167544427012,0.8610918236172541,0.5088456709720737,-0.9896481288640832,-1.391572536713699
Herbert Jones,Home,NOP,GSW,102,130,0,996273bf-5f07-401c-ad9e-73623f349cad,-0.8237926113025459,0.43837853209791294,1.671834871865713,-0.5241312736043193,-0.5758787515436129,1.37343483465286,-0.22800904585563816,-0.7805890687902096,1.3229048970770365,1.1275024698886904,-0.2239138336200687,-1.790673945328064,-1.0800225884984487
Matt Ryan,Home,NOP,GSW,102,130,0,996273bf-5f07-401c-ad9e-73623f349cad,1.5067932467234568,0.7257095641441463,0.10148412417855242,0.7429216780867607,-0.9675447625302547,-0.46990055406994324,0.17523249314314085,1.2870863328605706,1.25531993093966,0.32974264359542466,0.4426340602040067,-1.2396508853658086,-1.1425660165833036
Dyson Daniels,Home,NOP,GSW,102,130,0,996273bf-5f07-401c-ad9e-73623f349cad,-0.38523639949240146,-0.6088066928950118,-0.7962613073258292,-1.053985712563748,0.0036047554992856704,-0.39178945246991714,-1.313649415874989,1.894163645835465,0.00041564925753762857,-1.360844591911482,-0.07474699845995623,-0.8161511525371856,-0.9382974613033458
Larry Nance Jr.,Home,NOP,GSW,102,130,0,996273bf-5f07-401c-ad9e-73623f349cad,-0.9953226326831422,1.5915752928079143,-1.260427412493039,3.108505405884254,1.1981793987916856,-1.1300033897039954,0.24907116832809253,4.401110974458908,0.2441875607004518,-1.360844591911482,-0.1789570024389201,-0.7575132565797872,-0.16048430921252102
Kira Lewis Jr.,Home,NOP,GSW,102,130,0,996273bf-5f07-401c-ad9e-73623f349cad,-0.21282961604180645,-0.6695410844868223,-0.7843919487245172,-1.034901744459153,-1.3052021172450063,-0.5109912689128117,0.6261588723785112,1.371281347353732,-0.9114295550579122,1.816425232423935,0.19528224860373478,-0.6246498799896464,-1.1899288208437917
Kaiser Gates,Home,NOP,GSW,102,130,0,996273bf-5f07-401c-ad9e-73623f349cad,-1.5174737330674142,-2.110243386711606,-0.0026392770588476206,-0.01840258416296726,-1.045326685697237,-0.35951358988970555,-0.5597188420873206,-2.7025614859395355,1.1496868808472793,-1.360844591911482,-0.3686930039303426,-2.4880230568893187,1.8955215438389437
Cody Zeller,Home,NOP,GSW,102,130,0,996273bf-5f07-401c-ad9e-73623f349cad,-1.9337819614975023,-2.110243386711606,-0.0026392770588476206,-0.01840258416296726,0.8279046191617909,-1.4081554095225135,0.992950339175994,-2.8692325669773506,-0.25842112588577726,0.2524971054799258,-0.30060787924423776,-2.4232999618276394,2.049830930330278
Brandon Ingram,Home,NOP,GSW,102,130,0,996273bf-5f07-401c-ad9e-73623f349cad,-2.0887759887185737,-2.110243386711606,-0.0026392770588476206,-0.01840258416296726,-2.8625441705897225,0.009041194353200483,0.40743796064444454,-3.0406052915498494,-0.19593998816810032,-1.360844591911482,-3.047068993520961,0.5342616054372569,-0.1284789860248005
E.J. Liddell,Home,NOP,GSW,102,130,0,996273bf-5f07-401c-ad9e-73623f349cad,-2.0887759887185737,-2.110243386711606,-0.0026392770588476206,-0.01840258416296726,-2.8625441705897225,0.009041194353200483,0.40743796064444454,-3.0406052915498494,-0.19593998816810032,-1.360844591911482,-3.047068993520961,0.5342616054372569,-0.1284789860248005
Jordan Hawkins,Away,NOP,OKC,110,106,1,7379862c-b207-45da-9d9a-dc85bb322592,2.6978140341599186,1.099495683062672,0.7536085908452241,-0.7652570610902337,0.8595233893074158,-1.1135973069850995,1.2439518033602726,-0.7309653738224513,1.227394776836363,-1.360844591911482,1.4166412489996894,0.3904456296069371,1.1499523381732897
CJ McCollum,Away,NOP,OKC,110,106,1,7379862c-b207-45da-9d9a-dc85bb322592,4.52880481892724,0.6617555479072259,-1.3645572174341736,-0.9434133289088537,3.1943146829574807,0.6416890560257822,-2.094126831835968,2.1187164178856643,0.35967239192082046,2.141901411994238,1.7013432239620319,1.7523328799902649,-0.263284940194574
Zion Williamson,Away,NOP,OKC,110,106,1,7379862c-b207-45da-9d9a-dc85bb322592,1.5135263713465867,3.478862004559145,-2.6384181039014716,-0.3687632049270248,3.166924926991736,-1.9577117856851356,2.394394716002439,-0.6408046138618486,-1.1091906241274399,3.1840989001630353,1.5932728258148603,-0.7727070536622381,-0.6586482013890571
Herbert Jones,Away,NOP,OKC,110,106,1,7379862c-b207-45da-9d9a-dc85bb322592,0.20044196561315028,0.04358623658675585,-0.8753663063619862,0.7107795140326675,1.0513883635530004,1.0739989785498505,-1.409664056346861,-0.780431108854151,1.2179025034550728,-1.360844591911482,0.5742655228248008,-0.28865709362207836,1.1334185205235354
Jonas ValanÄiÅ«nas,Away,NOP,OKC,110,106,1,7379862c-b207-45da-9d9a-dc85bb322592,0.9362012887917146,-0.040876139233548624,0.38554267763094274,-0.9743243509737654,3.532384449066608,0.2578732718204278,0.18705026849403536,2.3074373638312067,-0.16693072336288686,3.3093087036240325,1.0490261075578884,1.5974923688336071,-0.9321552975303176
Dyson Daniels,Away,NOP,OKC,110,106,1,7379862c-b207-45da-9d9a-dc85bb322592,0.5788429785736563,-0.4566478134809679,0.583205416558395,0.2457793498230214,0.999240446157224,2.187326727339567,2.124625593777091,-0.3612641691555819,0.8542072211819177,0.43706530290099393,0.579818175424247,-0.6682086397351255,-0.40714792467782684
Larry Nance Jr.,Away,NOP,OKC,110,106,1,7379862c-b207-45da-9d9a-dc85bb322592,-0.26895540834228476,0.33024923951867313,1.5364320517101782,-0.9817268854920036,1.641687703977112,-1.0014699259051676,-0.5038009669657999,3.090841823617091,-0.20001645376067131,-0.48074320535888937,0.21640885808174817,0.5691878174757803,-0.8544628546347776
Matt Ryan,Away,NOP,OKC,110,106,1,7379862c-b207-45da-9d9a-dc85bb322592,-0.16270617582296543,-0.9845343142962018,-0.3715836970817582,1.0933579978849723,-0.47704290562664914,-0.3535011345231776,-1.0096024181980963,0.04722738442271189,1.45514022258925,-1.360844591911482,-0.02152337552065295,-1.005198674114681,0.3808467313900465
Kira Lewis Jr.,Away,NOP,OKC,110,106,1,7379862c-b207-45da-9d9a-dc85bb322592,-0.7096715048575625,0.15458256693153294,3.3941963817787535,0.9168382307948771,-2.3300726861827323,-0.08904868334534102,0.09905931713268198,1.1741688679283826,0.5784833971841027,-1.360844591911482,-0.0351693024765237,-0.11129921350555923,-1.0233314638850335
