Player,Year,Team,Stat,Value-Stat
Terry Teagle,1991,LAL,PTS,9.9
Alex English,1991,DAL,PTS,9.7
Bill Cartwright,1991,CHI,PTS,9.6
Rod Higgins,1991,GSW,PTS,9.5
Darnell Valentine,1991,CLE,PTS,9.4
Kenny Gattison,1991,CHH,PTS,9.0
Rick Mahorn,1991,PHI,PTS,8.9
A.J. English,1991,WSB,PTS,8.8
Randy White,1991,DAL,PTS,8.8
Gary Grant,1991,LAC,PTS,8.7
John Paxson,1991,CHI,PTS,8.7
Danny Ferry,1991,CLE,PTS,8.6
Jeff Turner,1991,ORL,PTS,8.6
Winston Garland,1991,LAC,PTS,8.2
Dennis Rodman,1991,DET,PTS,8.2
Pooh Richardson,1991,MIN,AST,9.0
Gary Grant,1991,LAC,AST,8.6
Scott Skiles,1991,ORL,AST,8.4
Terry Porter,1991,POR,AST,8.0
Larry Bird,1991,BOS,AST,7.2
Scottie Pippen,1991,CHI,AST,6.2
Mookie Blaylock,1991,NJN,AST,6.1
Maurice Cheeks,1991,NYK,AST,5.7
Michael Jordan,1991,CHI,AST,5.5
Joe Dumars,1991,DET,AST,5.5
Jim Les,1991,SAC,AST,5.4
Darnell Valentine,1991,CLE,AST,5.4
Vern Fleming,1991,IND,AST,5.3
Rickey Green,1991,PHI,AST,5.2
Micheal Williams,1991,IND,AST,4.8
Hakeem Olajuwon,1991,HOU,DRB,9.8
Karl Malone,1991,UTA,DRB,8.9
David Robinson,1991,SAS,DRB,8.9
Patrick Ewing,1991,NYK,DRB,8.8
Brad Daugherty,1991,CLE,DRB,8.6
Dennis Rodman,1991,DET,DRB,8.1
Charles Oakley,1991,NYK,DRB,8.1
Larry Bird,1991,BOS,DRB,7.6
Blair Rasmussen,1991,DEN,DRB,7.3
Robert Parish,1991,BOS,DRB,7.2
Bill Laimbeer,1991,DET,DRB,6.9
Buck Williams,1991,POR,DRB,6.6
Derrick Coleman,1991,NJN,DRB,6.6
Lionel Simmons,1991,SAC,DRB,6.4
Charles Barkley,1991,PHI,DRB,6.3
Dennis Rodman,1991,DET,ORB,4.4
David Robinson,1991,SAS,ORB,4.1
Charles Oakley,1991,NYK,ORB,4.0
Charles Barkley,1991,PHI,ORB,3.9
Hakeem Olajuwon,1991,HOU,ORB,3.9
Chris Dudley,1991,NJN,ORB,3.8
Larry Smith,1991,HOU,ORB,3.7
Derrick Coleman,1991,NJN,ORB,3.6
Horace Grant,1991,CHI,ORB,3.4
Terry Catledge,1991,ORL,ORB,3.3
Shawn Kemp,1991,SEA,ORB,3.3
Robert Parish,1991,BOS,ORB,3.3
Moses Malone,1991,ATL,ORB,3.3
Karl Malone,1991,UTA,ORB,2.9
Pervis Ellison,1991,WSB,ORB,2.9
Karl Malone,1991,UTA,FT,8.3
David Robinson,1991,SAS,FT,7.2
Charles Barkley,1991,PHI,FT,7.1
Michael Adams,1991,DEN,FT,7.0
