top15_PTS,top15_AST,top15_DRB,top15_ORB,top15_FT,top15_STL,top15_BLK,top15_3P,TEAM,YEAR
1,0,0,0,1,0,0,2,LAL,1991
2,0,0,0,0,0,0,0,DAL,1991
2,2,0,1,1,2,0,0,CHI,1991
1,0,0,0,2,1,0,1,GSW,1991
2,1,1,0,1,0,1,0,CLE,1991
1,0,0,0,0,0,0,0,CHH,1991
1,1,1,1,2,1,0,1,PHI,1991
1,0,0,1,1,0,2,0,WSB,1991
2,1,0,0,0,0,0,0,LAC,1991
1,1,0,1,0,0,0,1,ORL,1991
1,1,2,1,0,0,0,0,DET,1991
0,1,0,0,0,1,0,0,MIN,1991
0,1,1,0,0,1,0,2,POR,1991
0,1,2,1,0,1,1,1,BOS,1991
0,1,1,2,0,2,2,0,NJN,1991
0,1,2,1,1,1,1,1,NYK,1991
0,1,1,0,0,0,1,2,SAC,1991
0,2,0,0,2,1,1,2,IND,1991
0,0,1,2,0,1,1,0,HOU,1991
0,0,1,1,1,1,1,0,UTA,1991
0,0,1,1,1,0,1,0,SAS,1991
0,0,1,0,1,1,1,1,DEN,1991
0,0,0,1,0,0,1,0,SEA,1991
0,0,0,1,0,0,0,0,ATL,1991
0,0,0,0,1,1,1,0,PHO,1991
0,0,0,0,0,0,0,1,MIA,1991
2,1,0,1,1,0,0,0,DET,1992
1,1,0,1,0,0,0,2,POR,1992
1,1,0,0,0,2,0,0,LAC,1992
2,0,0,1,1,0,0,0,MIL,1992
1,0,1,0,0,0,2,1,SAC,1992
3,0,1,1,0,0,0,1,DAL,1992
1,0,1,1,1,1,1,0,HOU,1992
2,0,0,0,0,0,0,0,ATL,1992
1,1,1,0,3,1,0,2,IND,1992
1,0,1,2,0,1,1,1,SEA,1992
0,1,0,0,0,0,1,0,MIN,1992
0,1,1,1,0,1,1,1,WSB,1992
0,1,1,0,1,0,2,2,CLE,1992
0,1,0,1,0,0,0,1,ORL,1992
0,1,0,0,0,1,0,0,LAL,1992
0,2,1,1,1,2,1,0,CHI,1992
0,1,1,1,2,2,0,1,PHI,1992
0,1,1,1,0,1,3,0,NJN,1992
0,1,1,0,0,0,0,0,BOS,1992
0,1,0,0,0,0,0,0,DEN,1992
0,0,1,1,1,0,1,0,NYK,1992
0,0,1,0,1,1,1,1,UTA,1992
0,0,1,1,1,1,1,0,SAS,1992
0,0,1,1,0,0,0,0,CHH,1992
0,0,0,0,1,0,0,1,PHO,1992
0,0,0,0,1,1,0,0,GSW,1992
0,0,0,0,0,0,0,1,MIA,1992
2,1,0,0,0,0,0,1,POR,1993
2,1,0,1,1,0,0,1,DET,1993
1,1,0,0,0,0,0,0,WSB,1993
1,0,1,2,1,0,1,0,NYK,1993
2,0,1,1,0,0,0,0,DAL,1993
1,2,1,0,2,0,0,1,IND,1993
1,0,1,3,1,1,3,0,NJN,1993
1,0,0,0,1,1,0,1,PHI,1993
3,0,0,0,1,0,1,0,SAC,1993
1,1,0,0,0,0,0,1,ORL,1993
0,1,0,0,1,1,0,1,MIN,1993
0,1,0,0,0,1,1,1,ATL,1993
0,1,2,0,1,0,2,2,CLE,1993
0,1,1,0,0,2,1,0,LAL,1993
0,2,0,1,1,2,0,1,CHI,1993
0,1,1,2,1,1,1,0,SEA,1993
0,1,1,1,1,2,0,2,PHO,1993
0,1,0,0,0,1,1,0,LAC,1993
0,0,1,1,1,1,1,1,HOU,1993
0,0,1,0,1,0,1,0,SAS,1993
0,0,1,0,1,1,0,0,UTA,1993
0,0,1,1,0,0,0,1,CHH,1993
0,0,1,1,0,0,1,0,BOS,1993
0,0,1,1,0,0,1,0,DEN,1993
0,0,0,0,0,1,0,0,GSW,1993
0,0,0,0,0,0,0,1,MIA,1993
1,1,0,0,0,1,0,1,ORL,1994
1,1,1,1,0,0,0,1,POR,1994
1,0,1,2,0,0,1,0,LAL,1994
2,1,1,0,1,0,1,1,CLE,1994
1,1,1,1,2,1,1,2,PHO,1994
1,0,0,1,0,1,0,0,DAL,1994
1,2,0,0,1,2,0,1,GSW,1994
1,2,0,0,0,0,0,1,DET,1994
1,0,1,0,0,0,1,0,DEN,1994
1,0,1,1,0,0,0,1,CHH,1994
1,0,0,0,1,1,0,0,LAC,1994
2,0,2,2,1,0,1,0,NYK,1994
1,0,0,0,0,0,0,1,MIA,1994
0,1,0,0,0,2,1,1,ATL,1994
0,1,0,0,1,1,0,1,MIN,1994
0,1,0,0,1,0,0,0,WSB,1994
0,1,2,1,0,1,1,0,CHI,1994
0,1,1,1,1,2,1,0,SEA,1994
0,1,0,0,0,0,0,1,PHI,1994
0,1,1,2,1,1,1,0,SAS,1994
0,0,1,1,1,1,1,0,HOU,1994
0,0,1,1,1,1,1,0,UTA,1994
0,0,1,1,1,0,2,1,NJN,1994
0,0,0,0,1,0,0,1,SAC,1994
0,0,0,0,1,0,1,1,IND,1994
0,0,0,0,0,0,1,0,BOS,1994
1,0,3,1,1,0,1,0,NYK,1995
1,0,1,0,1,2,0,0,UTA,1995
1,0,2,2,0,0,0,0,DAL,1995
1,1,1,1,0,0,2,0,LAL,1995
1,1,1,1,2,1,1,0,SEA,1995
3,0,0,2,0,0,1,0,POR,1995
1,0,1,0,0,0,1,0,BOS,1995
1,3,0,0,1,1,1,2,DET,1995
1,0,0,0,0,0,0,1,MIA,1995
1,0,1,1,1,0,2,0,NJN,1995
1,1,1,1,0,1,0,0,CHI,1995
1,0,0,0,0,0,0,0,DEN,1995
1,1,0,0,0,0,1,0,WSB,1995
0,1,0,0,0,1,0,0,LAC,1995
0,1,0,0,0,1,0,1,ATL,1995
0,1,0,0,2,1,0,2,PHI,1995
0,1,0,0,1,1,0,0,GSW,1995
0,1,0,0,0,1,0,2,CHH,1995
0,1,0,0,0,0,0,1,MIN,1995
0,2,1,1,1,1,0,1,PHO,1995
0,0,1,0,1,1,1,0,HOU,1995
0,0,1,1,1,1,1,2,SAS,1995
0,0,1,1,0,1,0,1,ORL,1995
0,0,0,1,1,0,2,1,SAC,1995
0,0,0,1,1,1,0,1,IND,1995
0,0,0,1,0,0,1,0,CLE,1995
0,0,0,0,1,0,0,0,MIL,1995
1,1,1,0,0,0,2,1,BOS,1996
1,1,0,0,0,0,0,0,MIN,1996
2,0,1,1,0,0,1,0,POR,1996
2,0,0,2,0,0,1,0,NJN,1996
1,1,1,1,0,0,2,0,WSB,1996
1,1,1,0,1,0,0,2,DET,1996
1,1,0,0,0,1,0,1,ATL,1996
1,1,0,0,0,0,0,0,LAC,1996
1,0,0,0,0,0,0,0,VAN,1996
1,0,1,1,0,0,0,0,DAL,1996
1,2,1,1,1,2,0,1,CHI,1996
1,0,1,0,1,2,0,0,UTA,1996
1,0,1,0,0,0,1,0,LAL,1996
0,1,1,1,2,2,1,0,PHO,1996
0,1,0,0,0,1,0,1,DEN,1996
0,1,0,0,1,1,1,1,SAC,1996
0,1,2,2,1,0,1,0,NYK,1996
0,1,0,0,0,0,0,0,PHI,1996
0,1,0,2,1,0,0,2,CHH,1996
0,1,1,1,2,2,2,1,SEA,1996
0,0,1,0,1,1,1,0,HOU,1996
0,0,1,1,2,0,1,2,SAS,1996
0,0,1,1,0,1,1,1,ORL,1996
0,0,0,1,0,0,0,1,CLE,1996
0,0,0,0,1,0,0,1,IND,1996
0,0,0,0,1,2,0,0,GSW,1996
1,0,0,1,0,0,1,0,MIA,1997
1,1,2,1,2,0,1,1,HOU,1997
2,0,0,0,0,0,1,0,MIN,1997
1,0,1,1,0,0,1,0,SAS,1997
1,0,1,1,1,0,1,0,PHI,1997
1,0,1,1,0,1,0,1,ORL,1997
1,0,0,0,1,0,1,1,IND,1997
1,1,0,1,1,0,1,0,PHO,1997
1,0,0,1,0,0,0,0,TOR,1997
1,0,0,0,0,1,0,0,LAL,1997
1,0,0,0,0,1,0,0,LAC,1997
2,1,1,1,1,2,1,0,UTA,1997
1,0,1,1,0,0,1,1,DEN,1997
