Team,Year,Champion,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,opp_pf_per_g,opp_pts_per_g,wins,losses,mov,sos,srs,off_rtg,def_rtg,efg_pct,tov_pct,orb_pct,drb_pct,ft_rate,opp_efg_pct,opp_tov_pct,opp_ft_rate,W,L,WIN%
BOS,1991,No,45.1,88.0,.512,43.7,83.8,.522,1.3,4.2,.315,20.1,24.4,.824,13.3,32.9,46.2,26.3,8.2,6.9,16.1,20.7,111.5,20.2,105.7,56,26,5.82,-0.60,5.22,112.6,106.7,.520,14.0,33.0,69.3,.228,.465,11.7,.217,56.0,26.0,0.6829268292682927
BOS,1992,No,43.2,87.8,.492,41.9,83.4,.502,1.3,4.4,.306,18.9,23.4,.808,13.4,31.5,44.9,25.3,7.8,5.9,14.2,20.6,106.6,19.9,103.0,51,31,3.62,-0.21,3.41,110.8,107.0,.500,12.7,31.9,68.7,.215,.469,11.9,.220,51.0,31.0,0.6219512195121951
BOS,1993,No,42.1,86.5,.487,40.8,81.8,.498,1.3,4.7,.287,18.1,23.3,.777,13.1,29.7,42.8,24.4,7.9,5.6,14.3,22.7,103.7,20.4,102.8,48,34,0.89,0.04,0.93,108.7,107.8,.495,12.9,31.2,69.0,.210,.479,12.9,.251,48.0,34.0,0.5853658536585366
BOS,1994,No,40.6,86.1,.472,39.0,80.2,.486,1.7,5.8,.289,17.8,24.4,.730,12.6,29.0,41.7,23.5,8.2,5.4,15.1,22.5,100.8,21.2,105.1,32,50,-4.28,0.01,-4.28,104.2,108.7,.482,13.5,29.3,67.8,.207,.494,13.7,.238,32.0,50.0,0.3902439024390244
BOS,1995,No,38.8,83.5,.464,34.4,71.5,.480,4.4,12.0,.368,20.8,27.7,.753,14.1,28.3,42.4,21.7,7.5,4.4,15.9,24.1,102.8,23.4,104.7,35,47,-1.88,-0.04,-1.92,108.6,110.6,.491,14.3,33.1,68.6,.249,.512,13.6,.235,35.0,47.0,0.4268292682926829
BOS,1996,No,38.6,84.7,.456,32.0,66.9,.478,6.6,17.7,.371,19.9,27.9,.714,12.8,29.6,42.4,21.9,8.0,5.0,15.9,24.9,103.6,24.0,107.0,33,49,-3.40,0.03,-3.37,106.4,109.9,.494,14.1,28.8,70.0,.235,.511,14.3,.258,33.0,49.0,0.4024390243902439
BOS,1997,No,37.4,85.0,.440,31.7,68.7,.461,5.7,16.2,.351,20.1,26.8,.750,13.4,26.7,40.0,21.9,9.9,3.8,16.4,23.4,100.6,22.3,107.9,15,67,-7.33,0.71,-6.62,103.9,111.4,.474,14.5,29.4,68.5,.237,.539,15.8,.243,15.0,67.0,0.18292682926829268
BOS,1998,No,36.7,84.6,.434,31.7,69.3,.457,5.1,15.2,.332,17.4,24.0,.726,14.6,24.9,39.5,22.1,12.0,4.5,16.2,26.9,95.9,21.0,98.5,36,46,-2.62,0.66,-1.96,102.5,105.3,.464,14.6,32.8,66.8,.206,.504,19.0,.343,36.0,46.0,0.43902439024390244
BOS,1999,No,36.3,83.3,.436,30.9,68.1,.453,5.5,15.2,.360,14.9,21.5,.692,13.6,29.2,42.8,21.5,9.1,5.1,16.1,23.9,93.0,20.0,94.9,19,31,-1.86,0.11,-1.75,100.4,102.4,.469,14.8,30.6,69.4,.179,.465,15.6,.287,19.0,31.0,0.38
BOS,2000,No,37.2,83.9,.444,32.2,68.5,.469,5.1,15.4,.331,19.8,26.5,.745,13.5,29.5,43.0,21.2,9.7,3.5,15.4,27.1,99.3,23.5,100.1,35,47,-0.76,-0.24,-1.00,104.8,105.6,.474,13.8,30.4,73.8,.236,.498,15.8,.306,35.0,47.0,0.4268292682926829
BOS,2001,No,33.8,79.1,.428,26.6,59.2,.450,7.2,19.9,.363,19.8,26.7,.740,10.9,28.9,39.8,20.8,9.4,4.1,15.7,23.8,94.6,23.2,96.8,36,46,-2.13,-0.26,-2.40,101.4,103.7,.473,14.7,25.3,72.7,.250,.493,16.0,.256,36.0,46.0,0.43902439024390244
BOS,2002,No,34.8,82.1,.424,26.3,58.4,.450,8.5,23.7,.359,18.3,23.9,.764,10.9,31.3,42.2,21.0,9.7,3.6,13.6,21.7,96.4,21.1,94.1,49,33,2.21,-0.46,1.75,103.4,101.0,.476,12.8,24.1,72.9,.223,.464,15.1,.245,49.0,33.0,0.5975609756097561
BOS,2003,No,32.9,79.4,.415,24.2,53.1,.455,8.8,26.3,.334,18.0,24.3,.742,10.4,30.1,40.5,19.2,8.8,3.7,14.0,21.4,92.7,21.9,93.1,44,38,-0.39,-0.36,-0.75,101.2,101.6,.470,13.4,23.6,72.5,.227,.471,15.1,.242,44.0,38.0,0.5365853658536586
BOS,2004,No,34.7,78.2,.443,27.9,58.7,.475,6.7,19.5,.346,19.2,25.5,.750,10.4,29.8,40.1,20.5,9.4,4.0,16.2,22.4,95.3,22.2,96.7,36,46,-1.45,-0.54,-1.99,102.1,103.7,.486,15.4,25.2,69.5,.245,.479,15.7,.240,36.0,46.0,0.43902439024390244
BOS,2005,No,37.1,79.4,.468,31.8,64.1,.496,5.3,15.3,.349,21.6,28.3,.764,11.1,29.7,40.8,22.1,8.1,5.2,15.8,24.4,101.3,23.6,100.4,45,37,0.87,-0.52,0.35,107.5,106.6,.501,14.7,27.2,70.1,.273,.481,14.2,.274,45.0,37.0,0.5487804878048781
BOS,2006,No,36.0,77.1,.467,30.3,61.4,.494,5.7,15.7,.362,20.3,26.9,.755,9.9,29.7,39.6,20.9,7.0,5.1,16.6,24.8,98.0,22.4,99.5,33,49,-1.54,-0.05,-1.59,105.2,106.9,.504,15.7,25.5,72.8,.263,.490,13.8,.282,33.0,49.0,0.4024390243902439
