Team,Year,Champion,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,opp_pf_per_g,opp_pts_per_g,wins,losses,mov,sos,srs,off_rtg,def_rtg,efg_pct,tov_pct,orb_pct,drb_pct,ft_rate,opp_efg_pct,opp_tov_pct,opp_ft_rate,W,L,WIN%
BRK,2013,No,35.9,79.8,.450,28.2,58.3,.484,7.7,21.5,.357,17.5,23.9,.731,12.8,30.0,42.8,20.3,7.3,4.8,14.7,18.3,96.9,21.4,95.1,49,33,1.78,-0.53,1.25,108.2,106.2,.498,14.0,30.9,73.7,.219,.503,13.1,.174,49.0,33.0,0.5975609756097561
BRK,2014,No,35.7,77.9,.459,27.1,54.5,.497,8.6,23.4,.369,18.4,24.4,.753,8.8,29.4,38.1,20.9,8.6,3.8,14.5,21.7,98.5,20.8,99.5,44,38,-1.00,-0.58,-1.58,106.7,107.7,.514,14.1,21.7,72.3,.236,.509,14.9,.236,44.0,38.0,0.5365853658536586
BRK,2015,No,37.4,83.0,.451,30.8,63.1,.489,6.6,19.9,.331,16.6,22.2,.748,10.3,32.0,42.4,20.9,7.0,4.1,13.8,19.3,98.0,20.0,100.9,38,44,-2.88,-0.25,-3.13,104.4,107.4,.491,13.0,23.9,73.7,.200,.506,12.9,.185,38.0,44.0,0.4634146341463415
BRK,2016,No,38.2,84.4,.453,31.8,66.0,.481,6.5,18.4,.352,15.7,20.7,.757,10.5,31.9,42.4,22.3,7.6,4.0,14.8,18.0,98.6,18.4,106.0,21,61,-7.35,0.24,-7.12,103.2,110.9,.492,13.6,24.1,75.7,.186,.534,13.1,.176,21.0,61.0,0.25609756097560976
BRK,2017,No,37.8,85.2,.444,27.1,53.6,.506,10.7,31.6,.338,19.4,24.6,.788,8.8,35.1,43.9,21.4,7.2,4.7,16.5,21.0,105.8,20.4,112.5,20,62,-6.73,-0.01,-6.74,104.1,110.7,.507,14.7,19.6,76.1,.228,.513,11.6,.212,20.0,62.0,0.24390243902439024
BRK,2018,No,38.2,86.8,.441,25.5,51.1,.500,12.7,35.7,.356,17.4,22.6,.772,9.7,34.8,44.4,23.7,6.2,4.8,15.2,20.6,106.6,19.7,110.3,28,54,-3.74,0.07,-3.67,106.9,110.6,.514,13.6,21.0,77.0,.201,.517,11.0,.201,28.0,54.0,0.34146341463414637
BRK,2019,No,40.3,89.7,.449,27.5,53.6,.513,12.8,36.2,.353,19.0,25.5,.745,11.0,35.6,46.6,23.8,6.6,4.1,15.1,21.5,112.2,22.0,112.3,42,40,-0.07,-0.33,-0.40,109.6,109.7,.520,13.0,23.8,76.4,.211,.512,11.6,.190,42.0,40.0,0.5121951219512195
BRK,2020,No,40.4,90.3,.448,27.3,52.1,.524,13.1,38.1,.343,17.9,24.1,.745,10.6,37.3,47.9,24.5,6.4,4.5,15.3,21.0,111.8,21.1,112.3,35,37,-0.57,-0.44,-1.01,108.9,109.5,.520,13.1,23.2,77.8,.199,.511,11.0,.187,35.0,37.0,0.4861111111111111
BRK,2021,No,43.1,87.3,.494,29.0,51.2,.565,14.2,36.1,.392,18.1,22.5,.804,8.9,35.5,44.4,26.8,6.7,5.3,13.5,19.0,118.6,18.9,114.1,48,24,4.50,-0.27,4.24,118.3,113.8,.575,12.2,21.4,77.3,.208,.531,11.1,.187,48.0,24.0,0.6666666666666666
BRK,2022,No,42.0,88.4,.475,30.5,56.7,.538,11.5,31.7,.361,17.5,21.7,.805,10.3,34.1,44.4,25.3,7.1,5.5,14.1,20.4,112.9,19.7,112.1,44,38,0.78,0.04,0.82,113.6,112.8,.540,12.5,23.9,75.1,.198,.521,11.7,.201,44.0,38.0,0.5365853658536586
BRK,2023,No,41.5,85.1,.487,28.7,51.3,.559,12.8,33.8,.378,17.7,22.1,.800,8.2,32.3,40.5,25.5,7.1,6.2,13.7,21.1,113.4,18.5,112.5,45,37,0.85,0.18,1.03,115.0,114.1,.562,12.7,19.6,73.7,.208,.530,12.2,.212,45.0,37.0,0.5487804878048781
BRK,2024,No,40.7,89.1,.456,27.4,52.4,.522,13.3,36.7,.362,15.8,20.9,.756,11.4,32.6,44.1,25.6,6.8,5.2,13.1,18.5,110.4,18.2,113.3,32,50,-2.89,-0.13,-3.02,113.2,116.1,.531,11.8,25.2,76.0,.177,.543,11.4,.193,32.0,50.0,0.3902439024390244
