Team,Year,Champion,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,opp_pf_per_g,opp_pts_per_g,wins,losses,mov,sos,srs,off_rtg,def_rtg,efg_pct,tov_pct,orb_pct,drb_pct,ft_rate,opp_efg_pct,opp_tov_pct,opp_ft_rate,W,L,WIN%
CHI,1991,Yes,44.3,86.9,.510,42.4,81.7,.519,1.9,5.2,.366,19.6,25.7,.760,14.0,28.6,42.6,27.0,10.0,5.3,14.4,21.4,110.0,22.3,101.0,61,21,9.10,-0.53,8.57,114.6,105.2,.521,12.8,34.7,68.8,.225,.488,15.3,.226,61.0,21.0,0.7439024390243902
CHI,1992,Yes,44.4,87.4,.508,42.7,81.9,.522,1.7,5.5,.304,19.4,26.0,.744,14.3,29.7,44.0,27.8,8.2,5.9,13.3,20.6,109.9,22.0,99.5,67,15,10.44,-0.37,10.07,115.5,104.5,.518,11.8,35.1,69.3,.221,.476,14.1,.219,67.0,15.0,0.8170731707317073
CHI,1993,Yes,42.4,87.9,.482,39.4,79.7,.494,3.0,8.2,.365,17.5,23.8,.733,15.7,27.8,43.6,26.0,9.5,5.0,13.5,22.0,105.2,21.1,98.9,57,25,6.29,-0.10,6.19,112.9,106.1,.499,12.0,36.3,68.7,.199,.493,15.4,.239,57.0,25.0,0.6951219512195121
CHI,1994,No,39.6,83.1,.476,36.7,75.1,.489,2.8,8.0,.354,16.0,22.7,.705,13.9,29.2,43.1,25.6,9.0,4.3,15.9,21.3,98.0,21.0,94.9,55,27,3.09,-0.22,2.87,106.1,102.7,.493,14.6,33.8,70.8,.192,.482,15.3,.225,55.0,27.0,0.6707317073170732
CHI,1995,No,38.9,81.8,.476,33.5,67.4,.498,5.4,14.5,.373,18.3,25.2,.726,13.5,28.0,41.5,24.0,9.7,4.3,15.8,23.9,101.5,23.1,96.7,47,35,4.83,-0.51,4.32,109.5,104.3,.509,14.5,32.9,68.2,.224,.488,16.7,.263,47.0,35.0,0.573170731707317
CHI,1996,Yes,40.2,84.0,.478,33.5,67.6,.496,6.6,16.5,.403,18.2,24.4,.746,15.2,29.4,44.6,24.8,9.1,4.2,14.3,22.0,105.2,22.6,92.9,72,10,12.24,-0.44,11.80,115.2,101.8,.517,13.1,36.9,71.1,.217,.482,16.1,.222,72.0,10.0,0.8780487804878049
CHI,1997,Yes,40.0,84.4,.473,33.6,67.3,.499,6.4,17.1,.373,16.8,22.5,.747,15.1,30.0,45.1,26.1,8.7,4.0,13.5,19.7,103.1,21.1,92.3,69,13,10.80,-0.11,10.70,114.4,102.4,.511,12.5,35.9,69.3,.199,.471,14.8,.196,69.0,13.0,0.8414634146341463
CHI,1998,Yes,37.4,82.9,.451,33.6,71.2,.471,3.8,11.7,.323,18.2,24.5,.743,15.2,29.7,44.9,23.8,8.5,4.3,14.4,20.6,96.7,21.6,89.6,62,20,7.11,0.13,7.24,107.7,99.8,.473,13.3,35.7,70.6,.219,.457,14.7,.220,62.0,20.0,0.7560975609756098
CHI,1999,No,30.8,76.7,.401,27.2,64.5,.422,3.5,12.2,.289,16.8,23.7,.709,11.5,27.9,39.3,20.3,8.7,3.4,15.5,22.2,81.9,21.5,91.4,13,37,-9.46,0.88,-8.58,92.4,103.0,.424,15.1,26.8,71.7,.219,.483,15.3,.241,13.0,37.0,0.26
CHI,2000,No,31.3,75.4,.415,27.1,62.8,.432,4.1,12.6,.329,18.1,25.5,.709,12.6,28.3,40.9,20.1,7.9,4.7,19.0,23.3,84.8,24.0,94.2,17,65,-9.40,0.17,-9.23,94.2,104.6,.443,18.0,29.9,69.9,.240,.484,14.5,.240,17.0,65.0,0.2073170731707317
