Team,Year,Champion,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,opp_pf_per_g,opp_pts_per_g,wins,losses,mov,sos,srs,off_rtg,def_rtg,efg_pct,tov_pct,orb_pct,drb_pct,ft_rate,opp_efg_pct,opp_tov_pct,opp_ft_rate,W,L,WIN%
CHO,2015,No,35.5,84.5,.420,29.5,65.4,.450,6.1,19.1,.318,17.0,22.8,.748,10.0,34.1,44.1,20.2,6.1,5.5,11.9,18.2,94.2,20.8,97.3,33,49,-3.17,-0.27,-3.44,100.1,103.5,.456,11.2,22.1,79.3,.202,.487,12.0,.188,33.0,49.0,0.4024390243902439
CHO,2016,No,37.0,84.4,.439,26.4,55.0,.479,10.6,29.4,.362,18.7,23.7,.790,9.0,35.0,43.9,21.7,7.3,5.3,12.5,18.1,103.4,20.4,100.7,48,34,2.72,-0.36,2.36,107.2,104.3,.502,11.7,20.0,79.8,.222,.496,12.5,.191,48.0,34.0,0.5853658536585366
CHO,2017,No,37.7,85.4,.442,27.7,56.7,.488,10.0,28.6,.351,19.4,23.8,.815,8.8,34.8,43.6,23.1,7.0,4.8,11.5,16.6,104.9,19.9,104.7,36,46,0.20,-0.26,-0.07,108.8,108.6,.501,10.7,19.9,79.6,.227,.523,12.1,.164,36.0,46.0,0.43902439024390244
CHO,2018,No,39.0,86.7,.450,28.9,59.4,.487,10.0,27.2,.369,20.2,27.0,.747,10.1,35.4,45.5,21.6,6.8,4.5,12.7,17.2,108.2,22.4,108.0,36,46,0.26,-0.19,0.07,109.4,109.1,.508,11.4,22.2,80.7,.233,.532,12.4,.165,36.0,46.0,0.43902439024390244
CHO,2019,No,40.2,89.8,.448,28.3,55.8,.507,11.9,33.9,.351,18.4,23.1,.797,9.9,33.9,43.8,23.2,7.2,4.9,12.2,18.9,110.7,20.6,111.8,39,43,-1.10,-0.22,-1.32,111.4,112.5,.514,10.9,21.7,77.1,.205,.538,12.1,.179,39.0,43.0,0.47560975609756095
CHO,2020,No,37.3,85.9,.434,25.2,51.6,.489,12.1,34.3,.352,16.2,21.6,.748,11.0,31.8,42.8,23.8,6.6,4.1,14.6,18.8,102.9,20.6,109.6,23,42,-6.75,-0.28,-7.03,106.3,113.3,.504,13.3,23.9,74.4,.188,.546,13.1,.159,23.0,42.0,0.35384615384615387
CHO,2021,No,39.9,87.8,.455,26.3,50.8,.517,13.7,37.0,.369,15.9,20.9,.761,10.6,33.2,43.8,26.8,7.8,4.8,14.8,18.0,109.5,18.6,111.4,33,39,-1.93,-0.01,-1.94,110.9,112.8,.532,13.3,23.5,75.7,.181,.550,13.2,.163,33.0,39.0,0.4583333333333333
CHO,2022,No,42.8,91.4,.468,28.8,53.3,.542,13.9,38.2,.365,15.8,21.4,.740,10.8,33.7,44.6,28.1,8.6,4.9,13.3,19.9,115.3,19.6,114.9,43,39,0.44,0.09,0.53,114.1,113.7,.544,11.6,23.3,74.8,.173,.544,13.1,.187,43.0,39.0,0.524390243902439
CHO,2023,No,41.3,90.4,.457,30.5,57.9,.528,10.7,32.5,.330,17.6,23.6,.749,11.0,33.5,44.5,25.1,7.7,5.2,14.2,20.3,111.0,20.3,117.2,27,55,-6.24,0.35,-5.89,109.2,115.3,.516,12.3,23.8,75.5,.195,.544,12.5,.211,27.0,55.0,0.32926829268292684
CHO,2024,No,40.0,87.0,.460,28.0,53.0,.528,12.1,34.0,.355,14.5,18.4,.786,9.3,31.0,40.3,24.8,6.9,4.5,13.8,18.0,106.6,17.5,116.8,21,61,-10.24,0.13,-10.12,109.3,119.8,.529,12.6,21.1,74.5,.167,.572,12.3,.188,21.0,61.0,0.25609756097560976
