Team,Year,Champion,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,opp_pf_per_g,opp_pts_per_g,wins,losses,mov,sos,srs,off_rtg,def_rtg,efg_pct,tov_pct,orb_pct,drb_pct,ft_rate,opp_efg_pct,opp_tov_pct,opp_ft_rate,W,L,WIN%
CLE,1991,No,39.7,83.6,.475,37.8,77.8,.486,2.0,5.8,.334,20.3,26.5,.765,12.3,28.4,40.7,27.3,7.8,5.5,15.6,20.4,101.7,23.1,104.2,33,49,-2.46,0.14,-2.33,106.1,108.7,.487,14.1,29.7,68.0,.243,.497,13.3,.206,33.0,49.0,0.4024390243902439
CLE,1992,No,41.8,85.7,.488,38.7,77.0,.502,3.1,8.6,.357,22.2,27.5,.805,12.7,29.9,42.6,27.6,7.5,7.6,13.1,19.0,108.9,22.9,103.4,57,25,5.45,-0.11,5.34,113.9,108.2,.506,11.8,30.5,66.5,.259,.483,12.3,.174,57.0,25.0,0.6951219512195121
CLE,1993,No,41.8,84.0,.497,38.3,74.9,.511,3.5,9.0,.381,20.7,25.8,.802,11.3,30.4,41.8,28.6,7.5,6.5,13.7,19.3,107.7,22.3,101.3,54,28,6.45,-0.15,6.30,112.7,106.0,.518,12.5,28.1,69.1,.247,.482,13.1,.185,54.0,28.0,0.6585365853658537
CLE,1994,No,38.2,82.1,.465,34.6,72.2,.480,3.6,9.9,.362,21.2,27.5,.770,13.3,28.7,42.0,25.0,8.6,5.2,13.9,20.7,101.2,21.9,97.1,47,35,4.02,-0.39,3.64,109.4,105.1,.487,12.8,31.8,69.0,.258,.484,14.5,.215,47.0,35.0,0.573170731707317
CLE,1995,No,33.6,76.3,.441,28.8,63.7,.452,4.9,12.6,.385,18.4,24.2,.760,12.7,27.3,40.0,20.4,7.7,4.3,14.3,20.7,90.5,21.6,89.8,43,39,0.62,-0.07,0.55,105.3,104.6,.472,14.2,31.8,72.4,.241,.493,15.0,.224,43.0,39.0,0.524390243902439
CLE,1996,No,33.7,73.1,.460,26.4,53.9,.490,7.3,19.3,.377,16.5,21.6,.763,10.6,25.1,35.6,22.2,8.2,4.1,13.1,20.5,91.1,20.3,88.5,47,35,2.59,-0.09,2.49,109.9,106.7,.510,13.7,28.6,70.2,.226,.506,16.3,.242,47.0,35.0,0.573170731707317
CLE,1997,No,33.0,72.8,.453,27.1,57.2,.474,5.9,15.7,.376,15.6,21.6,.723,11.1,26.3,37.4,20.9,8.0,3.8,14.5,23.0,87.5,21.3,85.6,42,40,1.84,0.47,2.32,104.6,102.4,.493,15.0,29.4,71.9,.215,.482,16.8,.281,42.0,40.0,0.5121951219512195
CLE,1998,No,34.4,75.7,.454,30.7,65.9,.466,3.6,9.8,.372,20.2,26.7,.756,11.6,28.4,40.1,23.1,9.9,5.1,17.3,23.6,92.5,23.2,89.8,47,35,2.73,0.33,3.06,102.1,99.1,.478,16.5,30.0,71.1,.266,.460,16.8,.264,47.0,35.0,0.573170731707317
CLE,1999,No,31.2,71.2,.439,27.6,60.5,.456,3.6,10.7,.341,20.3,27.1,.749,9.4,26.3,35.8,21.9,9.0,4.1,15.7,24.2,86.4,24.0,88.2,22,28,-1.72,0.78,-0.94,99.6,101.6,.464,15.9,25.1,69.0,.285,.468,16.2,.267,22.0,28.0,0.44
CLE,2000,No,36.3,82.1,.442,32.1,70.9,.453,4.2,11.2,.373,20.2,26.9,.750,12.3,30.5,42.8,23.7,8.7,4.4,17.4,27.1,97.0,25.1,100.5,32,50,-3.50,-0.14,-3.64,100.4,104.0,.468,15.6,28.1,71.2,.245,.474,15.1,.275,32.0,50.0,0.3902439024390244
