Team,Year,Champion,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,opp_pf_per_g,opp_pts_per_g,wins,losses,mov,sos,srs,off_rtg,def_rtg,efg_pct,tov_pct,orb_pct,drb_pct,ft_rate,opp_efg_pct,opp_tov_pct,opp_ft_rate,W,L,WIN%
DAL,1991,No,39.6,84.0,.471,37.2,76.7,.485,2.4,7.3,.322,18.4,24.2,.761,12.0,28.8,40.8,22.2,7.1,4.8,14.5,22.4,99.9,21.7,104.5,28,54,-4.57,0.31,-4.27,105.5,110.3,.485,13.3,28.3,67.9,.219,.495,12.6,.245,28.0,54.0,0.34146341463414637
DAL,1992,No,38.0,86.6,.439,34.8,76.9,.452,3.3,9.7,.336,18.3,24.4,.750,14.6,29.7,44.3,19.9,6.5,4.3,14.7,22.8,97.6,21.2,105.3,22,60,-7.65,0.18,-7.47,103.0,111.1,.458,13.1,31.2,67.8,.211,.483,11.5,.259,22.0,60.0,0.2682926829268293
DAL,1993,No,38.6,88.7,.435,35.1,78.5,.448,3.5,10.2,.338,18.7,26.5,.705,15.0,27.6,42.7,20.5,7.9,4.3,17.8,28.1,99.3,22.7,114.5,11,71,-15.20,0.52,-14.68,99.5,114.7,.455,15.1,31.1,68.1,.210,.519,13.5,.347,11.0,71.0,0.13414634146341464
DAL,1994,No,37.3,86.2,.432,34.3,76.8,.447,2.9,9.4,.312,17.7,23.7,.747,15.5,26.2,41.7,19.9,9.4,3.6,17.0,24.5,95.1,20.1,103.8,13,69,-8.70,0.50,-8.19,100.4,109.6,.449,15.0,33.7,66.1,.205,.513,15.8,.283,13.0,69.0,0.15853658536585366
DAL,1995,No,39.4,89.5,.440,34.6,74.9,.463,4.7,14.6,.322,19.8,27.0,.734,18.5,29.7,48.1,23.7,7.1,4.2,16.4,22.1,103.2,23.5,106.1,36,46,-2.90,0.51,-2.39,107.6,110.6,.466,13.9,38.9,69.8,.221,.519,13.7,.208,36.0,46.0,0.43902439024390244
DAL,1996,No,38.1,90.6,.420,29.1,65.8,.443,9.0,24.9,.360,17.4,24.1,.722,17.2,29.0,46.2,23.3,7.8,4.2,15.5,22.4,102.5,22.5,107.5,26,56,-4.90,0.19,-4.71,106.1,111.2,.470,13.3,34.1,68.6,.192,.526,14.7,.222,26.0,56.0,0.3170731707317073
DAL,1997,No,34.3,78.7,.436,29.1,62.6,.464,5.2,16.0,.327,16.8,23.4,.717,12.7,27.6,40.3,20.3,8.0,4.3,16.1,21.9,90.6,21.0,97.0,24,58,-6.35,-0.12,-6.47,101.1,108.2,.469,15.4,30.0,67.3,.213,.500,14.9,.229,24.0,58.0,0.2926829268292683
DAL,1998,No,35.1,82.4,.427,30.0,67.9,.442,5.1,14.4,.357,16.0,21.2,.753,12.3,27.8,40.1,18.7,7.9,5.7,14.4,20.0,91.4,19.6,97.5,20,62,-6.11,-0.22,-6.33,100.5,107.2,.458,13.6,27.6,65.1,.194,.488,14.0,.195,20.0,62.0,0.24390243902439024
DAL,1999,No,35.0,80.7,.434,30.9,68.8,.450,4.0,11.9,.339,17.6,24.2,.728,12.9,29.6,42.5,18.4,7.0,5.8,13.8,21.3,91.6,20.8,94.0,19,31,-2.40,-0.10,-2.50,102.3,104.9,.459,13.2,29.8,69.1,.218,.476,13.3,.212,19.0,31.0,0.38
DAL,2000,No,39.0,85.9,.453,32.6,69.8,.468,6.3,16.2,.391,17.2,21.4,.804,11.4,29.8,41.2,22.1,7.2,5.1,13.7,21.6,101.4,22.1,102.0,40,42,-0.57,0.29,-0.29,106.6,107.2,.490,12.6,25.5,66.1,.200,.488,14.2,.210,40.0,42.0,0.4878048780487805
DAL,2001,No,37.6,81.9,.459,31.3,65.4,.479,6.3,16.5,.381,18.9,23.8,.794,10.1,31.4,41.5,21.2,7.5,6.0,13.9,23.3,100.5,22.5,96.2,53,29,4.28,0.32,4.61,107.1,102.6,.498,13.1,24.1,70.7,.231,.467,14.2,.244,53.0,29.0,0.6463414634146342
DAL,2002,No,39.0,84.5,.462,31.5,64.5,.488,7.6,20.1,.378,19.6,24.3,.806,11.2,31.3,42.5,22.1,7.1,4.8,12.1,22.5,105.2,21.8,101.0,57,25,4.26,0.16,4.41,112.2,107.7,.507,11.3,26.1,70.7,.232,.485,12.9,.239,57.0,25.0,0.6951219512195121
DAL,2003,No,38.5,85.1,.453,30.8,64.8,.475,7.8,20.3,.381,18.1,21.9,.829,11.1,31.0,42.1,22.4,8.1,5.5,11.6,21.1,103.0,21.3,95.2,60,22,7.78,0.12,7.90,110.7,102.3,.498,10.9,25.4,70.9,.213,.473,14.8,.221,60.0,22.0,0.7317073170731707
DAL,2004,No,40.5,88.2,.459,34.3,70.4,.488,6.2,17.8,.348,18.0,22.6,.796,14.3,31.0,45.3,23.9,8.0,5.3,12.2,19.6,105.2,20.6,100.8,52,30,4.44,0.42,4.86,112.1,107.4,.495,11.1,31.4,71.6,.204,.498,13.9,.214,52.0,30.0,0.6341463414634146
DAL,2005,No,37.3,81.6,.457,31.6,66.1,.479,5.6,15.5,.364,22.3,28.2,.789,12.1,30.9,42.9,19.6,8.6,5.6,13.4,22.3,102.5,23.2,96.8,58,24,5.74,0.11,5.86,110.3,104.1,.492,12.5,28.6,70.2,.273,.472,14.3,.239,58.0,24.0,0.7073170731707317
DAL,2006,No,36.0,77.7,.462,30.9,64.2,.481,5.1,13.6,.374,22.2,28.3,.783,12.6,29.6,42.2,18.0,7.2,6.0,13.6,22.4,99.1,23.9,93.1,60,22,6.07,-0.11,5.96,111.8,105.0,.495,13.1,31.8,72.2,.285,.475,13.7,.257,60.0,22.0,0.7317073170731707
DAL,2007,No,36.7,78.6,.467,30.2,61.4,.491,6.5,17.1,.381,20.1,24.9,.805,11.2,30.7,41.9,19.9,6.8,5.0,13.9,22.4,100.0,22.1,92.8,67,15,7.22,0.06,7.28,111.3,103.2,.509,13.4,28.7,75.0,.256,.477,14.2,.265,67.0,15.0,0.8170731707317073
DAL,2008,No,36.9,79.5,.464,30.9,62.3,.495,6.0,17.1,.352,20.6,25.3,.814,10.8,32.2,43.0,21.0,6.0,4.9,12.6,21.8,100.4,21.2,95.9,51,31,4.54,0.16,4.70,111.1,106.1,.502,12.3,26.7,75.0,.259,.474,11.7,.252,51.0,31.0,0.6219512195121951
DAL,2009,No,38.1,82.6,.462,31.2,62.7,.498,7.0,19.9,.350,18.5,22.6,.819,11.1,31.6,42.7,21.7,7.2,5.2,12.7,19.5,101.7,20.1,99.8,50,32,1.98,-0.30,1.68,110.5,108.4,.504,12.1,26.6,74.6,.224,.493,12.3,.225,50.0,32.0,0.6097560975609756
DAL,2010,No,38.3,82.4,.464,31.5,64.2,.491,6.8,18.3,.372,18.6,22.8,.816,10.2,31.5,41.7,23.4,7.6,5.5,12.9,19.1,102.0,20.1,99.3,55,27,2.72,-0.06,2.66,109.2,106.3,.506,12.3,24.3,73.7,.226,.495,13.6,.206,55.0,27.0,0.6707317073170732
DAL,2011,Yes,37.4,78.8,.475,29.6,57.3,.516,7.9,21.6,.365,17.5,22.6,.777,9.5,31.9,41.4,23.8,6.8,4.3,14.0,19.2,100.2,20.1,96.0,57,25,4.23,0.18,4.41,109.7,105.0,.525,13.6,24.1,74.8,.222,.488,13.0,.206,57.0,25.0,0.6951219512195121
DAL,2012,No,36.3,82.0,.443,28.8,59.8,.482,7.5,22.2,.339,15.6,20.2,.771,10.1,32.7,42.8,20.9,8.6,5.1,14.0,18.6,95.8,18.4,94.8,36,30,0.95,0.83,1.78,103.3,102.3,.489,13.4,23.4,74.8,.190,.479,13.9,.203,36.0,30.0,0.5454545454545454
DAL,2013,No,38.8,84.0,.462,31.4,64.2,.489,7.4,19.9,.372,16.1,20.4,.793,9.4,32.6,41.9,23.2,7.9,5.5,14.0,20.7,101.1,18.9,101.7,41,41,-0.60,0.36,-0.24,105.9,106.5,.506,13.0,21.8,73.1,.192,.492,13.3,.227,41.0,41.0,0.5
DAL,2014,No,39.6,83.6,.474,30.8,60.7,.508,8.8,22.9,.384,16.8,21.1,.795,10.2,30.7,40.9,23.6,8.6,4.3,13.5,20.0,104.8,19.9,102.4,49,33,2.40,0.50,2.91,111.2,108.7,.526,12.7,24.6,72.7,.201,.515,14.8,.229,49.0,33.0,0.5975609756097561
DAL,2015,No,39.7,85.8,.463,30.8,60.4,.509,8.9,25.4,.352,16.9,22.5,.752,10.5,31.8,42.3,22.5,8.1,4.5,13.0,20.0,105.2,22.1,102.3,50,32,2.90,0.46,3.36,109.5,106.4,.515,11.9,23.6,72.2,.197,.503,14.7,.204,50.0,32.0,0.6097560975609756
DAL,2016,No,37.4,84.1,.444,27.5,55.6,.495,9.8,28.6,.344,17.7,22.3,.794,9.2,33.9,43.1,22.1,6.8,3.7,12.8,19.5,102.3,21.4,102.6,42,40,-0.30,0.29,-0.02,106.7,107.0,.502,12.0,20.6,76.2,.211,.504,12.8,.198,42.0,40.0,0.5121951219512195
DAL,2017,No,36.2,82.3,.440,25.5,52.2,.489,10.7,30.2,.355,14.8,18.5,.801,7.9,30.7,38.6,20.8,7.5,3.7,11.9,19.1,97.9,19.4,100.8,33,49,-2.93,0.40,-2.53,105.6,108.8,.505,11.6,18.1,77.6,.180,.529,14.4,.218,33.0,49.0,0.4024390243902439
DAL,2018,No,38.1,85.9,.444,26.4,53.1,.496,11.8,32.8,.360,14.2,18.7,.763,8.1,33.1,41.3,22.7,7.0,3.8,12.3,19.2,102.3,19.6,105.4,24,58,-3.04,0.34,-2.70,106.3,109.5,.513,11.5,18.0,78.9,.166,.532,12.8,.193,24.0,58.0,0.2926829268292683
DAL,2019,No,38.8,86.9,.447,26.3,50.2,.524,12.5,36.6,.340,18.8,25.3,.742,10.1,35.2,45.3,23.4,6.5,4.3,14.2,20.1,108.9,23.2,110.1,33,49,-1.28,0.42,-0.87,109.4,110.7,.519,12.7,22.7,77.5,.216,.522,11.6,.191,33.0,49.0,0.4024390243902439
DAL,2020,No,41.7,90.3,.461,26.5,49.0,.541,15.1,41.3,.367,18.6,23.8,.779,10.5,36.4,46.9,24.7,6.1,4.8,12.7,19.5,117.0,21.3,112.1,43,32,4.95,-0.07,4.87,116.7,111.7,.545,11.2,23.2,77.7,.206,.525,10.6,.175,43.0,32.0,0.5733333333333334
DAL,2021,No,41.1,87.3,.470,27.3,49.2,.554,13.8,38.1,.362,16.5,21.2,.778,9.1,34.2,43.3,22.9,6.3,4.3,12.1,19.4,112.4,20.1,110.2,42,30,2.26,-0.01,2.26,115.4,113.0,.550,11.1,21.1,77.8,.189,.534,11.5,.197,42.0,30.0,0.5833333333333334
DAL,2022,No,39.3,85.1,.461,26.2,47.8,.548,13.1,37.4,.350,16.4,21.2,.771,9.3,33.8,43.0,23.4,6.7,4.0,12.5,19.7,108.0,20.1,104.7,52,30,3.30,-0.18,3.12,112.8,109.4,.538,11.7,21.3,78.0,.192,.521,12.2,.185,52.0,30.0,0.6341463414634146
DAL,2023,No,40.0,84.3,.475,24.8,43.3,.574,15.2,41.0,.371,19.0,25.1,.755,7.6,31.2,38.8,22.9,6.3,3.7,12.2,20.7,114.2,21.8,114.1,38,44,0.07,-0.22,-0.14,116.8,116.7,.565,11.4,18.0,75.5,.225,.549,11.9,.226,38.0,44.0,0.4634146341463415
DAL,2024,No,43.1,89.7,.481,28.5,50.1,.569,14.6,39.5,.369,17.0,22.5,.758,9.7,33.2,42.9,25.7,6.9,5.0,12.5,18.3,117.9,20.3,115.6,50,32,2.21,0.09,2.30,117.6,115.4,.562,11.2,22.2,75.2,.190,.548,12.1,.184,50.0,32.0,0.6097560975609756
