Team,Year,Champion,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,opp_pf_per_g,opp_pts_per_g,wins,losses,mov,sos,srs,off_rtg,def_rtg,efg_pct,tov_pct,orb_pct,drb_pct,ft_rate,opp_efg_pct,opp_tov_pct,opp_ft_rate,W,L,WIN%
DEN,1991,No,47.6,108.1,.440,43.9,95.2,.461,3.7,12.9,.283,21.0,27.6,.763,18.5,30.9,49.4,24.5,10.4,5.0,16.2,27.3,119.9,22.5,130.8,20,62,-10.91,0.60,-10.31,105.2,114.7,.457,11.9,33.1,67.1,.195,.524,14.1,.299,20.0,62.0,0.24390243902439024
DEN,1992,No,39.8,90.0,.442,38.2,84.9,.450,1.5,5.1,.301,18.6,25.2,.738,16.5,28.7,45.1,18.9,9.4,5.6,17.6,24.2,99.7,21.8,107.6,24,58,-7.87,0.28,-7.59,100.7,108.6,.451,14.9,34.8,68.0,.207,.494,14.7,.279,24.0,58.0,0.2926829268292683
DEN,1993,No,40.9,88.8,.460,39.2,83.3,.471,1.7,5.5,.304,21.8,28.8,.756,15.4,31.3,46.7,21.2,7.9,6.9,17.2,24.9,105.2,24.2,106.9,36,46,-1.74,-0.40,-2.14,104.6,106.3,.470,14.5,33.6,68.9,.245,.476,13.9,.263,36.0,46.0,0.43902439024390244
DEN,1994,No,38.5,82.7,.465,36.4,75.4,.483,2.1,7.3,.285,21.2,29.5,.718,13.5,31.2,44.7,21.5,8.3,8.4,17.3,23.5,100.3,23.9,98.8,42,40,1.49,0.05,1.54,103.9,102.3,.478,15.3,32.2,69.6,.256,.453,13.4,.252,42.0,40.0,0.5121951219512195
DEN,1995,No,37.8,78.8,.479,32.7,64.6,.507,5.0,14.1,.356,20.7,28.1,.738,12.7,29.3,42.0,22.4,8.0,7.1,16.8,25.2,101.3,23.9,100.5,41,41,0.84,0.11,0.96,109.1,108.2,.511,15.6,32.0,70.2,.263,.487,13.2,.257,41.0,41.0,0.5
DEN,1996,No,36.6,81.2,.451,31.8,67.2,.473,4.8,14.0,.346,19.7,26.5,.743,12.9,30.3,43.2,22.6,6.4,7.3,15.4,23.0,97.7,23.2,100.4,35,47,-2.71,0.09,-2.62,105.2,108.1,.481,14.2,30.7,72.7,.242,.492,12.8,.237,35.0,47.0,0.4268292682926829
DEN,1997,No,35.8,81.5,.439,28.0,60.7,.462,7.8,20.9,.372,18.5,24.3,.761,12.1,29.9,42.0,23.0,6.1,5.9,16.6,21.8,97.8,21.0,104.1,21,61,-6.28,-0.12,-6.40,104.5,111.2,.486,15.2,28.8,69.3,.227,.501,11.8,.206,21.0,61.0,0.25609756097560976
DEN,1998,No,32.6,78.2,.417,29.1,67.3,.433,3.5,10.9,.323,20.2,26.2,.772,12.7,26.3,39.0,18.9,8.1,4.8,16.0,23.6,89.0,21.7,100.8,11,71,-11.78,0.04,-11.74,99.0,112.1,.440,15.1,30.2,66.3,.259,.506,14.3,.285,11.0,71.0,0.13414634146341464
DEN,1999,No,33.6,79.8,.421,27.6,61.3,.450,6.0,18.4,.328,20.2,26.5,.762,12.9,27.8,40.8,19.4,7.5,5.5,14.8,22.9,93.5,22.1,100.1,14,36,-6.60,-0.07,-6.67,103.1,110.4,.459,13.9,30.1,69.2,.253,.499,13.2,.248,14.0,36.0,0.28
DEN,2000,No,37.3,84.3,.442,31.5,67.2,.469,5.7,17.0,.336,18.7,25.8,.724,13.1,31.6,44.7,23.3,6.8,7.5,15.6,23.9,99.0,23.6,101.1,35,47,-2.12,0.36,-1.76,103.5,105.8,.476,14.0,29.2,71.6,.222,.479,13.0,.235,35.0,47.0,0.4268292682926829
DEN,2001,No,36.3,83.9,.433,30.1,66.3,.454,6.2,17.6,.355,17.7,24.0,.737,12.7,31.5,44.2,24.0,6.7,6.6,13.9,22.2,96.6,21.4,99.0,40,42,-2.46,0.64,-1.83,103.7,106.3,.470,12.8,28.3,71.8,.211,.476,12.1,.223,40.0,42.0,0.4878048780487805
DEN,2002,No,35.5,83.8,.424,30.4,68.1,.446,5.2,15.7,.329,15.9,21.4,.744,13.6,28.2,41.8,22.2,7.5,5.6,14.7,22.8,92.2,20.1,98.0,27,55,-5.82,0.63,-5.19,101.4,107.8,.455,13.6,30.6,69.9,.190,.492,13.6,.245,27.0,55.0,0.32926829268292684
DEN,2003,No,32.8,79.8,.411,30.0,69.8,.430,2.8,10.0,.278,15.8,22.6,.699,13.6,28.8,42.4,21.2,8.7,5.1,18.5,25.1,84.2,21.8,92.4,17,65,-8.28,0.87,-7.41,92.2,101.3,.428,17.1,31.3,73.3,.198,.477,16.5,.290,17.0,65.0,0.2073170731707317
DEN,2004,No,36.5,82.5,.443,32.5,70.5,.461,4.0,12.0,.336,20.2,26.3,.767,13.2,29.1,42.3,21.9,9.1,6.3,15.6,22.0,97.2,23.1,96.1,43,39,1.07,0.58,1.65,103.9,102.7,.467,14.2,30.5,69.3,.245,.481,15.6,.221,43.0,39.0,0.524390243902439
DEN,2005,No,37.0,80.7,.459,33.1,69.2,.479,3.9,11.5,.340,21.5,28.2,.763,11.8,30.2,42.0,23.9,9.1,6.0,14.9,22.9,99.5,23.9,97.5,49,33,2.02,0.20,2.23,106.0,103.9,.483,13.8,28.4,71.7,.267,.482,15.1,.247,49.0,33.0,0.5975609756097561
DEN,2006,No,37.5,81.4,.461,33.3,68.2,.487,4.3,13.1,.325,21.0,28.2,.744,11.0,30.3,41.3,23.4,8.5,5.6,14.8,22.7,100.3,23.3,100.1,44,38,0.23,0.13,0.36,105.5,105.2,.488,13.7,26.8,72.0,.258,.493,14.7,.227,44.0,38.0,0.5365853658536586
DEN,2007,No,38.6,83.0,.465,32.7,65.4,.500,5.9,17.6,.336,22.3,29.9,.746,12.2,31.2,43.4,23.4,8.3,5.3,16.5,21.4,105.4,23.7,103.7,45,37,1.62,0.07,1.69,107.6,105.9,.501,14.6,28.9,71.8,.268,.499,14.5,.203,45.0,37.0,0.5487804878048781
DEN,2008,No,40.3,85.8,.470,33.4,66.3,.504,6.9,19.6,.355,23.1,30.7,.751,11.2,32.9,44.1,24.7,9.2,6.7,14.7,21.1,110.7,23.8,107.0,50,32,3.71,0.03,3.74,110.0,106.3,.510,12.9,25.5,72.1,.269,.499,14.1,.203,50.0,32.0,0.6097560975609756
DEN,2009,No,37.3,79.4,.470,30.6,61.4,.499,6.7,18.0,.371,23.1,30.3,.760,11.0,30.6,41.6,22.2,8.7,6.0,15.3,22.9,104.3,23.7,100.9,54,28,3.41,-0.29,3.13,110.4,106.8,.512,14.2,27.5,71.7,.290,.485,14.1,.259,54.0,28.0,0.6585365853658537
DEN,2010,No,38.1,81.4,.468,31.5,62.9,.500,6.6,18.5,.359,23.6,30.6,.772,10.8,30.5,41.4,21.0,8.3,5.1,13.9,22.5,106.5,23.7,102.4,53,29,4.09,0.06,4.15,111.8,107.5,.509,12.7,26.1,72.4,.290,.495,13.8,.251,53.0,29.0,0.6463414634146342
DEN,2011,No,38.4,80.6,.476,30.3,59.9,.506,8.1,20.8,.388,22.7,29.6,.765,9.6,32.3,42.0,22.1,7.4,4.3,14.1,21.0,107.5,22.7,102.7,50,32,4.76,0.05,4.81,112.3,107.3,.526,13.1,23.9,75.4,.281,.500,12.7,.224,50.0,32.0,0.6097560975609756
DEN,2012,No,39.0,81.9,.476,32.4,62.0,.522,6.6,19.9,.332,19.6,26.7,.735,11.2,31.9,43.1,24.0,8.2,5.0,15.4,19.7,104.1,22.0,101.2,38,28,2.88,0.29,3.16,109.2,106.2,.516,14.1,27.7,74.3,.239,.508,14.3,.185,38.0,28.0,0.5757575757575758
DEN,2013,No,40.7,85.2,.478,34.4,66.6,.516,6.4,18.5,.343,18.4,26.2,.701,13.3,31.7,45.0,24.4,9.3,6.5,15.3,20.5,106.1,21.6,101.1,57,25,5.09,0.28,5.37,110.4,105.1,.515,13.6,31.4,71.8,.216,.493,14.3,.193,57.0,25.0,0.6951219512195121
