Team,Year,Champion,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,opp_pf_per_g,opp_pts_per_g,wins,losses,mov,sos,srs,off_rtg,def_rtg,efg_pct,tov_pct,orb_pct,drb_pct,ft_rate,opp_efg_pct,opp_tov_pct,opp_ft_rate,W,L,WIN%
DET,1991,No,39.0,83.8,.465,37.4,78.5,.476,1.6,5.4,.298,20.6,27.0,.763,14.7,29.9,44.6,22.3,5.9,4.5,14.4,22.8,100.1,24.2,96.8,50,32,3.27,-0.19,3.08,108.2,104.6,.474,13.1,34.7,71.0,.245,.464,12.8,.248,50.0,32.0,0.6097560975609756
DET,1992,No,38.9,83.7,.465,36.9,77.3,.477,2.0,6.4,.314,19.1,25.7,.743,14.8,29.5,44.3,23.2,6.7,4.4,14.8,20.1,98.9,23.4,96.9,48,34,2.04,0.01,2.06,107.5,105.3,.477,13.5,34.9,68.5,.228,.468,12.5,.204,48.0,34.0,0.5853658536585366
DET,1993,No,39.8,87.9,.453,36.3,76.9,.472,3.6,11.1,.322,17.4,23.9,.729,15.8,28.2,44.0,23.7,7.1,3.0,14.0,21.3,100.6,22.0,102.0,40,42,-1.39,0.29,-1.10,107.4,108.9,.473,12.5,34.6,67.8,.198,.500,13.5,.212,40.0,42.0,0.4878048780487805
DET,1994,No,38.6,85.6,.452,34.3,72.9,.470,4.4,12.7,.344,15.3,20.9,.731,12.5,28.3,40.8,21.5,7.3,3.8,15.1,23.6,96.9,19.5,104.7,20,62,-7.78,0.33,-7.46,102.7,110.9,.477,13.7,28.4,66.1,.179,.493,12.8,.262,20.0,62.0,0.24390243902439024
DET,1995,No,37.3,80.9,.461,31.3,63.9,.490,6.0,17.0,.354,17.5,23.7,.741,11.7,26.9,38.6,22.8,8.6,5.1,16.1,26.2,98.2,21.3,105.5,28,54,-7.29,0.21,-7.08,105.1,112.9,.499,15.0,28.3,65.8,.217,.510,14.2,.299,28.0,54.0,0.34146341463414637
DET,1996,No,34.3,74.7,.459,27.6,58.2,.475,6.6,16.5,.404,20.2,26.9,.751,10.8,29.8,40.5,19.6,6.2,4.3,14.8,23.8,95.4,23.0,92.9,46,36,2.50,-0.05,2.45,107.9,105.1,.504,14.6,28.0,71.7,.271,.483,13.7,.229,46.0,36.0,0.5609756097560976
DET,1997,No,34.5,74.3,.464,27.4,56.0,.488,7.1,18.3,.388,18.1,24.3,.745,10.5,28.0,38.4,19.0,7.7,3.5,12.7,20.1,94.2,21.8,88.9,54,28,5.24,0.20,5.45,110.6,104.4,.512,13.0,27.5,70.4,.244,.487,14.6,.197,54.0,28.0,0.6585365853658537
DET,1998,No,34.9,77.7,.449,31.3,66.3,.473,3.6,11.4,.312,20.8,27.9,.745,12.7,28.5,41.2,19.5,8.3,4.2,14.6,22.0,94.2,22.9,92.6,37,45,1.57,0.37,1.95,105.3,103.5,.472,14.0,30.9,70.2,.267,.474,14.8,.243,37.0,45.0,0.45121951219512196
DET,1999,No,33.2,74.3,.447,28.2,60.7,.465,5.0,13.6,.365,19.0,25.7,.740,12.1,28.2,40.3,20.2,8.9,4.2,15.8,22.8,90.4,22.3,86.9,29,21,3.42,0.55,3.97,104.2,100.3,.480,15.6,30.5,72.0,.256,.468,15.4,.259,29.0,21.0,0.58
DET,2000,No,37.1,80.9,.459,31.8,66.0,.481,5.4,14.9,.359,23.9,30.6,.781,11.2,30.0,41.2,20.8,8.1,3.3,15.7,24.5,103.5,27.1,102.0,42,40,1.44,-0.31,1.13,107.3,105.8,.492,14.3,26.8,71.6,.295,.499,15.4,.249,42.0,40.0,0.5121951219512195
