Team,Year,Champion,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,opp_pf_per_g,opp_pts_per_g,wins,losses,mov,sos,srs,off_rtg,def_rtg,efg_pct,tov_pct,orb_pct,drb_pct,ft_rate,opp_efg_pct,opp_tov_pct,opp_ft_rate,W,L,WIN%
GSW,1991,No,43.5,89.6,.485,40.2,79.8,.504,3.3,9.8,.337,26.4,33.7,.783,13.6,28.1,41.7,23.8,9.8,4.6,16.6,26.9,116.6,26.9,115.0,44,38,1.63,0.09,1.72,111.9,110.3,.504,13.7,31.0,64.1,.294,.497,15.2,.289,44.0,38.0,0.5365853658536586
GSW,1992,No,45.9,90.6,.507,42.8,81.3,.527,3.1,9.3,.333,23.7,31.8,.746,13.9,29.0,42.8,25.2,10.4,4.6,16.5,25.0,118.7,24.6,114.8,55,27,3.90,-0.14,3.77,113.6,109.9,.524,13.6,31.8,64.2,.262,.499,14.9,.256,55.0,27.0,0.6707317073170732
GSW,1993,No,42.4,88.0,.482,38.7,77.6,.499,3.6,10.4,.350,21.6,30.1,.717,14.9,29.1,43.9,24.5,8.5,4.7,17.7,25.1,109.9,24.3,110.9,34,48,-0.99,0.05,-0.94,109.2,110.2,.502,14.9,34.2,67.0,.245,.501,14.0,.261,34.0,48.0,0.4146341463414634
GSW,1994,No,42.8,87.1,.492,39.3,76.7,.512,3.5,10.5,.339,18.6,28.1,.664,14.4,29.2,43.6,26.8,9.8,6.2,17.5,21.8,107.9,22.8,106.1,50,32,1.74,0.01,1.76,108.3,106.5,.512,14.9,32.9,64.4,.214,.488,14.7,.210,50.0,32.0,0.6097560975609756
GSW,1995,No,39.2,83.8,.468,32.6,64.3,.507,6.7,19.5,.341,20.6,29.2,.704,13.4,28.9,42.3,24.6,7.9,4.8,18.3,22.0,105.7,26.0,111.1,26,56,-5.41,0.51,-4.90,106.7,112.2,.508,15.9,30.3,66.5,.245,.522,13.9,.216,26.0,56.0,0.3170731707317073
GSW,1996,No,37.3,81.7,.456,31.8,67.1,.474,5.5,14.6,.373,21.6,28.5,.759,14.3,27.9,42.2,23.0,8.6,5.7,16.4,22.4,101.6,23.9,103.1,36,46,-1.45,0.03,-1.42,108.4,109.9,.489,14.8,33.9,67.2,.265,.510,15.2,.232,36.0,46.0,0.43902439024390244
GSW,1997,No,36.5,80.1,.456,30.7,63.5,.483,5.9,16.6,.353,20.7,26.6,.778,13.2,27.5,40.8,22.2,7.5,4.4,17.2,21.8,99.6,23.0,104.4,30,52,-4.71,-0.20,-4.90,107.2,112.2,.493,15.8,32.3,67.5,.258,.518,14.4,.234,30.0,52.0,0.36585365853658536
GSW,1998,No,34.7,83.9,.413,32.4,75.5,.429,2.3,8.5,.272,16.6,23.3,.710,15.7,30.2,45.9,20.8,7.6,5.5,16.7,22.7,88.3,20.0,97.4,19,63,-9.12,-0.08,-9.20,95.8,105.7,.427,15.1,33.7,68.6,.197,.469,13.0,.247,19.0,63.0,0.23170731707317074
GSW,1999,No,34.6,83.5,.415,31.4,72.2,.435,3.2,11.3,.287,15.9,23.5,.676,16.3,31.2,47.5,20.7,8.3,4.4,15.4,25.4,88.3,20.5,90.8,21,29,-2.50,-0.13,-2.63,98.4,101.1,.434,14.1,35.2,70.4,.190,.445,14.0,.290,21.0,29.0,0.42
GSW,2000,No,36.5,87.1,.420,32.3,74.0,.437,4.2,13.0,.323,18.3,26.2,.697,15.9,29.7,45.6,22.6,8.9,4.3,15.9,24.9,95.5,23.0,103.8,19,63,-8.27,0.64,-7.63,99.8,108.4,.444,13.9,32.6,69.1,.210,.499,14.6,.259,19.0,63.0,0.23170731707317074
