Team,Year,Champion,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,opp_pf_per_g,opp_pts_per_g,wins,losses,mov,sos,srs,off_rtg,def_rtg,efg_pct,tov_pct,orb_pct,drb_pct,ft_rate,opp_efg_pct,opp_tov_pct,opp_ft_rate,W,L,WIN%
HOU,1991,No,41.5,88.9,.467,37.6,76.8,.490,3.9,12.1,.320,19.9,26.8,.741,15.5,30.6,46.1,23.2,9.7,5.0,17.1,22.9,106.7,21.8,103.2,52,30,3.50,-0.23,3.27,107.4,103.9,.489,14.5,34.4,66.9,.224,.469,14.7,.220,52.0,30.0,0.6341463414634146
HOU,1992,No,39.9,84.1,.475,35.9,72.4,.496,4.0,11.7,.343,18.2,24.6,.738,13.1,29.7,42.8,25.1,8.0,7.0,16.8,21.6,102.0,20.4,103.7,42,40,-1.72,-0.22,-1.94,106.2,108.0,.499,15.0,30.9,66.4,.216,.477,12.5,.209,42.0,40.0,0.5121951219512195
HOU,1993,No,40.0,82.2,.486,35.3,69.2,.510,4.7,13.1,.361,19.3,25.5,.758,12.0,30.9,42.9,25.8,8.3,6.6,15.8,20.7,104.0,21.9,99.8,55,27,4.23,-0.66,3.57,109.6,105.2,.515,14.5,30.0,68.5,.235,.474,13.4,.201,55.0,27.0,0.6707317073170732
HOU,1994,Yes,39.0,82.1,.475,33.8,66.4,.508,5.2,15.7,.334,17.9,24.1,.743,11.3,31.9,43.2,25.5,8.7,5.9,16.3,20.1,101.1,21.3,96.8,58,24,4.32,-0.12,4.19,105.9,101.4,.507,15.0,27.6,69.7,.218,.458,13.3,.192,58.0,24.0,0.7073170731707317
HOU,1995,Yes,38.5,80.2,.480,30.6,58.8,.521,7.9,21.4,.368,18.6,24.9,.749,10.7,29.8,40.5,25.1,8.8,6.3,16.1,20.9,103.5,21.7,101.4,47,35,2.12,0.20,2.32,109.7,107.4,.529,15.0,26.9,67.7,.232,.489,13.9,.199,47.0,35.0,0.573170731707317
HOU,1996,No,37.5,81.0,.464,29.8,59.5,.501,7.8,21.5,.362,19.6,25.7,.765,11.2,29.9,41.1,24.2,7.9,5.8,15.2,21.4,102.5,22.5,100.7,48,34,1.74,-0.12,1.63,109.3,107.4,.512,14.1,26.9,68.6,.243,.495,13.6,.206,48.0,34.0,0.5853658536585366
HOU,1997,No,37.0,79.1,.468,28.9,56.6,.509,8.2,22.4,.365,18.3,24.3,.755,11.3,31.3,42.6,24.5,8.4,4.2,16.6,19.6,100.6,21.2,96.1,57,25,4.48,-0.62,3.85,108.8,104.0,.520,15.6,28.4,71.4,.232,.481,13.3,.190,57.0,25.0,0.6951219512195121
HOU,1998,No,35.9,79.4,.452,28.9,59.1,.490,7.0,20.4,.343,19.9,25.9,.771,12.0,28.7,40.7,21.9,8.4,3.6,15.8,20.2,98.8,21.3,99.5,41,41,-0.76,-0.47,-1.23,107.7,108.6,.496,14.8,29.8,69.3,.251,.499,13.3,.208,41.0,41.0,0.5
HOU,1999,No,35.1,76.0,.462,28.4,57.7,.492,6.7,18.3,.368,17.3,23.7,.729,10.7,30.8,41.5,21.2,7.7,5.2,16.2,19.2,94.2,20.6,91.9,31,19,2.32,-0.93,1.39,105.4,102.9,.506,15.8,27.8,69.9,.228,.461,12.4,.188,31.0,19.0,0.62
HOU,2000,No,36.6,81.3,.450,29.5,61.5,.480,7.1,19.8,.358,19.2,26.2,.733,12.3,31.5,43.8,21.6,7.5,5.3,17.4,20.3,99.5,22.4,100.3,34,48,-0.87,0.30,-0.57,104.8,105.7,.494,15.8,29.1,71.6,.236,.481,12.5,.201,34.0,48.0,0.4146341463414634
