Team,Year,Champion,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,opp_pf_per_g,opp_pts_per_g,wins,losses,mov,sos,srs,off_rtg,def_rtg,efg_pct,tov_pct,orb_pct,drb_pct,ft_rate,opp_efg_pct,opp_tov_pct,opp_ft_rate,W,L,WIN%
IND,1991,No,42.1,85.3,.493,39.0,76.2,.513,3.0,9.1,.332,24.5,30.2,.811,12.4,29.0,41.4,26.6,8.0,4.4,16.5,25.5,111.7,24.8,112.1,41,41,-0.39,0.02,-0.37,111.7,112.1,.511,14.4,30.6,66.4,.287,.503,13.1,.254,41.0,41.0,0.5
IND,1992,No,42.7,86.3,.494,38.6,74.9,.516,4.1,11.5,.354,22.8,28.8,.790,13.2,31.3,44.5,29.2,8.6,4.8,17.1,26.1,112.2,24.2,110.3,40,42,1.89,-0.04,1.85,111.7,109.9,.518,14.7,31.8,67.4,.264,.483,12.8,.270,40.0,42.0,0.4878048780487805
IND,1993,No,41.1,85.6,.480,38.0,76.0,.500,3.1,9.6,.326,22.4,29.3,.766,14.9,29.9,44.8,26.1,7.5,4.9,15.3,24.9,107.8,24.1,106.1,41,41,1.70,0.08,1.77,111.9,110.1,.498,13.5,34.2,67.4,.262,.485,12.7,.281,41.0,41.0,0.5
IND,1994,No,38.6,79.5,.486,36.4,73.4,.496,2.2,6.1,.368,21.5,29.1,.738,13.8,29.4,43.2,25.1,8.6,5.6,17.6,24.1,101.0,24.2,97.5,47,35,3.45,-0.19,3.26,107.8,104.2,.500,16.0,34.4,68.0,.270,.471,14.9,.267,47.0,35.0,0.573170731707317
IND,1995,No,36.4,76.2,.477,31.8,64.2,.496,4.6,12.0,.380,21.9,29.1,.751,12.8,27.9,40.7,22.9,8.6,4.4,16.3,23.6,99.2,25.1,95.5,52,30,3.70,-0.34,3.35,109.6,105.6,.507,15.5,32.8,68.6,.287,.493,15.8,.237,52.0,30.0,0.6341463414634146
IND,1996,No,36.3,75.7,.480,31.9,63.8,.500,4.4,11.9,.373,22.2,29.5,.755,12.3,27.6,39.9,23.4,7.1,3.9,16.3,24.8,99.3,24.9,96.1,52,30,3.24,-0.14,3.11,110.8,107.2,.509,15.5,33.0,69.3,.294,.491,14.7,.271,52.0,30.0,0.6341463414634146
IND,1997,No,34.8,76.3,.456,29.5,62.5,.472,5.2,13.8,.381,20.6,28.5,.722,12.5,29.1,41.7,21.3,7.1,4.8,16.3,24.1,95.4,23.8,94.4,39,43,0.98,0.52,1.49,105.8,104.7,.490,15.5,31.3,70.4,.270,.480,15.0,.258,39.0,43.0,0.47560975609756095
IND,1998,No,35.6,75.9,.469,30.7,63.3,.485,4.9,12.5,.390,19.9,26.0,.764,10.7,28.6,39.3,23.0,7.9,4.5,14.2,22.7,96.0,22.5,89.9,58,24,6.09,0.16,6.25,108.4,101.5,.502,14.0,27.9,67.8,.262,.453,14.4,.236,58.0,24.0,0.7073170731707317
IND,1999,No,34.6,77.3,.448,28.7,61.3,.469,5.9,16.0,.368,19.5,24.6,.796,11.5,29.0,40.5,20.1,6.3,4.5,13.0,21.6,94.7,22.5,90.9,33,17,3.74,0.12,3.86,108.7,104.4,.486,12.8,28.7,69.9,.253,.460,12.7,.236,33.0,17.0,0.66
IND,2000,No,37.2,81.0,.459,30.0,62.8,.478,7.1,18.1,.392,19.9,24.5,.811,10.3,31.9,42.1,22.6,6.8,5.1,14.1,21.8,101.3,23.3,96.7,56,26,4.60,-0.45,4.15,108.5,103.6,.503,13.3,24.9,71.5,.245,.469,12.6,.197,56.0,26.0,0.6829268292682927
IND,2001,No,34.5,78.4,.440,29.7,64.3,.461,4.8,14.1,.342,18.8,24.5,.766,11.2,31.6,42.9,21.5,6.9,5.9,15.2,23.5,92.6,23.0,92.8,41,41,-0.20,-0.57,-0.77,102.0,102.2,.471,14.5,27.0,71.4,.239,.452,12.8,.235,41.0,41.0,0.5
IND,2002,No,35.8,80.2,.446,30.9,65.7,.470,4.9,14.6,.339,20.3,26.3,.772,11.3,31.3,42.7,23.0,8.0,5.3,15.2,22.9,96.8,22.6,96.5,42,40,0.27,-0.34,-0.07,104.1,103.8,.477,14.2,27.0,71.0,.253,.469,13.2,.227,42.0,40.0,0.5121951219512195
IND,2003,No,35.5,80.6,.441,30.9,66.9,.461,4.6,13.6,.339,21.2,27.7,.766,12.2,32.0,44.2,23.3,8.5,5.4,14.8,22.1,96.8,23.5,93.3,48,34,3.49,-0.70,2.79,104.6,100.8,.469,13.7,29.0,72.3,.263,.458,14.3,.228,48.0,34.0,0.5853658536585366
IND,2004,No,33.6,77.1,.435,28.1,61.5,.457,5.5,15.6,.351,18.8,24.6,.764,11.8,29.9,41.7,21.6,8.9,5.0,14.4,20.8,91.4,21.9,85.6,61,21,5.76,-0.82,4.93,103.8,97.2,.471,14.1,28.5,73.9,.243,.459,15.7,.218,61.0,21.0,0.7439024390243902
IND,2005,No,32.5,75.2,.432,25.9,56.0,.463,6.6,19.2,.344,21.3,26.9,.792,10.6,29.5,40.1,18.2,7.5,4.4,14.3,23.0,93.0,23.0,92.2,44,38,0.76,-0.27,0.49,105.5,104.6,.476,14.1,26.4,71.3,.283,.472,13.6,.261,44.0,38.0,0.5365853658536586
IND,2006,No,34.0,76.5,.444,27.4,57.8,.475,6.5,18.7,.349,19.4,26.3,.737,11.0,31.2,42.2,19.9,7.3,5.0,15.3,22.2,93.9,22.0,92.0,41,41,1.89,-0.27,1.62,104.5,102.4,.487,14.8,27.1,72.6,.254,.464,13.0,.232,41.0,41.0,0.5
IND,2007,No,35.0,80.0,.438,29.2,63.1,.462,5.9,16.9,.346,19.7,25.9,.760,12.1,29.8,41.8,20.5,7.3,5.5,16.3,23.3,95.6,23.7,98.0,35,47,-2.44,-0.18,-2.62,102.9,105.5,.474,15.1,28.4,72.7,.246,.491,14.8,.271,35.0,47.0,0.4268292682926829
IND,2008,No,37.8,85.3,.444,28.6,60.6,.472,9.2,24.6,.374,19.1,24.9,.768,11.0,32.1,43.1,22.7,7.6,5.0,15.1,23.4,104.0,21.7,105.4,36,46,-1.40,-0.46,-1.87,106.0,107.5,.498,13.5,24.4,73.9,.224,.498,14.1,.271,36.0,46.0,0.43902439024390244
IND,2009,No,39.3,86.3,.455,31.3,65.3,.480,8.0,21.0,.378,18.6,23.0,.807,11.3,32.5,43.7,21.6,7.0,5.3,14.5,23.1,105.1,20.6,106.2,36,46,-1.11,0.35,-0.76,108.1,109.2,.501,13.1,25.4,74.5,.215,.499,12.7,.271,36.0,46.0,0.43902439024390244
IND,2010,No,36.8,83.2,.443,28.8,60.1,.479,8.0,23.1,.348,19.1,24.6,.775,9.6,31.9,41.5,21.1,7.1,5.4,15.0,22.5,100.8,20.8,103.8,32,50,-3.01,-0.10,-3.11,103.7,106.8,.491,13.8,21.6,73.0,.229,.490,13.4,.258,32.0,50.0,0.3902439024390244
IND,2011,No,36.6,82.8,.442,29.5,62.6,.471,7.1,20.2,.354,19.4,24.8,.782,11.1,32.4,43.5,19.6,7.1,5.6,15.4,21.7,99.8,21.4,100.9,37,45,-1.07,-0.30,-1.38,104.8,106.0,.486,14.1,25.9,74.1,.235,.487,12.8,.237,37.0,45.0,0.45121951219512196
