Team,Year,Champion,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,opp_pf_per_g,opp_pts_per_g,wins,losses,mov,sos,srs,off_rtg,def_rtg,efg_pct,tov_pct,orb_pct,drb_pct,ft_rate,opp_efg_pct,opp_tov_pct,opp_ft_rate,W,L,WIN%
LAC,1991,No,41.4,89.2,.464,40.0,83.9,.476,1.4,5.3,.260,19.5,27.7,.702,15.2,30.5,45.7,25.8,8.8,6.2,17.5,24.9,103.5,23.0,107.0,31,51,-3.45,0.29,-3.16,103.0,106.5,.471,14.7,33.3,69.2,.218,.481,13.7,.266,31.0,51.0,0.3780487804878049
LAC,1992,No,40.8,86.3,.473,39.0,80.2,.487,1.8,6.1,.289,19.5,27.1,.720,13.8,29.2,43.0,25.0,10.0,6.1,15.5,22.8,102.9,22.8,101.9,45,37,1.07,0.03,1.10,105.8,104.7,.483,13.6,31.6,67.5,.226,.475,14.9,.244,45.0,37.0,0.5487804878048781
LAC,1993,No,43.2,89.4,.484,41.6,83.4,.499,1.6,6.0,.271,19.0,26.5,.718,14.4,28.8,43.2,27.3,10.3,6.0,16.3,23.4,107.1,21.6,106.8,41,41,0.35,-0.03,0.33,107.4,107.1,.493,13.9,32.7,66.7,.213,.489,15.1,.263,41.0,41.0,0.5
LAC,1994,No,40.8,87.4,.467,37.7,77.2,.488,3.1,10.1,.303,18.4,26.0,.709,13.7,29.4,43.0,26.5,9.8,5.1,18.0,21.6,103.0,21.8,108.7,27,55,-5.72,0.44,-5.28,102.9,108.6,.484,15.4,30.4,64.1,.211,.494,14.0,.213,27.0,55.0,0.32926829268292684
LAC,1995,No,37.3,84.0,.444,33.3,71.2,.468,4.0,12.8,.315,18.0,25.4,.710,13.0,25.3,38.3,22.0,9.6,5.3,16.3,26.2,96.7,23.2,105.8,17,65,-9.16,0.73,-8.43,101.5,111.1,.468,14.6,29.6,65.7,.214,.526,16.6,.290,17.0,65.0,0.2073170731707317
LAC,1996,No,38.1,80.7,.472,31.9,64.0,.499,6.2,16.8,.370,17.0,24.2,.702,11.9,26.7,38.6,20.4,8.6,5.0,16.5,24.5,99.4,22.7,103.0,29,53,-3.60,0.13,-3.46,106.5,110.3,.511,15.3,29.3,67.9,.210,.512,15.2,.282,29.0,53.0,0.35365853658536583
LAC,1997,No,36.5,81.7,.446,30.7,65.3,.469,5.8,16.3,.354,18.5,25.3,.731,13.3,27.3,40.7,20.3,8.9,5.4,16.0,24.0,97.2,22.7,99.5,36,46,-2.35,-0.31,-2.66,105.1,107.6,.482,14.7,30.8,68.1,.227,.499,15.5,.269,36.0,46.0,0.43902439024390244
LAC,1998,No,35.7,81.6,.438,29.3,63.7,.461,6.4,17.9,.358,18.0,25.0,.723,12.7,27.8,40.4,18.7,7.6,5.6,16.1,22.3,95.9,21.3,103.3,17,65,-7.37,-0.16,-7.53,103.3,111.2,.477,14.8,29.6,66.1,.221,.498,12.9,.243,17.0,65.0,0.2073170731707317
LAC,1999,No,34.2,80.1,.427,29.9,66.8,.448,4.3,13.4,.320,17.7,24.5,.721,13.3,25.9,39.2,16.4,8.5,4.7,15.9,24.5,90.4,20.8,99.2,9,41,-8.82,-0.12,-8.94,100.0,109.7,.454,14.9,30.6,66.9,.220,.503,14.8,.279,9.0,41.0,0.18
LAC,2000,No,35.1,82.4,.426,29.9,67.0,.446,5.2,15.5,.339,16.6,22.3,.746,11.6,29.0,40.6,18.0,7.0,6.0,16.2,22.2,92.0,21.1,103.5,15,67,-11.52,0.80,-10.73,97.8,110.1,.458,14.9,26.1,69.6,.202,.507,13.1,.220,15.0,67.0,0.18292682926829268
