Team,Year,Champion,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,opp_pf_per_g,opp_pts_per_g,wins,losses,mov,sos,srs,off_rtg,def_rtg,efg_pct,tov_pct,orb_pct,drb_pct,ft_rate,opp_efg_pct,opp_tov_pct,opp_ft_rate,W,L,WIN%
LAL,1991,No,40.8,84.3,.484,38.0,75.2,.505,2.8,9.1,.304,22.0,27.6,.798,13.1,29.8,42.9,25.5,7.8,4.7,14.7,18.6,106.3,22.2,99.6,58,24,6.74,-0.01,6.73,112.1,105.0,.500,13.2,33.0,68.3,.261,.474,12.8,.176,58.0,24.0,0.7073170731707317
LAL,1992,No,38.8,85.1,.456,37.4,79.7,.469,1.5,5.4,.267,21.3,27.8,.766,14.1,26.8,40.9,22.0,9.2,4.9,13.3,18.8,100.4,22.3,101.5,43,39,-1.10,0.15,-0.95,107.7,108.9,.465,12.0,32.7,64.0,.250,.493,13.8,.187,43.0,39.0,0.524390243902439
LAL,1993,No,40.4,85.3,.473,38.1,77.7,.490,2.3,7.6,.299,21.2,28.1,.756,13.5,27.9,41.4,24.5,9.5,5.3,15.4,21.7,104.2,22.8,105.5,39,43,-1.27,0.06,-1.20,107.6,108.9,.486,13.7,31.4,66.4,.249,.500,14.3,.215,39.0,43.0,0.47560975609756095
LAL,1994,No,40.1,89.2,.450,37.2,79.4,.468,2.9,9.8,.300,17.2,24.0,.717,15.4,26.9,42.2,24.2,9.2,5.6,14.6,22.9,100.4,20.2,104.7,33,49,-4.29,0.36,-3.93,104.8,109.3,.466,12.8,33.2,63.2,.193,.492,14.3,.240,33.0,49.0,0.4024390243902439
LAL,1995,No,40.0,86.4,.463,33.6,68.2,.493,6.4,18.2,.352,18.6,25.3,.735,13.7,28.2,42.0,25.3,9.1,6.9,15.2,23.6,105.1,22.0,105.3,48,34,-0.22,0.21,-0.01,109.1,109.4,.500,13.4,31.3,64.4,.215,.500,14.8,.224,48.0,34.0,0.5853658536585366
LAL,1996,No,39.2,81.8,.480,33.4,65.2,.512,5.8,16.6,.351,18.6,25.0,.746,12.1,28.1,40.2,25.4,8.8,6.3,14.2,20.8,102.9,22.0,98.5,53,29,4.45,-0.24,4.21,111.4,106.6,.515,13.3,30.1,66.8,.228,.491,14.9,.205,53.0,29.0,0.6463414634146342
LAL,1997,No,36.8,81.0,.454,30.1,62.7,.480,6.7,18.3,.367,19.7,28.4,.692,13.3,29.4,42.8,22.5,9.0,7.0,14.9,22.2,100.0,23.6,95.7,56,26,4.27,-0.61,3.66,108.3,103.7,.496,13.7,31.6,68.5,.243,.478,15.1,.231,56.0,26.0,0.6829268292682927
LAL,1998,No,38.4,79.7,.481,32.3,62.5,.517,6.1,17.3,.351,22.7,33.5,.679,13.2,30.1,43.3,24.5,9.0,6.8,15.3,22.7,105.5,26.2,97.8,61,21,7.74,-0.87,6.88,111.9,103.7,.519,14.0,31.6,68.8,.285,.467,14.1,.245,61.0,21.0,0.7439024390243902
LAL,1999,No,36.8,78.7,.468,32.0,65.0,.492,4.8,13.7,.352,20.5,30.1,.683,12.4,29.6,42.0,21.9,7.8,5.7,15.1,24.6,99.0,25.4,96.0,31,19,3.02,-0.35,2.68,107.6,104.3,.498,14.1,30.6,70.2,.261,.468,13.3,.267,31.0,19.0,0.62
LAL,2000,Yes,38.3,83.4,.459,34.1,70.6,.482,4.2,12.8,.329,20.1,28.9,.696,13.6,33.4,47.0,23.4,7.5,6.5,13.9,22.5,100.8,25.6,92.3,67,15,8.55,-0.14,8.41,107.3,98.2,.484,12.7,30.6,73.1,.241,.443,13.4,.222,67.0,15.0,0.8170731707317073
LAL,2001,Yes,37.9,81.5,.465,32.6,66.0,.494,5.4,15.5,.344,19.4,28.5,.683,13.2,31.5,44.7,23.0,6.9,6.0,14.4,22.8,100.6,24.4,97.2,56,26,3.38,0.37,3.74,108.4,104.8,.498,13.3,31.1,72.5,.238,.468,12.2,.234,56.0,26.0,0.6829268292682927
LAL,2002,Yes,38.4,83.4,.461,32.2,65.9,.489,6.2,17.5,.354,18.2,26.1,.699,12.5,31.8,44.3,23.0,7.6,5.8,12.7,22.2,101.3,23.0,94.1,58,24,7.12,0.03,7.15,109.4,101.7,.498,11.8,28.8,72.0,.218,.453,13.0,.233,58.0,24.0,0.7073170731707317
LAL,2003,No,37.7,83.6,.451,31.8,66.9,.475,5.9,16.7,.356,19.0,26.0,.734,13.1,31.1,44.3,23.3,7.8,5.7,14.5,22.9,100.4,23.4,98.0,50,32,2.33,0.38,2.71,107.2,104.7,.486,13.3,30.2,72.7,.228,.477,13.4,.241,50.0,32.0,0.6097560975609756
LAL,2004,No,36.9,81.4,.454,32.5,67.8,.479,4.5,13.6,.327,19.9,28.7,.693,12.2,30.9,43.1,23.8,8.3,4.6,13.8,21.1,98.2,24.7,94.3,56,26,3.90,0.45,4.35,105.5,101.3,.481,12.8,28.1,73.3,.244,.471,14.3,.222,56.0,26.0,0.6829268292682927
LAL,2005,No,35.3,80.8,.437,27.5,58.7,.467,7.9,22.1,.355,20.3,26.1,.777,12.5,30.6,43.2,20.4,6.2,4.2,14.3,21.9,98.7,22.1,101.7,34,48,-2.96,0.64,-2.32,108.1,111.4,.485,13.4,29.5,71.1,.251,.493,11.0,.218,34.0,48.0,0.4146341463414634
LAL,2006,No,36.5,80.6,.453,29.8,61.3,.486,6.7,19.3,.349,19.7,26.5,.745,11.8,30.3,42.2,21.1,7.7,4.3,13.9,23.1,99.4,23.5,96.9,45,37,2.50,0.03,2.53,108.4,105.7,.495,13.1,28.8,73.6,.245,.486,13.4,.242,45.0,37.0,0.5487804878048781
LAL,2007,No,37.8,81.3,.466,30.4,60.2,.505,7.4,21.0,.353,20.2,27.1,.747,10.8,30.4,41.2,22.6,7.3,5.1,15.5,23.0,103.3,23.4,103.4,42,40,-0.07,0.32,0.24,108.6,108.6,.511,14.3,26.1,72.3,.249,.500,13.5,.262,42.0,40.0,0.5121951219512195
LAL,2008,No,39.6,83.1,.476,31.5,61.8,.510,8.1,21.4,.378,21.3,27.7,.769,11.0,33.2,44.1,24.4,8.0,5.3,14.1,20.6,108.6,22.6,101.3,57,25,7.26,0.09,7.34,113.0,105.5,.525,12.9,26.3,73.4,.256,.485,12.9,.214,57.0,25.0,0.6951219512195121
