Team,Year,Champion,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,opp_pf_per_g,opp_pts_per_g,wins,losses,mov,sos,srs,off_rtg,def_rtg,efg_pct,tov_pct,orb_pct,drb_pct,ft_rate,opp_efg_pct,opp_tov_pct,opp_ft_rate,W,L,WIN%
MEM,2002,No,34.8,79.7,.436,30.7,66.3,.462,4.1,13.4,.307,16.3,23.0,.708,12.0,29.4,41.4,21.8,7.9,6.0,16.4,19.2,89.9,21.8,97.3,23,59,-7.44,0.70,-6.74,98.2,106.3,.462,15.4,27.8,68.0,.204,.486,13.7,.197,23.0,59.0,0.2804878048780488
MEM,2003,No,37.2,82.2,.452,31.5,66.6,.473,5.7,15.6,.365,17.4,23.6,.739,11.5,30.1,41.6,23.1,7.9,6.1,15.4,20.5,97.5,21.7,100.7,28,54,-3.23,0.63,-2.60,103.9,107.3,.487,14.2,27.0,68.7,.212,.491,13.4,.197,28.0,54.0,0.34146341463414637
MEM,2004,No,36.1,81.2,.445,30.7,65.2,.471,5.5,16.0,.340,19.0,26.1,.727,12.8,29.0,41.8,23.4,9.7,6.9,15.0,23.2,96.7,23.1,94.3,50,32,2.44,0.52,2.95,104.8,102.2,.479,13.9,29.5,68.4,.234,.465,15.7,.251,50.0,32.0,0.6097560975609756
MEM,2005,No,34.2,76.5,.447,27.7,58.4,.475,6.5,18.1,.357,18.6,24.7,.754,10.8,28.1,39.0,20.9,8.5,5.8,14.6,23.3,93.4,22.6,91.1,45,37,2.29,0.34,2.64,105.5,102.9,.489,14.3,27.1,69.9,.243,.466,15.4,.270,45.0,37.0,0.5487804878048781
MEM,2006,No,33.5,74.7,.448,26.3,55.5,.474,7.2,19.2,.374,18.0,25.3,.711,10.2,29.0,39.2,19.3,7.3,5.4,13.8,21.4,92.2,22.8,88.5,49,33,3.70,0.05,3.74,105.9,101.6,.496,13.9,25.8,72.0,.241,.469,14.7,.237,49.0,33.0,0.5975609756097561
MEM,2007,No,36.6,78.6,.465,30.5,62.0,.491,6.1,16.6,.367,22.4,29.4,.761,10.6,29.0,39.5,20.5,6.9,5.0,16.4,22.3,101.6,24.3,106.7,22,60,-5.15,0.71,-4.44,106.9,112.3,.504,15.2,25.9,71.1,.285,.529,14.0,.237,22.0,60.0,0.2682926829268293
MEM,2008,No,37.3,82.2,.454,29.8,60.5,.492,7.6,21.7,.349,18.5,25.6,.723,10.3,31.3,41.6,19.2,6.1,4.7,15.3,19.4,100.7,22.5,106.9,22,60,-6.21,0.45,-5.76,105.0,111.4,.500,14.0,23.8,73.4,.225,.521,12.2,.196,22.0,60.0,0.2682926829268293
MEM,2009,No,34.9,77.0,.454,30.1,63.5,.474,4.9,13.5,.360,19.1,25.3,.756,10.3,28.5,38.8,17.4,7.5,4.7,15.3,21.7,93.9,21.8,99.3,24,58,-5.46,0.24,-5.23,103.5,109.5,.486,14.8,25.8,73.5,.249,.515,14.1,.247,24.0,58.0,0.2926829268292683
MEM,2010,No,39.3,83.8,.469,35.1,71.4,.492,4.2,12.4,.337,19.7,26.9,.733,13.0,30.4,43.5,18.8,7.9,4.9,15.2,20.2,102.5,22.4,104.0,40,42,-1.51,0.13,-1.39,108.3,109.9,.494,13.7,31.3,73.3,.235,.520,13.2,.205,40.0,42.0,0.4878048780487805
MEM,2011,No,39.0,82.9,.471,35.3,71.6,.492,3.8,11.3,.334,18.1,24.2,.750,11.8,29.2,41.0,20.6,9.4,5.4,14.0,20.8,99.9,21.4,97.6,46,36,2.34,0.20,2.55,107.6,105.1,.493,13.0,28.9,72.5,.218,.502,15.7,.228,46.0,36.0,0.5609756097560976
