Team,Year,Champion,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,opp_pf_per_g,opp_pts_per_g,wins,losses,mov,sos,srs,off_rtg,def_rtg,efg_pct,tov_pct,orb_pct,drb_pct,ft_rate,opp_efg_pct,opp_tov_pct,opp_ft_rate,W,L,WIN%
MIA,1991,No,40.0,87.1,.459,38.3,81.4,.470,1.7,5.7,.302,20.1,28.1,.715,15.0,28.1,43.1,23.2,9.2,4.7,18.9,25.4,101.8,23.9,107.8,24,58,-5.99,0.08,-5.91,102.0,108.1,.469,16.0,34.3,66.2,.231,.491,15.3,.286,24.0,58.0,0.2926829268292683
MIA,1992,No,39.7,86.1,.461,36.6,77.0,.475,3.1,9.2,.342,22.4,28.4,.790,14.5,28.9,43.3,21.3,8.2,4.5,16.8,22.2,105.0,24.0,109.2,38,44,-4.21,0.27,-3.94,106.7,110.9,.479,14.6,33.0,67.6,.260,.508,13.9,.235,38.0,44.0,0.4634146341463415
MIA,1993,No,38.1,83.5,.456,34.1,72.1,.473,4.1,11.5,.354,23.3,30.2,.771,13.8,29.1,42.9,20.6,7.4,4.3,15.7,24.5,103.6,25.0,104.7,36,46,-1.15,0.21,-0.93,107.7,108.9,.481,13.9,31.9,69.8,.279,.495,14.2,.274,36.0,46.0,0.43902439024390244
MIA,1994,No,39.0,84.1,.464,34.9,71.9,.485,4.1,12.2,.338,21.3,27.1,.785,15.1,29.4,44.4,22.6,7.8,4.6,16.0,24.7,103.4,23.7,100.7,42,40,2.67,-0.27,2.40,109.5,106.7,.488,14.3,35.3,69.1,.253,.479,14.5,.284,42.0,40.0,0.5121951219512195
MIA,1995,No,38.3,82.2,.467,33.0,67.8,.487,5.3,14.4,.369,19.1,26.0,.736,13.3,27.7,41.0,21.7,8.1,3.6,15.7,24.4,101.1,23.1,102.8,32,50,-1.63,-0.21,-1.85,108.2,109.9,.499,14.4,31.7,68.7,.233,.510,14.9,.264,32.0,50.0,0.3902439024390244
MIA,1996,No,35.4,77.4,.457,28.7,59.6,.481,6.7,17.8,.379,18.9,26.7,.710,12.2,30.4,42.6,21.4,7.0,5.4,17.0,26.3,96.5,24.8,95.0,42,40,1.43,0.03,1.46,105.3,103.8,.501,16.0,30.1,71.8,.245,.469,14.8,.298,42.0,40.0,0.5121951219512195
MIA,1997,No,34.4,76.0,.453,26.1,53.3,.491,8.3,22.7,.364,17.7,24.7,.719,11.7,29.3,41.0,21.2,7.9,5.4,15.9,23.4,94.8,22.3,89.3,61,21,5.49,0.07,5.56,106.8,100.6,.507,15.5,29.2,70.6,.233,.465,15.6,.248,61.0,21.0,0.7439024390243902
MIA,1998,No,34.8,77.2,.450,28.1,58.3,.481,6.7,18.8,.355,18.8,25.4,.739,12.5,29.5,42.0,21.4,8.1,5.2,15.0,24.2,95.0,22.6,90.0,55,27,4.93,0.16,5.09,107.6,102.0,.494,14.5,31.5,69.6,.243,.452,14.2,.257,55.0,27.0,0.6707317073170732
MIA,1999,No,32.3,71.3,.453,26.5,55.2,.481,5.8,16.1,.359,18.6,25.2,.735,10.1,30.2,40.3,20.4,6.5,6.1,14.9,20.7,89.0,22.0,84.0,33,17,4.96,0.15,5.11,104.7,98.9,.494,15.3,27.3,71.0,.260,.439,13.6,.226,33.0,17.0,0.66
MIA,2000,No,36.3,78.8,.460,30.8,64.1,.481,5.4,14.7,.371,16.4,22.3,.736,11.2,31.9,43.2,23.5,7.1,6.4,15.0,23.7,94.4,21.9,91.3,52,30,3.11,-0.36,2.75,104.5,101.0,.495,14.5,28.2,72.9,.208,.453,13.3,.229,52.0,30.0,0.6341463414634146
MIA,2001,No,32.9,76.3,.430,27.0,59.4,.455,5.8,16.9,.345,17.4,22.9,.759,9.9,29.7,39.6,19.9,7.7,3.7,13.7,21.0,88.9,22.2,86.6,50,32,2.29,-0.57,1.73,101.1,98.5,.469,13.7,24.3,72.7,.227,.460,15.3,.214,50.0,32.0,0.6097560975609756
MIA,2002,No,34.2,77.8,.439,30.4,66.9,.454,3.8,11.0,.347,15.1,20.8,.724,11.0,31.0,42.0,20.3,6.7,5.5,14.8,22.5,87.2,20.8,88.7,36,46,-1.54,-0.31,-1.84,98.5,100.2,.463,14.6,26.6,74.0,.194,.455,13.6,.249,36.0,46.0,0.43902439024390244
MIA,2003,No,32.8,79.5,.412,28.5,66.1,.432,4.2,13.4,.316,15.8,20.6,.765,11.6,30.0,41.6,18.3,7.2,4.0,14.2,22.6,85.6,20.4,90.6,25,57,-5.05,-0.08,-5.13,96.7,102.4,.439,13.8,26.8,73.9,.198,.470,14.1,.257,25.0,57.0,0.3048780487804878
MIA,2004,No,33.3,78.3,.425,27.4,61.7,.443,5.9,16.5,.357,17.8,23.4,.762,11.5,30.0,41.5,19.1,7.2,3.8,13.9,22.1,90.3,21.1,89.7,42,40,0.52,-0.65,-0.13,102.2,101.7,.463,13.5,27.4,73.4,.227,.463,14.5,.260,42.0,40.0,0.5121951219512195
MIA,2005,No,37.8,77.7,.486,32.0,62.3,.513,5.8,15.4,.377,20.2,30.1,.672,10.8,32.2,43.0,21.8,6.4,5.8,13.7,22.1,101.5,24.6,95.0,59,23,6.52,-0.76,5.77,110.2,103.1,.524,13.1,27.0,74.1,.260,.460,12.4,.242,59.0,23.0,0.7195121951219512
MIA,2006,Yes,37.1,77.5,.478,31.0,59.9,.517,6.1,17.6,.345,19.7,28.2,.700,10.5,32.6,43.1,20.6,6.4,5.4,14.5,22.8,99.9,23.6,96.0,52,30,3.87,-0.27,3.59,108.7,104.5,.517,13.9,26.7,76.4,.254,.477,12.4,.251,52.0,30.0,0.6341463414634146
MIA,2007,No,35.6,76.7,.464,29.2,57.9,.503,6.4,18.8,.343,17.0,24.6,.690,10.0,30.8,40.8,20.5,6.9,5.4,14.6,21.3,94.6,21.8,95.5,44,38,-0.91,-0.29,-1.21,104.3,105.3,.506,14.3,24.9,73.3,.222,.485,13.8,.232,44.0,38.0,0.5365853658536586
MIA,2008,No,34.2,77.3,.443,28.3,60.5,.467,6.0,16.7,.358,16.9,23.2,.727,9.1,28.6,37.6,20.0,7.2,4.3,14.7,20.4,91.4,20.1,100.0,15,67,-8.65,0.11,-8.53,100.5,110.0,.482,14.4,22.1,71.9,.218,.510,13.6,.245,15.0,67.0,0.18292682926829268
MIA,2009,No,37.0,81.0,.457,29.9,61.2,.489,7.1,19.9,.357,17.2,22.8,.754,10.1,29.4,39.5,20.4,7.9,5.5,12.5,20.7,98.3,19.9,98.0,43,39,0.26,0.23,0.49,107.8,107.6,.500,12.1,24.6,72.9,.212,.501,14.5,.251,43.0,39.0,0.524390243902439
MIA,2010,No,36.4,79.5,.458,30.4,62.1,.489,6.0,17.4,.346,17.7,23.5,.752,10.7,31.1,41.8,18.9,7.4,5.6,13.2,20.9,96.5,20.0,94.2,47,35,2.28,-0.29,1.99,106.6,104.1,.496,12.8,26.1,74.9,.223,.480,13.9,.246,47.0,35.0,0.573170731707317
MIA,2011,No,37.0,76.8,.481,30.3,58.8,.515,6.7,18.0,.370,21.5,27.9,.769,9.6,32.5,42.1,20.0,6.6,5.2,13.9,20.4,102.1,21.8,94.6,58,24,7.46,-0.71,6.76,111.7,103.5,.524,13.5,25.2,75.5,.279,.475,12.6,.223,58.0,24.0,0.7073170731707317
MIA,2012,Yes,37.1,79.0,.469,31.5,63.4,.496,5.6,15.6,.359,18.8,24.2,.775,10.4,31.2,41.6,20.0,8.9,5.4,15.2,19.4,98.5,20.5,92.5,46,20,5.98,-0.27,5.72,106.6,100.2,.505,14.5,26.6,73.9,.238,.479,15.8,.200,46.0,20.0,0.696969696969697
MIA,2013,Yes,38.4,77.4,.496,29.6,55.4,.536,8.7,22.1,.396,17.4,23.0,.754,8.2,30.4,38.6,23.0,8.7,5.4,13.9,18.7,102.9,20.4,95.0,66,16,7.87,-0.84,7.03,112.3,103.7,.552,13.7,22.2,73.0,.224,.487,14.8,.200,66.0,16.0,0.8048780487804879
MIA,2014,No,38.3,76.5,.501,30.2,54.2,.558,8.1,22.3,.364,17.5,23.0,.760,7.6,29.2,36.9,22.5,8.9,4.5,14.8,19.5,102.2,20.4,97.4,54,28,4.76,-0.61,4.15,110.9,105.8,.554,14.6,20.6,73.0,.228,.511,15.8,.212,54.0,28.0,0.6585365853658537
MIA,2015,No,35.2,77.2,.456,28.4,57.0,.499,6.8,20.2,.335,17.5,23.7,.741,9.1,30.0,39.1,19.8,7.8,4.5,14.8,20.0,94.7,20.9,97.3,37,45,-2.60,-0.32,-2.92,103.9,106.7,.500,14.5,23.2,73.4,.227,.505,14.2,.213,37.0,45.0,0.45121951219512196
MIA,2016,No,38.4,81.7,.470,32.3,63.6,.508,6.1,18.0,.336,17.1,23.0,.744,9.8,34.3,44.1,20.8,6.7,6.5,14.1,18.3,100.0,19.6,98.4,48,34,1.65,-0.14,1.50,106.1,104.4,.508,13.3,23.8,77.8,.210,.485,12.1,.196,48.0,34.0,0.5853658536585366
