Team,Year,Champion,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,opp_pf_per_g,opp_pts_per_g,wins,losses,mov,sos,srs,off_rtg,def_rtg,efg_pct,tov_pct,orb_pct,drb_pct,ft_rate,opp_efg_pct,opp_tov_pct,opp_ft_rate,W,L,WIN%
MIL,1991,No,40.7,84.7,.480,37.6,75.5,.497,3.1,9.2,.341,21.9,27.3,.801,13.2,26.4,39.5,25.3,10.9,4.0,16.1,24.8,106.4,23.3,104.0,48,34,2.48,-0.15,2.33,109.7,107.2,.499,14.3,31.8,66.1,.258,.500,16.4,.259,48.0,34.0,0.5853658536585366
MIL,1992,No,40.5,88.0,.460,36.0,75.7,.475,4.5,12.3,.369,19.5,25.7,.759,15.8,26.5,42.3,24.6,10.5,3.9,16.5,23.2,105.0,21.7,106.7,31,51,-1.71,0.26,-1.46,108.8,110.6,.486,14.2,35.9,65.0,.221,.514,15.3,.237,31.0,51.0,0.3780487804878049
MIL,1993,No,39.9,84.4,.472,36.0,73.0,.494,3.8,11.4,.333,18.8,25.4,.742,12.8,25.8,38.6,25.4,10.5,4.8,16.6,24.1,102.3,22.1,106.1,28,54,-3.73,0.47,-3.26,106.2,110.1,.495,14.8,30.5,62.5,.223,.502,15.7,.266,28.0,54.0,0.34146341463414637
MIL,1994,No,37.1,83.0,.447,33.1,70.6,.469,4.0,12.4,.325,18.7,26.6,.702,13.7,26.3,40.0,23.7,9.8,5.0,16.4,22.2,96.9,21.7,103.4,20,62,-6.48,0.24,-6.24,102.5,109.3,.471,14.7,31.1,66.5,.225,.513,15.7,.254,20.0,62.0,0.24390243902439024
MIL,1995,No,36.9,80.3,.459,30.8,63.9,.483,6.0,16.5,.366,19.6,27.5,.712,13.0,26.7,39.6,21.2,8.2,4.4,17.0,22.7,99.3,24.1,103.7,34,48,-4.37,0.07,-4.30,106.2,110.9,.496,15.5,31.3,68.3,.244,.530,15.3,.230,34.0,48.0,0.4146341463414634
MIL,1996,No,37.0,79.1,.467,32.6,66.3,.493,4.4,12.9,.338,17.2,23.3,.738,11.9,26.4,38.3,21.4,7.1,3.7,15.8,23.7,95.6,21.4,100.9,25,57,-5.30,0.38,-4.92,105.6,111.5,.495,15.0,29.7,68.4,.218,.520,14.1,.248,25.0,57.0,0.3048780487804878
MIL,1997,No,36.2,76.9,.471,32.2,65.6,.491,4.0,11.2,.352,19.0,25.7,.741,11.6,27.6,39.2,19.6,7.7,4.2,15.7,23.1,95.3,21.7,97.2,33,49,-1.89,0.51,-1.38,106.2,108.3,.496,15.1,29.7,69.9,.248,.501,14.1,.253,33.0,49.0,0.4024390243902439
MIL,1998,No,35.6,78.0,.456,32.5,69.5,.469,3.0,8.6,.354,20.3,26.4,.767,12.6,27.3,39.9,20.1,8.9,4.4,16.9,23.4,94.5,22.0,96.4,36,46,-1.91,0.58,-1.33,103.5,105.6,.475,15.8,31.4,69.1,.260,.485,15.5,.282,36.0,46.0,0.43902439024390244
MIL,1999,No,35.1,76.4,.459,30.4,64.0,.476,4.6,12.4,.373,16.9,23.1,.733,11.4,27.4,38.8,20.6,8.8,4.0,14.4,22.8,91.7,20.4,90.0,28,22,1.66,0.00,1.66,104.9,103.0,.489,14.3,29.0,67.6,.222,.463,16.0,.275,28.0,22.0,0.56
MIL,2000,No,38.7,83.3,.465,33.9,70.2,.483,4.8,13.0,.369,19.0,24.2,.786,12.4,28.9,41.3,22.6,8.2,4.6,15.0,24.6,101.2,22.8,101.0,42,40,0.22,-0.28,-0.06,108.2,107.9,.494,13.8,30.0,69.6,.228,.496,14.6,.254,42.0,40.0,0.5121951219512195
