Team,Year,Champion,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,opp_pf_per_g,opp_pts_per_g,wins,losses,mov,sos,srs,off_rtg,def_rtg,efg_pct,tov_pct,orb_pct,drb_pct,ft_rate,opp_efg_pct,opp_tov_pct,opp_ft_rate,W,L,WIN%
MIN,1991,No,39.8,88.7,.449,38.5,84.1,.458,1.3,4.6,.283,18.7,25.4,.735,15.5,25.8,41.3,23.0,8.7,5.4,13.0,22.7,99.6,20.6,103.5,29,53,-3.93,0.18,-3.75,106.7,110.9,.456,11.5,34.9,65.9,.210,.502,13.8,.248,29.0,53.0,0.35365853658536583
MIN,1992,No,41.0,89.5,.458,39.5,84.7,.466,1.5,4.8,.320,16.8,22.6,.743,14.2,26.4,40.7,24.7,7.5,6.4,14.1,22.8,100.5,20.4,107.5,15,67,-7.05,0.20,-6.85,105.0,112.4,.467,12.4,31.5,62.3,.188,.497,13.0,.244,15.0,67.0,0.18292682926829268
MIN,1993,No,37.1,79.6,.466,35.1,72.7,.483,2.0,6.9,.292,21.9,27.4,.798,11.5,26.9,38.3,24.4,7.9,5.5,17.3,24.7,98.1,22.9,105.9,19,63,-7.78,0.16,-7.62,103.6,111.8,.479,15.9,28.7,66.3,.275,.503,13.5,.269,19.0,63.0,0.23170731707317074
MIN,1994,No,36.4,79.7,.457,34.2,72.9,.469,2.2,6.8,.329,21.7,28.1,.772,12.1,28.6,40.6,24.0,7.3,5.4,18.0,24.6,96.7,22.6,103.6,20,62,-6.93,0.38,-6.55,101.9,109.2,.471,16.4,30.1,68.0,.272,.488,12.8,.259,20.0,62.0,0.24390243902439024
MIN,1995,No,34.0,75.8,.449,30.2,63.5,.475,3.9,12.4,.313,22.2,28.7,.775,10.8,25.5,36.3,21.7,7.4,4.9,17.1,25.3,94.2,24.2,103.2,21,61,-9.00,0.78,-8.22,102.6,112.4,.475,16.2,27.7,64.1,.293,.510,14.8,.280,21.0,61.0,0.25609756097560976
MIN,1996,No,36.3,79.0,.459,32.9,68.6,.479,3.4,10.5,.326,21.9,28.2,.777,12.0,27.7,39.7,22.8,7.9,5.9,17.4,24.3,97.9,23.7,103.2,26,56,-5.35,0.22,-5.14,104.1,109.8,.480,16.0,29.8,68.7,.277,.509,15.0,.267,26.0,56.0,0.3170731707317073
MIN,1997,No,35.8,78.5,.456,31.3,65.2,.480,4.5,13.3,.339,20.0,26.6,.751,11.7,28.1,39.7,22.9,7.5,6.8,15.2,22.2,96.1,22.3,97.6,40,42,-1.48,-0.35,-1.82,105.5,107.1,.485,14.4,28.8,68.3,.254,.486,14.6,.252,40.0,42.0,0.4878048780487805
MIN,1998,No,38.5,83.5,.461,34.8,72.8,.478,3.7,10.6,.347,20.4,27.5,.743,13.0,29.6,42.6,25.2,7.8,5.2,13.9,23.0,101.1,22.7,100.4,45,37,0.71,-0.54,0.17,107.8,107.1,.483,12.7,30.6,68.5,.244,.480,13.5,.240,45.0,37.0,0.5487804878048781
MIN,1999,No,36.8,86.5,.425,34.3,78.3,.438,2.4,8.2,.298,17.0,22.9,.743,15.1,27.8,42.9,24.4,8.5,5.4,12.8,23.7,92.9,20.3,92.6,25,25,0.38,-0.55,-0.17,101.9,101.5,.439,11.7,32.5,70.2,.196,.467,15.8,.276,25.0,25.0,0.5
MIN,2000,No,39.3,84.3,.467,36.3,75.5,.481,3.0,8.7,.346,16.8,21.6,.780,12.4,30.1,42.5,26.9,7.6,5.4,13.9,23.3,98.5,20.5,96.0,50,32,2.52,0.14,2.67,106.1,103.4,.485,12.9,29.4,73.0,.200,.474,14.0,.250,50.0,32.0,0.6097560975609756
MIN,2001,No,38.4,83.8,.458,34.5,72.8,.473,3.9,11.0,.357,16.6,21.2,.785,12.2,30.1,42.3,25.4,8.3,5.6,13.9,23.2,97.3,20.2,96.0,47,35,1.35,0.46,1.81,105.2,103.7,.482,13.0,28.6,71.9,.199,.478,14.2,.238,47.0,35.0,0.573170731707317
MIN,2002,No,38.7,84.0,.461,33.9,71.2,.476,4.8,12.8,.378,17.1,21.4,.798,12.9,31.2,44.2,24.3,6.4,5.2,13.4,21.2,99.3,20.4,96.0,50,32,3.38,0.20,3.58,109.0,105.3,.490,12.5,31.3,73.7,.203,.482,12.7,.218,50.0,32.0,0.6097560975609756
MIN,2003,No,38.7,83.0,.466,35.1,73.2,.479,3.6,9.8,.368,17.1,22.3,.770,11.7,31.9,43.6,25.2,6.7,5.3,13.7,20.8,98.1,20.6,96.0,51,31,2.07,0.39,2.46,106.1,103.8,.488,12.9,28.2,72.9,.206,.472,12.7,.203,51.0,31.0,0.6219512195121951
MIN,2004,No,37.0,80.1,.462,33.0,69.2,.477,4.0,10.9,.363,16.6,21.3,.781,10.7,32.3,42.9,23.0,6.8,5.6,12.7,21.1,94.5,20.2,89.1,58,24,5.49,0.37,5.86,105.9,99.7,.486,12.4,26.7,72.5,.207,.444,12.9,.215,58.0,24.0,0.7073170731707317
MIN,2005,No,37.1,80.8,.459,32.3,66.9,.483,4.8,14.0,.345,17.7,22.2,.796,11.5,31.5,43.0,23.4,5.6,5.5,13.2,21.6,96.8,19.9,95.3,44,38,1.45,0.28,1.73,108.2,106.6,.489,12.7,28.6,71.4,.219,.472,11.2,.208,44.0,38.0,0.5365853658536586
MIN,2006,No,35.2,77.3,.456,31.4,65.8,.478,3.8,11.5,.329,17.5,23.1,.758,9.9,29.5,39.4,20.9,6.8,5.7,14.5,23.0,91.7,21.2,93.6,33,49,-1.88,0.13,-1.75,102.4,104.5,.480,14.2,25.2,71.3,.226,.475,13.4,.236,33.0,49.0,0.4024390243902439
MIN,2007,No,36.5,79.3,.461,31.9,66.0,.483,4.7,13.3,.353,18.3,23.1,.792,10.0,30.2,40.2,22.5,6.5,4.0,15.6,21.4,96.1,20.5,99.7,32,50,-3.67,0.51,-3.16,103.9,107.9,.490,14.8,25.1,72.1,.231,.498,13.3,.226,32.0,50.0,0.3902439024390244
MIN,2008,No,37.5,83.1,.451,32.1,67.8,.474,5.4,15.4,.350,15.2,20.6,.736,11.8,29.6,41.4,19.9,7.5,3.7,14.5,23.0,95.6,17.5,102.4,22,60,-6.78,0.52,-6.26,103.8,111.2,.484,13.6,27.5,73.6,.183,.513,12.9,.269,22.0,60.0,0.2682926829268293
MIN,2009,No,36.4,82.5,.441,29.8,63.7,.467,6.6,18.8,.353,18.3,23.9,.769,11.9,29.8,41.7,20.4,6.2,3.9,14.2,21.8,97.8,20.0,102.7,24,58,-4.91,0.18,-4.74,106.1,111.4,.481,13.3,27.7,75.0,.222,.515,12.0,.254,24.0,58.0,0.2926829268292683
MIN,2010,No,37.9,84.4,.449,33.0,70.0,.471,4.9,14.4,.341,17.5,23.5,.746,11.7,31.2,42.9,19.8,7.3,3.7,16.3,20.7,98.2,20.6,107.8,15,67,-9.60,0.54,-9.06,101.7,111.6,.478,14.6,26.7,73.6,.207,.525,13.0,.220,15.0,67.0,0.18292682926829268
MIN,2011,No,37.7,85.5,.441,30.5,66.5,.459,7.2,19.1,.376,18.5,24.1,.768,13.2,31.2,44.4,20.1,7.2,5.1,17.0,22.3,101.1,20.9,107.7,17,65,-6.63,0.67,-5.97,104.2,111.1,.483,15.1,29.6,73.7,.217,.514,13.1,.251,17.0,65.0,0.2073170731707317
MIN,2012,No,35.7,82.3,.433,28.5,60.8,.469,7.2,21.6,.332,19.4,25.2,.771,12.1,31.7,43.7,19.5,6.6,4.4,15.2,18.4,97.9,21.7,100.1,26,40,-2.20,0.37,-1.83,104.3,106.6,.477,14.0,27.5,73.0,.236,.491,12.2,.187,26.0,40.0,0.3939393939393939
