Team,Year,Champion,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,opp_pf_per_g,opp_pts_per_g,wins,losses,mov,sos,srs,off_rtg,def_rtg,efg_pct,tov_pct,orb_pct,drb_pct,ft_rate,opp_efg_pct,opp_tov_pct,opp_ft_rate,W,L,WIN%
NOP,2014,No,37.8,82.5,.459,31.9,66.6,.479,5.9,15.9,.373,18.2,23.6,.769,11.4,30.3,41.7,21.3,7.9,6.4,13.8,22.6,99.7,20.3,102.4,34,48,-2.71,0.73,-1.98,107.2,110.1,.495,12.9,26.9,73.8,.220,.515,13.6,.249,34.0,48.0,0.4146341463414634
NOP,2015,No,37.9,82.9,.457,30.8,63.6,.484,7.1,19.3,.370,16.4,21.8,.751,11.5,32.0,43.5,22.0,6.7,6.2,13.3,18.7,99.4,18.7,98.6,45,37,0.79,0.34,1.13,108.2,107.3,.501,12.5,27.1,75.1,.198,.496,11.7,.195,45.0,37.0,0.5487804878048781
NOP,2016,No,38.5,85.9,.448,29.9,62.1,.482,8.6,23.8,.360,17.3,22.2,.776,9.5,33.1,42.6,22.2,7.7,4.2,13.4,20.9,102.7,19.9,106.5,30,52,-3.79,0.24,-3.56,105.6,109.5,.498,12.3,21.2,78.8,.201,.523,12.7,.225,30.0,52.0,0.36585365853658536
NOP,2017,No,39.1,87.0,.450,29.8,60.2,.495,9.4,26.8,.350,16.7,22.3,.750,8.6,35.1,43.7,22.8,7.8,5.5,12.9,18.2,104.3,19.3,106.4,34,48,-2.10,0.41,-1.69,105.2,107.4,.504,11.7,18.5,76.8,.192,.509,12.4,.177,34.0,48.0,0.4146341463414634
NOP,2018,No,42.7,88.3,.483,32.5,60.1,.540,10.2,28.2,.362,16.1,20.9,.772,8.7,35.7,44.3,26.8,8.0,5.9,14.9,19.1,111.7,20.4,110.4,48,34,1.30,0.18,1.48,109.6,108.3,.541,13.3,20.0,76.7,.183,.513,12.5,.175,48.0,34.0,0.5853658536585366
NOP,2019,No,43.7,92.2,.473,33.4,62.4,.536,10.3,29.9,.344,17.8,23.4,.761,11.1,36.2,47.3,27.0,7.4,5.4,14.8,21.1,115.4,21.0,116.8,33,49,-1.33,0.23,-1.10,111.4,112.6,.529,12.6,24.1,76.8,.193,.532,11.6,.193,33.0,49.0,0.4024390243902439
NOP,2020,No,42.6,91.6,.465,28.9,54.8,.528,13.6,36.9,.370,17.1,23.4,.729,11.1,35.4,46.5,26.8,7.5,5.0,16.4,21.2,115.8,21.1,117.1,30,42,-1.29,0.74,-0.55,110.7,111.9,.539,13.9,24.2,77.8,.186,.532,12.4,.212,30.0,42.0,0.4166666666666667
NOP,2021,No,42.5,89.1,.477,31.9,58.6,.544,10.6,30.4,.348,19.0,26.1,.729,11.7,35.7,47.4,26.0,7.6,4.4,14.6,18.0,114.6,21.3,114.9,31,41,-0.29,0.10,-0.20,113.5,113.8,.537,12.7,26.3,80.0,.214,.550,11.9,.186,31.0,41.0,0.4305555555555556
NOP,2022,No,40.2,88.0,.457,29.5,55.9,.528,10.6,32.1,.332,18.3,23.2,.789,12.0,33.2,45.2,25.0,8.3,4.0,14.1,19.7,109.3,20.5,110.3,36,46,-0.99,0.15,-0.84,112.0,113.0,.517,12.5,26.9,78.2,.208,.547,13.0,.196,36.0,46.0,0.43902439024390244
NOP,2023,No,42.0,87.6,.480,31.1,57.5,.541,11.0,30.1,.364,19.3,24.4,.793,10.6,33.1,43.7,25.9,8.3,4.1,14.6,20.5,114.4,20.4,112.5,42,40,1.89,-0.26,1.63,114.4,112.5,.543,12.9,24.7,77.4,.221,.543,13.4,.212,42.0,40.0,0.5121951219512195
NOP,2024,No,42.5,87.4,.486,30.0,54.8,.548,12.5,32.6,.383,17.6,22.8,.771,10.4,33.6,44.0,27.0,8.3,4.6,13.0,18.4,115.1,18.4,110.7,49,33,4.41,0.05,4.46,117.4,112.9,.558,11.8,24.4,76.9,.202,.541,12.9,.186,49.0,33.0,0.5975609756097561
