Team,Year,Champion,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,opp_pf_per_g,opp_pts_per_g,wins,losses,mov,sos,srs,off_rtg,def_rtg,efg_pct,tov_pct,orb_pct,drb_pct,ft_rate,opp_efg_pct,opp_tov_pct,opp_ft_rate,W,L,WIN%
NYK,1991,No,40.3,83.2,.485,38.1,76.4,.499,2.3,6.8,.332,20.2,26.2,.770,12.8,29.7,42.5,26.5,7.8,5.1,16.8,21.5,103.1,22.1,103.3,39,43,-0.23,-0.20,-0.43,107.1,107.3,.498,15.1,31.1,68.5,.242,.489,13.4,.205,39.0,43.0,0.47560975609756095
NYK,1992,No,40.4,84.7,.477,37.9,77.2,.492,2.5,7.5,.325,18.3,25.0,.734,14.5,30.4,44.8,26.0,7.7,4.7,15.1,23.2,101.6,22.0,97.7,51,31,3.89,-0.22,3.67,108.3,104.2,.491,13.7,34.6,71.1,.216,.471,14.0,.248,51.0,31.0,0.6219512195121951
NYK,1993,No,39.1,84.1,.465,36.8,76.8,.479,2.4,7.4,.320,20.9,28.2,.741,14.0,32.4,46.5,25.9,8.3,4.5,15.8,25.7,101.6,24.5,95.4,60,22,6.16,-0.29,5.87,106.1,99.7,.479,14.1,33.1,72.1,.249,.444,14.9,.294,60.0,22.0,0.7317073170731707
NYK,1994,No,37.8,82.1,.460,33.9,71.1,.477,3.9,11.1,.348,19.1,25.6,.746,14.3,31.0,45.3,25.2,9.2,4.7,16.6,24.4,98.5,23.1,91.5,57,25,6.99,-0.50,6.48,105.7,98.2,.483,15.1,34.4,71.4,.232,.451,16.0,.261,57.0,25.0,0.6951219512195121
NYK,1995,No,36.4,78.0,.467,29.9,60.3,.496,6.5,17.6,.368,18.9,25.8,.734,11.3,30.2,41.5,25.1,7.2,4.7,15.9,25.6,98.2,23.3,95.1,55,27,3.11,-0.33,2.78,107.2,103.8,.508,15.1,28.6,70.8,.243,.468,14.4,.281,55.0,27.0,0.6707317073170732
NYK,1996,No,36.6,77.8,.471,30.7,62.2,.494,5.9,15.7,.377,18.0,23.8,.757,10.1,29.9,40.0,22.2,7.9,4.6,15.5,22.7,97.2,21.5,94.9,47,35,2.32,-0.08,2.24,106.0,103.5,.509,14.9,25.5,71.1,.232,.476,14.8,.251,47.0,35.0,0.573170731707317
NYK,1997,No,35.1,75.9,.463,29.4,60.2,.489,5.7,15.8,.363,19.3,25.8,.748,11.9,30.7,42.5,22.1,7.7,4.6,17.8,24.8,95.4,23.0,92.2,57,25,3.12,0.18,3.31,104.4,101.0,.501,17.0,30.5,73.4,.255,.463,15.4,.279,57.0,25.0,0.6951219512195121
NYK,1998,No,34.9,78.2,.447,30.3,64.3,.471,4.7,13.9,.335,17.1,22.1,.772,11.9,29.7,41.6,21.8,7.7,3.4,15.2,23.7,91.6,20.8,89.1,43,39,2.46,0.28,2.74,103.0,100.3,.476,14.7,29.5,74.0,.218,.455,14.7,.282,43.0,39.0,0.524390243902439
NYK,1999,No,32.2,74.1,.435,28.0,62.3,.450,4.2,11.8,.353,17.8,24.4,.732,11.0,30.2,41.2,19.3,7.9,5.2,16.1,22.8,86.4,20.7,85.4,27,23,1.02,0.43,1.45,98.6,97.5,.463,15.9,27.9,71.0,.241,.434,14.9,.258,27.0,23.0,0.54
NYK,2000,No,35.3,77.7,.455,31.0,66.3,.468,4.3,11.4,.375,17.2,22.0,.781,9.8,30.7,40.5,19.4,6.3,4.3,14.6,24.2,92.1,21.9,90.7,50,32,1.46,-0.16,1.30,102.5,100.9,.482,14.4,24.7,73.1,.221,.455,13.6,.251,50.0,32.0,0.6097560975609756
NYK,2001,No,33.6,75.6,.444,28.8,62.0,.465,4.8,13.6,.351,16.8,21.1,.796,9.4,30.8,40.2,18.5,6.6,4.2,14.5,22.7,88.7,21.4,86.1,48,34,2.63,-0.65,1.98,101.2,98.2,.476,14.6,24.2,74.3,.222,.453,14.7,.240,48.0,34.0,0.5853658536585366
NYK,2002,No,34.4,79.5,.432,28.6,63.1,.453,5.8,16.4,.353,17.1,21.8,.787,10.7,30.0,40.7,21.0,6.8,3.5,14.5,22.0,91.6,20.4,95.6,30,52,-3.99,-0.16,-4.15,101.5,105.9,.468,14.0,25.6,71.9,.216,.479,12.9,.236,30.0,52.0,0.36585365853658536
NYK,2003,No,36.2,82.0,.441,28.8,62.7,.459,7.4,19.3,.383,16.1,19.8,.815,10.3,29.0,39.2,22.0,7.1,3.1,14.0,23.0,95.9,19.9,97.2,37,45,-1.35,-0.26,-1.61,104.7,106.2,.486,13.4,24.4,71.8,.196,.485,13.7,.261,37.0,45.0,0.45121951219512196
NYK,2004,No,35.1,79.4,.442,30.2,65.8,.459,5.0,13.6,.364,16.8,21.1,.793,11.6,31.0,42.6,20.7,7.4,4.8,15.7,23.1,92.0,19.5,93.5,39,43,-1.48,-0.49,-1.97,101.7,103.3,.474,15.1,28.0,72.8,.211,.461,13.2,.259,39.0,43.0,0.47560975609756095
NYK,2005,No,36.3,80.5,.451,30.9,65.4,.473,5.4,15.1,.356,19.3,25.1,.767,11.8,29.2,41.0,20.3,7.7,3.2,14.7,23.7,97.3,21.2,99.7,33,49,-2.44,-0.28,-2.72,106.2,108.9,.485,13.8,28.3,71.2,.239,.501,13.8,.265,33.0,49.0,0.4024390243902439
NYK,2006,No,34.4,75.7,.455,30.5,64.9,.470,3.9,10.8,.362,22.9,31.5,.726,12.6,28.8,41.4,17.9,6.8,3.3,17.7,26.3,95.6,25.4,102.0,23,59,-6.40,0.11,-6.30,104.0,111.0,.481,16.5,31.2,72.8,.303,.511,13.4,.294,23.0,59.0,0.2804878048780488
NYK,2007,No,35.4,77.5,.457,29.6,60.8,.487,5.8,16.7,.346,20.9,29.2,.715,12.6,30.7,43.3,18.7,6.6,3.2,17.1,23.6,97.5,22.9,100.3,33,49,-2.85,-0.21,-3.06,105.7,108.8,.494,15.9,31.0,74.0,.270,.504,13.0,.246,33.0,49.0,0.4024390243902439
NYK,2008,No,36.2,82.4,.439,30.2,64.7,.467,6.0,17.7,.337,18.6,25.5,.727,12.5,30.0,42.5,18.7,6.4,2.6,14.5,21.5,96.9,20.3,103.5,23,59,-6.61,0.06,-6.55,104.7,111.9,.475,13.4,28.6,72.7,.226,.518,12.1,.229,23.0,59.0,0.2804878048780488
NYK,2009,No,38.5,86.5,.445,28.5,58.6,.486,10.0,27.9,.360,18.2,23.2,.784,11.1,31.0,42.1,21.2,7.4,2.5,14.3,20.4,105.2,19.4,107.8,32,50,-2.61,0.28,-2.33,108.1,110.8,.503,12.9,24.4,72.7,.210,.520,13.0,.215,32.0,50.0,0.3902439024390244
NYK,2010,No,38.1,83.9,.455,29.1,57.7,.504,9.1,26.2,.346,16.8,21.5,.782,10.2,30.2,40.4,21.6,7.1,3.7,14.0,20.0,102.1,19.2,105.9,29,53,-3.82,-0.19,-4.01,107.6,111.6,.509,13.0,23.5,72.1,.200,.526,13.3,.207,29.0,53.0,0.35365853658536583
NYK,2011,No,38.3,83.7,.457,29.0,58.4,.496,9.3,25.4,.368,20.6,25.5,.809,10.3,30.1,40.5,21.4,7.6,5.8,13.7,21.3,106.5,20.8,105.7,42,40,0.78,-0.30,0.48,110.9,110.1,.513,12.6,24.2,71.9,.246,.511,13.8,.240,42.0,40.0,0.5121951219512195
NYK,2012,No,35.8,80.8,.443,28.0,57.5,.487,7.8,23.3,.336,18.3,24.8,.741,11.3,30.5,41.7,20.1,9.4,4.2,16.0,21.1,97.8,21.8,94.7,36,30,3.20,-0.81,2.39,104.4,101.0,.492,14.9,26.6,73.7,.227,.485,15.9,.224,36.0,30.0,0.5454545454545454
NYK,2013,No,36.5,81.6,.448,25.7,52.7,.487,10.9,28.9,.376,16.0,21.1,.759,10.9,29.7,40.6,19.3,8.2,3.6,12.0,20.1,100.0,19.2,95.7,54,28,4.23,-0.50,3.73,111.1,106.3,.515,11.7,25.6,74.7,.196,.508,14.8,.216,54.0,28.0,0.6585365853658537
NYK,2014,No,36.9,82.2,.449,27.7,57.3,.482,9.3,24.9,.372,15.5,20.4,.761,10.6,29.7,40.3,20.0,7.7,4.5,13.0,22.1,98.6,19.6,99.4,37,45,-0.79,-0.61,-1.40,108.3,109.1,.505,12.5,25.1,74.3,.189,.514,14.0,.245,37.0,45.0,0.45121951219512196
NYK,2015,No,35.1,82.0,.428,28.3,62.3,.454,6.8,19.7,.347,14.8,19.2,.769,10.6,29.8,40.4,21.3,7.0,4.7,14.7,21.6,91.9,19.1,101.2,17,65,-9.32,-0.18,-9.50,99.9,110.0,.470,14.0,24.5,73.1,.180,.512,13.3,.234,17.0,65.0,0.2073170731707317
NYK,2016,No,36.9,84.0,.439,29.4,62.5,.471,7.4,21.5,.346,17.2,21.4,.805,10.4,34.0,44.4,20.5,5.7,5.7,13.4,19.7,98.4,18.5,101.1,32,50,-2.73,0.00,-2.74,104.6,107.6,.483,12.6,23.7,75.8,.205,.487,10.5,.204,32.0,50.0,0.3902439024390244
NYK,2017,No,39.6,88.5,.447,31.0,63.8,.485,8.6,24.7,.348,16.6,21.1,.788,12.0,33.2,45.2,21.8,7.1,5.5,13.9,20.3,104.3,18.5,108.0,31,51,-3.67,-0.20,-3.87,107.7,111.5,.496,12.4,26.6,74.1,.188,.511,11.7,.214,31.0,51.0,0.3780487804878049
NYK,2018,No,40.7,87.7,.464,32.5,64.4,.504,8.2,23.3,.352,14.9,19.0,.787,10.5,33.6,44.0,23.3,6.7,5.1,14.7,20.5,104.5,18.4,108.0,29,53,-3.56,0.03,-3.53,107.1,110.7,.510,13.3,24.1,76.7,.170,.522,12.1,.208,29.0,53.0,0.35365853658536583
NYK,2019,No,38.2,88.3,.433,28.2,58.8,.479,10.0,29.5,.340,18.1,23.9,.759,10.5,34.3,44.7,20.1,6.8,5.1,14.0,20.9,104.6,20.8,113.8,17,65,-9.21,0.28,-8.93,104.5,113.7,.490,12.4,22.1,76.1,.205,.533,11.7,.203,17.0,65.0,0.2073170731707317
NYK,2020,No,40.0,89.3,.447,30.4,61.0,.499,9.6,28.4,.337,16.3,23.5,.694,12.0,34.5,46.5,22.1,7.6,4.7,14.3,22.2,105.8,19.8,112.3,21,45,-6.45,-0.26,-6.72,106.5,113.0,.501,12.6,25.8,78.3,.182,.541,12.4,.224,21.0,45.0,0.3181818181818182
NYK,2021,No,39.4,86.5,.456,27.7,56.4,.490,11.8,30.0,.392,16.4,20.9,.784,9.7,35.5,45.1,21.4,7.0,5.1,12.9,20.5,107.0,17.9,104.7,41,31,2.31,-0.18,2.13,110.6,108.2,.524,11.9,21.9,78.6,.190,.509,11.7,.196,41.0,31.0,0.5694444444444444
NYK,2022,No,37.7,86.2,.437,24.5,49.3,.497,13.2,36.9,.357,18.0,24.1,.744,11.5,34.6,46.1,21.9,7.0,4.9,13.3,20.4,106.5,20.4,106.6,37,45,-0.12,0.11,-0.01,110.4,110.5,.513,12.0,25.1,78.8,.208,.521,11.7,.198,37.0,45.0,0.45121951219512196
