Team,Year,Champion,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,opp_pf_per_g,opp_pts_per_g,wins,losses,mov,sos,srs,off_rtg,def_rtg,efg_pct,tov_pct,orb_pct,drb_pct,ft_rate,opp_efg_pct,opp_tov_pct,opp_ft_rate,W,L,WIN%
OKC,2009,No,36.6,81.9,.447,32.6,70.3,.463,4.0,11.6,.346,19.8,25.2,.786,12.2,30.5,42.6,20.3,7.4,4.5,16.2,20.2,97.0,20.2,103.1,23,59,-6.10,0.06,-6.04,102.9,109.4,.471,14.8,28.6,73.9,.242,.514,13.0,.216,23.0,59.0,0.2804878048780488
OKC,2010,No,37.4,80.8,.462,32.3,65.9,.490,5.1,15.0,.340,21.7,27.0,.805,11.7,31.8,43.5,20.0,8.0,5.9,15.0,21.3,101.5,21.4,98.0,50,32,3.49,0.06,3.55,108.3,104.6,.494,13.9,28.6,73.6,.268,.483,14.0,.229,50.0,32.0,0.6097560975609756
OKC,2011,No,37.4,80.6,.464,31.5,63.5,.495,5.9,17.1,.347,24.1,29.3,.823,11.0,31.8,42.8,20.4,8.0,5.9,14.1,22.4,104.8,21.5,101.0,55,27,3.79,0.02,3.81,111.2,107.2,.501,13.1,27.4,73.6,.299,.493,12.9,.228,55.0,27.0,0.6707317073170732
OKC,2012,No,37.3,79.2,.471,30.2,59.3,.509,7.2,20.0,.358,21.3,26.4,.806,11.0,32.7,43.7,18.5,7.5,8.2,16.3,20.5,103.1,20.0,96.9,47,19,6.12,0.32,6.44,109.8,103.2,.516,15.3,27.8,72.1,.269,.465,13.0,.207,47.0,19.0,0.7121212121212122
OKC,2013,No,38.1,79.3,.481,30.8,60.0,.514,7.3,19.4,.377,22.2,26.8,.828,10.4,33.2,43.6,21.4,8.3,7.6,15.3,20.2,105.7,20.7,96.5,60,22,9.21,-0.06,9.15,112.4,102.6,.527,14.4,26.7,73.4,.280,.469,13.5,.197,60.0,22.0,0.7317073170731707
OKC,2014,No,39.0,82.7,.471,30.9,60.3,.512,8.1,22.4,.361,20.2,25.0,.806,10.8,33.9,44.7,21.9,8.3,6.1,15.3,22.7,106.2,20.4,99.8,59,23,6.34,0.32,6.66,110.5,103.9,.520,14.0,26.5,75.6,.244,.488,13.9,.221,59.0,23.0,0.7195121951219512
OKC,2015,No,38.8,86.8,.447,31.1,64.1,.486,7.7,22.7,.339,18.6,24.6,.754,12.8,34.7,47.5,20.5,7.3,5.5,14.7,22.3,104.0,20.4,101.8,45,37,2.18,0.28,2.47,107.8,105.5,.492,13.1,28.9,75.6,.214,.489,12.4,.213,45.0,37.0,0.5487804878048781
OKC,2016,No,41.1,86.4,.476,32.9,62.6,.524,8.3,23.7,.349,19.7,25.2,.782,13.1,35.6,48.6,23.0,7.4,5.9,15.9,20.6,110.2,20.2,102.9,55,27,7.28,-0.19,7.09,113.1,105.6,.524,14.0,31.1,76.0,.228,.484,11.7,.205,55.0,27.0,0.6707317073170732
OKC,2017,No,39.5,87.4,.452,31.0,61.6,.504,8.4,25.8,.327,19.2,25.8,.745,12.2,34.4,46.6,21.0,7.9,5.0,15.0,20.9,106.6,20.7,105.8,47,35,0.76,0.39,1.14,108.3,107.5,.500,13.2,27.9,79.0,.220,.511,12.5,.218,47.0,35.0,0.573170731707317
OKC,2018,No,39.9,88.1,.453,29.1,57.7,.505,10.7,30.4,.354,17.3,24.2,.716,12.5,32.6,45.1,21.3,9.1,5.0,14.0,20.2,107.9,21.3,104.4,48,34,3.41,0.00,3.42,110.7,107.2,.514,12.4,27.7,77.4,.197,.525,14.7,.193,48.0,34.0,0.5853658536585366
