Team,Year,Champion,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,opp_pf_per_g,opp_pts_per_g,wins,losses,mov,sos,srs,off_rtg,def_rtg,efg_pct,tov_pct,orb_pct,drb_pct,ft_rate,opp_efg_pct,opp_tov_pct,opp_ft_rate,W,L,WIN%
ORL,1991,No,40.2,88.5,.455,36.9,79.3,.466,3.3,9.2,.358,22.2,29.8,.743,15.0,29.6,44.7,22.1,7.3,3.7,17.0,24.1,105.9,24.2,109.9,31,51,-3.98,0.18,-3.79,105.9,109.9,.473,14.3,33.0,68.9,.251,.493,12.8,.260,31.0,51.0,0.3780487804878049
ORL,1992,No,39.3,86.6,.453,36.9,79.2,.466,2.4,7.4,.324,20.6,27.7,.746,14.3,28.4,42.7,21.9,7.8,4.5,16.9,24.1,101.6,23.1,108.5,21,61,-6.91,0.40,-6.52,103.5,110.5,.467,14.6,32.4,67.8,.238,.502,13.5,.260,21.0,61.0,0.25609756097560976
ORL,1993,No,39.7,81.8,.486,35.9,71.0,.505,3.9,10.8,.357,22.2,30.4,.730,12.7,31.3,44.0,23.8,6.6,5.7,17.4,23.5,105.5,24.1,104.2,41,41,1.32,0.03,1.35,108.5,107.1,.509,15.5,31.4,68.8,.271,.473,11.9,.232,41.0,41.0,0.5
ORL,1994,No,40.7,83.9,.485,35.9,70.1,.513,4.8,13.9,.347,19.4,28.6,.678,14.4,28.7,43.1,25.2,8.3,5.6,16.2,20.9,105.7,22.5,101.8,50,32,3.89,-0.21,3.68,110.8,106.7,.514,14.4,33.8,66.3,.231,.479,13.3,.214,50.0,32.0,0.6097560975609756
ORL,1995,No,42.2,84.1,.502,35.8,66.9,.535,6.4,17.2,.370,20.1,30.1,.669,14.0,30.0,44.0,27.8,8.2,6.0,15.8,21.0,110.9,23.8,103.8,57,25,7.06,-0.62,6.44,115.1,107.8,.539,14.0,34.0,68.4,.239,.490,13.3,.220,57.0,25.0,0.6951219512195121
ORL,1996,No,39.1,81.0,.482,31.5,60.9,.517,7.6,20.1,.378,18.8,27.2,.691,11.8,29.3,41.1,25.4,8.1,5.0,14.1,20.8,104.5,22.3,99.0,60,22,5.56,-0.16,5.40,112.9,106.9,.529,13.2,29.0,68.8,.232,.491,14.0,.223,60.0,22.0,0.7317073170731707
ORL,1997,No,34.6,79.2,.437,27.7,59.0,.470,6.9,20.3,.341,18.0,24.1,.746,13.1,27.1,40.1,20.6,8.5,4.4,15.2,20.0,94.1,21.6,94.5,45,37,-0.35,0.28,-0.07,105.6,106.0,.481,14.5,30.9,67.3,.227,.495,15.3,.211,45.0,37.0,0.5487804878048781
ORL,1998,No,33.8,78.7,.429,30.2,67.7,.447,3.6,11.1,.323,18.9,26.1,.726,14.4,26.9,41.2,20.7,7.9,5.4,15.3,19.7,90.1,22.8,91.2,41,41,-1.07,0.54,-0.53,102.6,103.8,.452,14.5,34.2,66.9,.240,.478,14.8,.202,41.0,41.0,0.5
ORL,1999,No,33.7,78.9,.428,29.3,65.4,.448,4.5,13.5,.330,17.5,25.0,.700,13.8,28.9,42.7,21.3,9.9,4.3,16.4,18.7,89.5,22.2,86.9,33,17,2.60,0.51,3.11,100.3,97.4,.456,15.4,32.6,70.8,.222,.473,16.7,.181,33.0,17.0,0.66
ORL,2000,No,38.6,85.5,.452,35.1,74.9,.468,3.6,10.6,.338,19.2,26.1,.735,14.0,31.0,44.9,20.8,9.1,5.7,17.6,24.0,100.1,24.5,99.4,41,41,0.68,-0.26,0.43,102.4,101.7,.473,15.4,31.6,69.9,.224,.476,15.9,.226,41.0,41.0,0.5
ORL,2001,No,36.7,83.8,.438,30.8,67.4,.456,6.0,16.4,.364,18.0,25.2,.714,13.0,29.9,42.9,22.0,8.2,5.9,15.2,25.3,97.5,23.7,96.5,43,39,0.99,-0.60,0.39,103.2,102.1,.474,13.8,29.1,69.8,.215,.464,15.6,.290,43.0,39.0,0.524390243902439
ORL,2002,No,37.6,84.1,.448,30.1,63.8,.471,7.6,20.2,.373,17.6,23.4,.754,11.5,29.8,41.2,22.0,8.1,4.7,13.6,20.7,100.5,21.2,98.9,44,38,1.57,-0.32,1.25,107.0,105.3,.493,12.6,26.3,69.2,.210,.486,14.4,.215,44.0,38.0,0.5365853658536586
ORL,2003,No,35.9,82.5,.436,29.0,63.1,.460,6.9,19.4,.357,19.7,25.4,.777,11.7,29.2,40.9,20.4,8.5,3.7,14.4,23.0,98.5,22.2,98.4,42,40,0.13,-0.53,-0.39,105.2,105.0,.478,13.3,27.0,71.1,.239,.486,15.1,.250,42.0,40.0,0.5121951219512195
