Team,Year,Champion,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,opp_pf_per_g,opp_pts_per_g,wins,losses,mov,sos,srs,off_rtg,def_rtg,efg_pct,tov_pct,orb_pct,drb_pct,ft_rate,opp_efg_pct,opp_tov_pct,opp_ft_rate,W,L,WIN%
PHI,1991,No,40.1,84.5,.475,37.7,76.9,.491,2.4,7.5,.316,22.8,28.9,.790,12.0,30.4,42.4,22.2,8.3,5.8,15.0,19.9,105.4,22.7,105.6,44,38,-0.18,-0.21,-0.39,107.9,108.1,.489,13.4,28.1,68.3,.270,.489,12.5,.187,44.0,38.0,0.5365853658536586
PHI,1992,No,38.9,82.5,.471,36.1,74.2,.487,2.8,8.3,.334,21.4,27.6,.775,12.9,28.2,41.1,21.4,8.4,5.9,15.1,19.3,101.9,21.5,103.2,35,47,-1.27,-0.07,-1.34,108.3,109.7,.488,13.8,30.9,66.4,.260,.496,13.0,.192,35.0,47.0,0.4268292682926829
PHI,1993,No,39.3,86.3,.456,35.3,74.8,.472,4.0,11.5,.351,21.7,27.5,.786,12.6,29.6,42.2,24.9,8.2,6.9,16.6,19.6,104.3,21.8,110.1,26,56,-5.77,0.51,-5.25,104.6,110.4,.479,14.4,28.1,65.9,.251,.504,13.3,.188,26.0,56.0,0.3170731707317073
PHI,1994,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHI,1995,No,36.0,80.2,.448,31.6,68.8,.460,4.3,11.4,.379,19.1,25.9,.737,13.5,27.2,40.7,19.1,7.8,7.0,16.5,22.4,95.4,22.7,100.4,24,58,-5.07,0.01,-5.06,104.1,109.7,.475,15.3,32.3,66.1,.238,.500,14.6,.235,24.0,58.0,0.2926829268292683
PHI,1996,No,34.1,78.3,.436,28.1,60.7,.463,6.0,17.5,.342,20.3,27.6,.734,12.6,26.4,38.9,19.9,7.8,5.1,17.2,21.7,94.5,23.3,104.5,18,64,-10.00,0.55,-9.45,102.2,113.0,.474,16.0,29.4,65.0,.259,.522,14.4,.217,18.0,64.0,0.21951219512195122
PHI,1997,No,36.6,83.5,.438,31.3,67.0,.468,5.3,16.5,.319,21.7,29.9,.725,15.5,28.7,44.2,20.7,8.3,4.8,17.5,21.1,100.2,24.5,106.7,22,60,-6.54,0.65,-5.89,104.6,111.4,.470,15.3,34.1,66.5,.259,.510,13.8,.222,22.0,60.0,0.2682926829268293
PHI,1998,No,34.6,78.2,.443,31.6,68.3,.463,3.0,9.9,.300,21.1,28.7,.737,13.7,28.0,41.7,21.1,8.9,6.0,16.5,22.9,93.3,23.2,95.7,31,51,-2.39,0.50,-1.89,102.8,105.4,.462,15.4,32.5,67.3,.271,.481,15.1,.256,31.0,51.0,0.3780487804878049
PHI,1999,No,33.1,77.7,.426,31.2,70.2,.444,2.0,7.4,.264,21.5,29.7,.722,14.6,28.6,43.1,18.7,10.8,5.4,16.4,23.0,89.7,23.7,87.6,28,22,2.06,0.50,2.56,99.9,97.6,.439,15.3,34.2,69.8,.276,.454,17.1,.249,28.0,22.0,0.56
PHI,2000,No,36.5,82.6,.442,34.0,74.8,.454,2.5,7.8,.323,19.2,27.1,.708,14.0,30.1,44.1,22.2,9.6,4.7,15.7,23.6,94.8,24.1,93.4,49,33,1.34,-0.32,1.02,101.5,100.0,.457,14.2,31.4,69.9,.233,.466,16.2,.229,49.0,33.0,0.5975609756097561
