Team,Year,Champion,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,opp_pf_per_g,opp_pts_per_g,wins,losses,mov,sos,srs,off_rtg,def_rtg,efg_pct,tov_pct,orb_pct,drb_pct,ft_rate,opp_efg_pct,opp_tov_pct,opp_ft_rate,W,L,WIN%
PHO,1991,No,43.6,87.8,.496,41.9,82.5,.508,1.7,5.3,.319,25.2,32.7,.770,13.8,31.7,45.5,26.9,8.4,6.5,15.9,22.6,114.0,25.1,107.5,55,27,6.55,-0.06,6.49,112.6,106.1,.506,13.5,33.0,68.5,.287,.474,13.1,.227,55.0,27.0,0.6707317073170732
PHO,1992,No,43.3,88.0,.492,40.6,80.8,.502,2.8,7.3,.381,22.7,29.2,.776,13.3,31.2,44.5,26.9,8.2,7.1,15.1,22.6,112.1,23.5,106.2,53,29,5.94,-0.26,5.68,112.1,106.2,.508,13.1,31.7,67.7,.258,.471,13.0,.223,53.0,29.0,0.6463414634146342
PHO,1993,No,42.6,86.5,.493,37.8,73.1,.516,4.9,13.4,.363,23.3,31.0,.753,13.9,30.6,44.5,25.5,9.2,5.5,16.6,21.2,113.4,24.9,106.7,62,20,6.66,-0.39,6.27,113.3,106.7,.521,14.2,33.0,69.2,.270,.496,13.9,.206,62.0,20.0,0.7560975609756098
PHO,1994,No,41.8,86.3,.484,37.6,73.6,.511,4.2,12.7,.330,20.4,28.1,.728,14.9,29.9,44.8,27.6,9.1,5.6,15.9,20.0,108.2,22.8,103.4,56,26,4.84,-0.17,4.68,111.7,106.8,.509,13.9,35.2,69.3,.236,.493,13.5,.202,56.0,26.0,0.6829268292682927
PHO,1995,No,40.9,85.0,.482,33.8,65.6,.515,7.1,19.3,.369,21.7,28.7,.756,12.5,29.3,41.8,26.8,8.4,3.8,14.2,22.4,110.6,24.7,106.8,59,23,3.88,-0.02,3.86,114.5,110.4,.524,12.7,29.7,69.8,.255,.515,14.0,.228,59.0,23.0,0.7195121951219512
PHO,1996,No,38.5,81.4,.473,34.5,69.4,.498,4.0,12.0,.332,23.3,30.1,.771,12.3,30.5,42.8,24.4,7.6,4.0,14.7,21.7,104.3,24.5,104.0,41,41,0.33,-0.05,0.28,110.3,110.0,.498,13.5,29.8,71.4,.286,.511,13.3,.225,41.0,41.0,0.5
PHO,1997,No,38.3,81.8,.469,31.9,64.4,.496,6.4,17.4,.369,19.7,25.9,.761,11.2,29.0,40.1,25.2,8.1,3.9,14.4,21.1,102.8,22.4,102.2,40,42,0.66,-0.45,0.21,109.3,108.6,.508,13.4,27.1,69.4,.241,.507,14.4,.215,40.0,42.0,0.4878048780487805
PHO,1998,No,38.3,81.8,.468,33.0,67.1,.492,5.3,14.8,.356,17.8,23.8,.749,12.1,29.9,42.0,25.9,9.2,5.2,15.1,21.5,99.6,21.6,94.4,56,26,5.18,-0.75,4.44,107.4,101.8,.500,14.0,29.7,70.0,.217,.471,15.3,.227,56.0,26.0,0.6829268292682927
PHO,1999,No,35.9,80.1,.449,30.7,66.0,.465,5.2,14.0,.372,18.5,24.3,.760,12.0,28.4,40.3,25.0,8.9,4.0,13.6,20.4,95.6,21.3,93.3,27,23,2.26,-0.11,2.15,105.8,103.3,.481,13.0,28.4,69.8,.231,.485,15.4,.216,27.0,23.0,0.54
PHO,2000,No,37.7,82.6,.457,32.1,67.4,.477,5.6,15.2,.368,17.9,23.6,.759,12.5,31.2,43.7,25.6,9.1,5.3,16.7,24.1,98.9,21.9,93.7,53,29,5.22,0.02,5.24,104.6,99.0,.491,15.2,29.3,70.5,.217,.454,15.7,.245,53.0,29.0,0.6463414634146342
