Team,Year,Champion,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,opp_pf_per_g,opp_pts_per_g,wins,losses,mov,sos,srs,off_rtg,def_rtg,efg_pct,tov_pct,orb_pct,drb_pct,ft_rate,opp_efg_pct,opp_tov_pct,opp_ft_rate,W,L,WIN%
POR,1991,No,43.6,89.9,.485,39.5,78.8,.501,4.2,11.0,.377,23.3,31.0,.753,14.7,31.2,45.9,27.5,8.8,5.0,16.0,24.1,114.7,25.3,106.0,63,19,8.68,-0.21,8.47,112.8,104.3,.509,13.4,33.8,70.4,.259,.473,14.4,.250,63.0,19.0,0.7682926829268293
POR,1992,No,42.4,89.7,.473,38.4,78.1,.492,4.0,11.5,.344,22.7,30.0,.754,15.8,31.1,46.9,25.2,9.2,5.0,16.2,24.2,111.4,23.9,104.1,57,25,7.27,-0.33,6.94,111.4,104.2,.495,13.6,35.6,69.9,.253,.471,14.3,.251,57.0,25.0,0.6951219512195121
POR,1993,No,41.0,89.5,.458,37.6,79.3,.475,3.4,10.3,.326,23.2,31.1,.745,15.0,30.6,45.5,24.0,9.4,5.2,14.8,23.1,108.5,25.5,105.4,51,31,3.11,-0.19,2.92,108.3,105.2,.476,12.6,32.7,71.0,.259,.488,14.8,.237,51.0,31.0,0.6219512195121951
POR,1994,No,41.1,90.6,.454,37.8,81.2,.466,3.3,9.4,.353,21.7,29.2,.743,15.9,30.0,45.9,25.2,9.1,5.0,14.8,22.3,107.3,23.7,104.6,47,35,2.63,-0.04,2.60,108.1,105.5,.472,12.5,34.4,70.8,.240,.490,14.8,.235,47.0,35.0,0.573170731707317
POR,1995,No,39.2,87.0,.451,33.6,71.6,.469,5.6,15.4,.365,19.0,27.2,.697,16.5,29.8,46.3,22.5,8.1,5.7,14.8,24.7,103.1,23.6,99.2,44,38,3.82,-0.02,3.80,109.7,105.7,.483,13.0,37.1,73.5,.218,.491,14.8,.277,44.0,38.0,0.5365853658536586
POR,1996,No,37.4,81.6,.458,31.5,65.0,.485,5.9,16.6,.353,18.7,28.3,.662,14.1,31.4,45.6,21.5,7.2,5.1,16.8,22.7,99.3,24.3,97.0,44,38,2.35,-0.14,2.21,106.0,103.5,.494,15.2,33.4,73.4,.230,.478,13.5,.236,44.0,38.0,0.5365853658536586
POR,1997,No,36.6,78.8,.464,30.5,61.8,.493,6.1,17.1,.358,19.7,27.6,.713,12.9,30.4,43.3,20.9,7.8,5.3,16.5,23.5,99.0,23.0,94.8,49,33,4.17,-0.61,3.56,107.9,103.3,.503,15.4,32.5,72.4,.249,.471,14.3,.268,49.0,33.0,0.5975609756097561
POR,1998,No,35.2,78.0,.451,31.2,65.2,.479,4.0,12.8,.309,20.0,27.1,.737,13.2,30.8,44.0,21.5,7.1,5.7,16.9,22.7,94.3,22.2,92.9,46,36,1.40,-0.57,0.83,104.0,102.4,.476,15.8,33.0,71.4,.256,.460,13.4,.249,46.0,36.0,0.5609756097560976
POR,1999,No,34.9,79.1,.442,30.0,65.6,.457,4.9,13.5,.364,20.0,27.0,.743,12.9,31.4,44.3,21.5,8.2,5.8,15.4,22.5,94.8,22.8,88.5,35,15,6.36,-0.69,5.67,104.8,97.7,.473,14.5,31.8,71.8,.253,.445,14.9,.233,35.0,15.0,0.7
POR,2000,No,36.8,78.4,.470,31.9,64.7,.493,5.0,13.8,.361,18.8,24.7,.760,11.8,31.2,43.0,23.5,7.7,4.8,15.2,22.7,97.5,22.8,91.0,59,23,6.40,-0.04,6.36,107.9,100.8,.501,14.5,30.3,72.4,.240,.461,13.8,.217,59.0,23.0,0.7195121951219512
