Team,Year,Champion,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,opp_pf_per_g,opp_pts_per_g,wins,losses,mov,sos,srs,off_rtg,def_rtg,efg_pct,tov_pct,orb_pct,drb_pct,ft_rate,opp_efg_pct,opp_tov_pct,opp_ft_rate,W,L,WIN%
SAC,1991,No,37.6,83.1,.453,35.0,76.1,.460,2.6,7.0,.374,18.8,25.7,.732,12.5,27.0,39.6,24.3,7.7,6.3,15.5,25.3,96.7,22.5,103.5,25,57,-6.78,0.51,-6.27,102.0,109.1,.468,14.1,28.8,65.6,.226,.481,14.3,.306,25.0,57.0,0.3048780487804878
SAC,1992,No,40.8,87.7,.466,37.9,79.4,.477,2.9,8.2,.353,19.7,26.4,.747,12.9,28.7,41.6,23.9,8.9,7.5,16.6,21.5,104.3,22.1,110.3,29,53,-6.06,0.44,-5.63,103.9,109.9,.482,14.3,28.5,64.2,.225,.493,13.9,.233,29.0,53.0,0.35365853658536583
SAC,1993,No,41.0,88.6,.463,37.8,79.0,.478,3.2,9.6,.332,22.7,29.8,.762,13.9,27.8,41.7,25.3,9.4,4.2,16.6,25.4,107.9,24.5,111.1,25,57,-3.17,0.17,-3.00,106.5,109.6,.481,14.1,30.7,66.7,.257,.502,15.1,.292,25.0,57.0,0.3048780487804878
SAC,1994,No,38.8,85.7,.452,35.6,76.8,.464,3.1,8.9,.353,20.4,28.0,.731,13.7,28.6,42.3,24.7,8.2,4.3,16.3,24.1,101.1,23.1,106.9,28,54,-5.77,0.44,-5.32,103.3,109.2,.471,14.2,30.4,66.4,.239,.499,14.2,.252,28.0,54.0,0.34146341463414637
SAC,1995,No,36.9,78.8,.468,32.5,66.2,.491,4.4,12.6,.346,20.1,28.3,.711,13.1,28.4,41.4,22.2,7.9,5.6,17.7,24.9,98.2,24.8,99.2,39,43,-1.00,0.26,-0.74,105.5,106.5,.496,16.2,32.1,67.0,.255,.481,15.0,.280,39.0,43.0,0.47560975609756095
SAC,1996,No,36.2,79.2,.457,30.6,64.6,.473,5.6,14.6,.387,21.5,29.4,.731,13.6,28.6,42.2,22.3,7.8,5.3,17.6,26.0,99.5,24.5,102.3,39,43,-2.71,0.09,-2.62,106.2,109.1,.493,16.0,32.5,69.0,.271,.498,15.1,.302,39.0,43.0,0.47560975609756095
SAC,1997,No,36.6,80.6,.454,31.5,67.7,.466,5.0,12.9,.391,18.2,25.2,.723,13.4,28.1,41.5,21.9,7.2,4.4,16.2,23.7,96.4,21.8,99.8,34,48,-3.38,-0.26,-3.64,105.0,108.7,.485,15.0,32.0,68.5,.226,.495,14.3,.264,34.0,48.0,0.4146341463414634
SAC,1998,No,36.1,81.5,.442,32.6,71.7,.455,3.5,9.8,.351,17.6,25.6,.687,13.3,28.1,41.4,22.4,7.3,5.1,15.5,22.1,93.1,21.6,98.7,27,55,-5.59,-0.25,-5.83,100.8,106.9,.464,14.3,30.2,66.6,.215,.482,14.0,.230,27.0,55.0,0.32926829268292684
SAC,1999,No,38.4,86.1,.445,32.6,67.3,.484,5.8,18.9,.308,17.7,25.9,.683,14.1,31.5,45.6,22.6,8.9,4.6,16.8,20.3,100.2,22.0,100.6,27,23,-0.42,-0.47,-0.89,102.7,103.1,.479,14.7,30.6,67.7,.205,.471,13.7,.176,27.0,23.0,0.54
SAC,2000,No,40.0,88.9,.450,33.4,68.7,.487,6.5,20.2,.322,18.5,24.6,.754,12.9,32.1,45.0,23.8,9.6,4.6,16.2,21.1,105.0,23.7,102.0,44,38,2.91,0.12,3.04,105.0,102.1,.486,13.9,27.7,69.7,.209,.479,15.1,.198,44.0,38.0,0.5365853658536586
