Team,Year,Champion,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,opp_pf_per_g,opp_pts_per_g,wins,losses,mov,sos,srs,off_rtg,def_rtg,efg_pct,tov_pct,orb_pct,drb_pct,ft_rate,opp_efg_pct,opp_tov_pct,opp_ft_rate,W,L,WIN%
SAS,1991,No,41.6,85.2,.488,40.6,81.6,.497,1.0,3.6,.273,23.0,30.0,.766,13.8,32.4,46.2,26.1,8.2,7.0,17.6,23.1,107.1,24.5,102.6,55,27,4.51,-0.21,4.30,107.8,103.3,.494,15.2,33.3,70.3,.269,.463,13.2,.228,55.0,27.0,0.6707317073170732
SAS,1992,No,41.2,86.5,.476,39.7,81.5,.487,1.4,4.9,.292,20.1,27.4,.736,15.0,31.1,46.1,24.5,8.9,7.4,16.0,21.9,104.0,22.1,100.6,47,35,3.32,-0.51,2.81,107.5,104.1,.485,13.9,34.2,69.8,.233,.469,13.5,.224,47.0,35.0,0.573170731707317
SAS,1993,No,40.4,82.5,.490,37.5,74.0,.507,2.9,8.4,.341,21.9,28.6,.765,11.2,31.0,42.2,24.5,7.1,6.3,15.0,22.5,105.5,24.4,102.8,49,33,2.67,-0.46,2.21,109.6,106.8,.507,13.6,27.8,70.1,.265,.477,12.3,.221,49.0,33.0,0.5975609756097561
SAS,1994,No,38.8,81.6,.475,35.7,72.9,.490,3.0,8.7,.349,19.5,26.2,.742,14.5,31.7,46.2,23.1,6.8,5.5,14.6,20.3,100.0,21.8,94.8,55,27,5.26,-0.21,5.05,110.4,104.6,.494,13.6,35.6,70.5,.239,.467,11.7,.196,55.0,27.0,0.6707317073170732
SAS,1995,No,39.5,81.5,.484,34.2,67.4,.507,5.3,14.1,.375,22.4,30.3,.738,12.5,32.5,45.0,23.4,8.0,5.6,15.2,22.8,106.6,25.2,100.6,62,20,5.96,-0.06,5.90,111.7,105.4,.516,13.8,30.9,72.3,.275,.485,13.0,.214,62.0,20.0,0.7560975609756098
SAS,1996,No,38.4,80.5,.477,32.1,64.4,.498,6.3,16.1,.392,20.3,27.6,.736,11.4,31.5,43.0,24.9,7.9,6.5,14.6,22.2,103.4,24.0,97.1,59,23,6.30,-0.33,5.98,110.2,103.5,.516,13.6,27.5,70.0,.252,.472,13.9,.216,59.0,23.0,0.7195121951219512
SAS,1997,No,34.5,77.9,.442,29.9,63.5,.470,4.6,14.4,.320,16.9,23.5,.719,13.4,26.0,39.4,20.3,7.9,5.3,15.2,21.5,90.5,20.1,98.3,20,62,-7.88,-0.05,-7.93,103.3,112.3,.472,14.7,32.4,67.0,.217,.514,14.0,.236,20.0,62.0,0.24390243902439024
SAS,1998,No,35.3,75.5,.468,31.7,64.9,.488,3.7,10.5,.350,18.2,26.4,.688,12.0,32.2,44.2,22.4,6.3,6.9,16.1,21.1,92.5,22.5,88.5,56,26,3.99,-0.69,3.30,103.8,99.4,.493,15.6,30.6,72.2,.241,.437,12.2,.218,56.0,26.0,0.6829268292682927
SAS,1999,Yes,34.8,76.2,.456,31.4,65.8,.476,3.4,10.4,.330,19.8,28.3,.698,12.3,31.7,44.0,22.0,8.4,7.0,15.2,20.2,92.8,23.0,84.7,37,13,8.06,-0.94,7.12,104.0,95.0,.479,14.6,30.4,69.5,.259,.423,13.8,.198,37.0,13.0,0.74
SAS,2000,No,36.0,78.0,.462,32.0,67.2,.476,4.0,10.8,.374,20.1,27.0,.746,11.3,32.5,43.8,22.2,7.5,6.7,15.0,20.9,96.2,23.1,90.2,53,29,5.94,-0.02,5.92,105.0,98.6,.488,14.3,27.8,73.0,.258,.451,13.5,.188,53.0,29.0,0.6463414634146342
