Team,Year,Champion,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,opp_pf_per_g,opp_pts_per_g,wins,losses,mov,sos,srs,off_rtg,def_rtg,efg_pct,tov_pct,orb_pct,drb_pct,ft_rate,opp_efg_pct,opp_tov_pct,opp_ft_rate,W,L,WIN%
TOR,1996,No,37.6,80.5,.467,32.6,66.2,.492,5.0,14.2,.354,17.2,23.8,.723,13.1,27.0,40.0,23.5,9.1,6.0,18.8,24.2,97.5,21.2,105.0,21,61,-7.51,0.31,-7.20,103.8,111.8,.499,17.2,32.0,66.8,.214,.514,14.7,.272,21.0,61.0,0.25609756097560976
TOR,1997,No,35.3,80.9,.437,28.1,61.1,.461,7.2,19.8,.363,17.6,24.5,.720,13.8,27.5,41.3,20.9,8.8,6.3,16.4,23.0,95.5,21.9,98.6,30,52,-3.12,0.57,-2.56,104.6,108.0,.481,15.2,32.5,68.6,.218,.504,15.3,.258,30.0,52.0,0.36585365853658536
TOR,1998,No,36.2,83.1,.435,31.6,69.8,.453,4.5,13.2,.343,18.0,25.1,.718,14.5,26.2,40.7,21.3,9.4,8.1,16.7,22.6,94.9,21.3,104.2,16,66,-9.27,0.94,-8.33,101.2,111.0,.462,15.1,32.1,62.9,.217,.508,14.9,.235,16.0,66.0,0.1951219512195122
TOR,1999,No,33.2,78.8,.421,28.7,65.6,.437,4.5,13.2,.341,20.2,26.6,.760,14.2,28.9,43.2,20.7,8.8,6.4,16.0,22.8,91.1,21.8,92.8,23,27,-1.64,0.33,-1.32,102.0,103.9,.450,15.0,33.8,70.2,.257,.473,14.8,.258,23.0,27.0,0.46
TOR,2000,No,36.3,83.9,.433,31.2,69.6,.447,5.2,14.3,.363,19.3,25.2,.765,13.4,29.9,43.3,23.7,8.1,6.6,13.9,24.3,97.2,22.9,97.3,45,37,-0.16,-0.30,-0.46,104.7,104.9,.464,12.7,30.1,71.8,.230,.480,14.2,.247,45.0,37.0,0.5487804878048781
TOR,2001,No,37.2,85.0,.437,31.9,70.8,.451,5.2,14.2,.369,18.1,24.2,.747,13.6,30.8,44.5,24.4,7.3,6.3,13.2,21.3,97.6,21.9,95.4,47,35,2.26,-0.57,1.69,105.9,103.4,.468,12.1,30.8,73.2,.213,.476,13.3,.212,47.0,35.0,0.573170731707317
TOR,2002,No,35.6,82.0,.434,30.9,68.5,.451,4.7,13.5,.349,15.5,20.9,.739,13.6,28.5,42.1,21.7,8.4,5.5,14.3,21.6,91.4,19.7,91.8,42,40,-0.44,-0.27,-0.71,102.6,103.1,.463,13.6,31.4,70.1,.189,.471,14.7,.237,42.0,40.0,0.5121951219512195
TOR,2003,No,34.7,81.3,.427,29.7,66.7,.446,5.0,14.5,.343,16.5,22.9,.718,12.5,28.7,41.2,19.3,7.4,4.8,14.4,21.5,90.9,20.8,96.8,24,58,-5.87,-0.23,-6.10,100.5,107.0,.458,13.6,28.2,70.7,.203,.489,13.1,.226,24.0,58.0,0.2926829268292683
TOR,2004,No,32.4,77.4,.418,26.7,61.6,.434,5.6,15.8,.356,15.1,20.1,.750,10.1,29.5,39.6,19.2,7.4,4.9,14.2,21.3,85.4,19.7,88.5,33,49,-3.01,-0.40,-3.42,97.0,100.4,.454,14.1,23.8,70.1,.195,.449,14.1,.241,33.0,49.0,0.4024390243902439
TOR,2005,No,36.0,81.2,.444,28.1,60.7,.463,7.9,20.5,.385,19.8,25.6,.774,10.3,29.8,40.1,20.4,7.6,3.9,13.3,22.9,99.7,21.9,101.4,33,49,-1.62,-0.19,-1.81,106.9,108.7,.492,12.5,23.7,71.1,.244,.499,13.4,.240,33.0,49.0,0.4024390243902439
