Team,Year,Champion,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,opp_pf_per_g,opp_pts_per_g,wins,losses,mov,sos,srs,off_rtg,def_rtg,efg_pct,tov_pct,orb_pct,drb_pct,ft_rate,opp_efg_pct,opp_tov_pct,opp_ft_rate,W,L,WIN%
UTA,1991,No,39.2,79.7,.492,37.4,74.1,.504,1.8,5.6,.323,23.8,30.1,.789,10.6,30.2,40.7,27.0,8.0,5.5,15.9,21.9,104.0,24.3,100.7,54,28,3.33,-0.15,3.18,108.6,105.1,.503,14.6,27.6,69.2,.298,.473,13.7,.230,54.0,28.0,0.6585365853658537
UTA,1992,No,41.2,83.7,.492,39.3,78.1,.503,1.9,5.6,.345,23.9,30.4,.788,13.4,31.0,44.4,26.7,8.7,5.5,15.4,21.3,108.3,23.9,101.9,55,27,6.39,-0.69,5.70,112.2,105.6,.504,13.7,32.7,68.9,.286,.475,13.0,.214,55.0,27.0,0.6707317073170732
UTA,1993,No,40.7,83.3,.489,39.1,78.2,.500,1.6,5.0,.314,23.3,30.4,.766,12.7,30.0,42.7,26.5,9.1,4.2,15.5,24.0,106.2,24.0,104.0,47,35,2.17,-0.43,1.74,109.6,107.4,.498,13.8,31.0,68.7,.279,.487,13.9,.250,47.0,35.0,0.573170731707317
UTA,1994,No,39.1,82.1,.477,36.9,75.2,.491,2.2,6.8,.320,21.5,29.0,.740,12.9,29.1,42.0,26.6,9.2,4.4,14.5,24.2,101.9,23.4,97.7,53,29,4.22,-0.12,4.10,108.6,104.1,.490,13.3,31.3,68.4,.262,.469,14.6,.267,53.0,29.0,0.6463414634146342
UTA,1995,No,39.5,77.3,.512,35.9,67.5,.531,3.7,9.8,.376,23.6,30.3,.781,10.7,29.4,40.1,27.5,9.2,4.8,15.7,24.9,106.4,25.0,98.4,60,22,7.99,-0.23,7.76,114.3,105.7,.535,14.8,29.1,72.5,.306,.496,15.5,.292,60.0,22.0,0.7317073170731707
UTA,1996,No,38.2,78.3,.488,33.6,65.9,.509,4.6,12.4,.372,21.6,28.1,.768,12.1,28.9,41.0,26.1,8.1,5.1,14.8,25.0,102.5,24.2,95.9,55,27,6.59,-0.34,6.25,113.3,106.1,.517,14.1,31.6,71.7,.276,.489,15.1,.295,55.0,27.0,0.6707317073170732
UTA,1997,No,38.2,75.8,.504,34.1,64.8,.526,4.1,11.0,.370,22.7,29.5,.769,10.8,29.4,40.2,26.8,9.1,5.1,15.4,24.2,103.1,24.9,94.3,64,18,8.79,-0.82,7.97,113.6,104.0,.530,14.7,29.7,71.6,.299,.480,15.5,.290,64.0,18.0,0.7804878048780488
UTA,1998,No,36.5,74.5,.490,33.5,66.4,.504,3.0,8.2,.372,24.9,32.2,.773,11.7,29.3,41.1,25.2,7.9,5.0,15.4,23.9,101.0,26.0,94.4,62,20,6.54,-0.81,5.73,112.7,105.4,.510,14.8,32.3,71.0,.334,.471,13.5,.271,62.0,20.0,0.7560975609756098
UTA,1999,No,33.7,72.4,.465,30.9,64.6,.478,2.8,7.8,.361,23.2,30.2,.767,11.1,30.2,41.3,24.1,8.0,5.5,16.3,22.7,93.3,26.2,86.8,37,13,6.52,-0.99,5.54,105.8,98.4,.485,16.0,30.0,70.4,.320,.441,14.4,.242,37.0,13.0,0.74
UTA,2000,No,36.1,77.8,.464,32.1,67.4,.476,4.0,10.4,.385,20.3,26.2,.773,11.4,29.6,41.0,24.9,7.7,5.4,14.9,24.5,96.5,24.7,92.0,55,27,4.46,0.05,4.52,107.3,102.3,.490,14.3,29.5,73.2,.260,.477,15.0,.256,55.0,27.0,0.6707317073170732
UTA,2001,No,36.1,76.7,.471,32.1,66.3,.485,4.0,10.4,.381,20.9,27.8,.752,11.5,29.1,40.6,25.7,8.1,5.6,15.8,25.7,97.1,24.5,92.4,53,29,4.70,0.31,5.00,107.6,102.4,.497,15.1,30.2,73.2,.273,.473,15.6,.301,53.0,29.0,0.6463414634146342
UTA,2002,No,35.0,77.7,.450,31.6,67.5,.468,3.4,10.3,.333,22.6,29.6,.763,13.5,28.6,42.2,24.4,9.1,6.4,16.5,24.0,96.0,25.2,95.1,44,38,0.89,0.32,1.21,105.6,104.6,.472,15.4,33.5,71.7,.291,.484,15.9,.286,44.0,38.0,0.5365853658536586
UTA,2003,No,35.3,75.5,.468,32.6,67.7,.481,2.7,7.8,.349,21.3,28.6,.745,12.5,29.0,41.5,25.6,8.6,5.7,16.8,22.4,94.7,23.8,92.3,47,35,2.39,0.37,2.76,105.5,102.8,.486,16.0,32.5,70.2,.283,.468,15.2,.256,47.0,35.0,0.573170731707317
UTA,2004,No,32.8,75.3,.436,29.7,65.7,.453,3.1,9.6,.321,20.0,26.8,.746,13.5,27.7,41.2,20.4,7.1,6.0,16.6,25.6,88.7,24.4,89.9,42,40,-1.22,0.69,-0.53,101.9,103.3,.456,16.1,34.1,72.4,.266,.468,15.4,.319,42.0,40.0,0.5121951219512195
UTA,2005,No,34.5,76.8,.449,31.4,67.5,.465,3.0,9.3,.328,21.0,27.7,.757,12.8,27.4,40.1,22.3,6.6,4.6,15.8,26.7,93.0,25.1,97.3,26,56,-4.27,0.53,-3.74,104.7,109.5,.469,15.0,31.9,72.3,.273,.499,14.2,.340,26.0,56.0,0.3170731707317073
UTA,2006,No,33.5,75.7,.442,29.7,64.4,.461,3.8,11.3,.336,21.6,30.1,.719,13.1,29.0,42.1,21.6,6.4,6.0,15.7,24.8,92.4,25.7,95.0,41,41,-2.63,0.14,-2.49,104.1,107.0,.467,15.0,32.4,73.2,.286,.490,14.0,.303,41.0,41.0,0.5
UTA,2007,No,37.4,78.9,.474,33.1,66.0,.501,4.3,12.9,.335,22.3,30.0,.743,12.6,30.0,42.5,24.7,7.0,4.1,15.6,25.2,101.5,24.5,98.6,51,31,2.87,0.20,3.06,110.1,107.0,.502,14.5,31.7,75.1,.283,.496,14.4,.314,51.0,31.0,0.6219512195121951
UTA,2008,No,40.0,80.4,.497,35.0,67.0,.522,5.0,13.4,.372,21.3,28.0,.759,11.5,29.4,40.9,26.4,8.7,4.3,14.6,24.0,106.2,23.1,99.3,54,28,6.88,-0.01,6.86,113.8,106.5,.528,13.6,29.5,74.1,.265,.501,15.0,.294,54.0,28.0,0.6585365853658537
