Team,Year,Champion,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,opp_pf_per_g,opp_pts_per_g,wins,losses,mov,sos,srs,off_rtg,def_rtg,efg_pct,tov_pct,orb_pct,drb_pct,ft_rate,opp_efg_pct,opp_tov_pct,opp_ft_rate,W,L,WIN%
WAS,1998,No,37.6,83.1,.452,33.7,71.5,.470,3.9,11.5,.339,18.2,26.3,.691,13.7,28.5,42.2,23.2,8.4,4.6,14.1,22.4,97.2,23.5,96.6,42,40,0.59,0.53,1.11,105.2,104.5,.476,13.0,31.2,69.5,.219,.481,15.1,.248,42.0,40.0,0.5121951219512195
WAS,1999,No,35.4,79.4,.445,31.8,67.8,.469,3.6,11.6,.309,16.9,24.0,.705,11.9,28.1,40.0,21.3,7.9,3.9,14.7,23.0,91.2,21.7,93.4,18,32,-2.24,0.49,-1.75,101.2,103.7,.468,14.1,28.2,69.5,.213,.474,15.1,.273,18.0,32.0,0.36
WAS,2000,No,36.7,81.5,.451,32.6,70.6,.462,4.1,10.9,.376,19.1,25.7,.743,13.0,29.7,42.7,21.6,7.2,4.7,16.1,26.2,96.6,24.0,99.9,29,53,-3.28,-0.19,-3.47,103.5,107.0,.476,14.8,30.6,71.7,.234,.489,13.9,.273,29.0,53.0,0.35365853658536583
WAS,2001,No,34.5,78.7,.439,31.2,68.4,.456,3.4,10.3,.324,20.8,27.4,.759,12.4,28.9,41.3,20.1,7.7,4.7,17.0,23.3,93.2,24.1,99.9,19,63,-6.67,-0.08,-6.75,100.6,107.8,.460,15.7,29.7,71.8,.264,.503,14.1,.236,19.0,63.0,0.23170731707317074
WAS,2002,No,35.8,81.3,.441,32.1,71.7,.448,3.7,9.6,.388,17.4,22.8,.765,12.9,29.2,42.0,20.9,7.0,4.3,13.0,21.5,92.8,20.9,94.2,37,45,-1.40,-0.17,-1.58,104.8,106.4,.464,12.5,30.7,71.4,.214,.484,13.0,.214,37.0,45.0,0.45121951219512196
WAS,2003,No,34.3,78.0,.440,31.3,68.1,.459,3.1,9.9,.312,19.7,25.3,.779,11.2,29.2,40.4,19.7,7.6,4.8,13.4,20.0,91.5,22.0,92.5,37,45,-1.01,-0.46,-1.47,103.0,104.1,.460,13.0,27.3,71.6,.253,.477,13.8,.212,37.0,45.0,0.45121951219512196
WAS,2004,No,33.6,80.0,.421,28.4,64.5,.440,5.3,15.5,.341,19.3,27.0,.714,13.6,29.2,42.8,18.7,8.9,5.0,17.5,20.9,91.8,21.7,97.4,25,57,-5.63,-0.48,-6.12,98.8,104.8,.454,16.0,30.7,69.5,.241,.486,14.9,.214,25.0,57.0,0.3048780487804878
WAS,2005,No,36.2,82.9,.437,29.9,64.6,.463,6.3,18.3,.343,21.9,30.2,.725,13.8,29.0,42.8,19.1,8.7,4.2,14.3,22.0,100.5,24.3,100.8,45,37,-0.33,-0.38,-0.71,107.2,107.5,.474,12.9,31.1,70.0,.264,.498,14.6,.230,45.0,37.0,0.5487804878048781
WAS,2006,No,36.3,81.2,.447,30.2,64.2,.471,6.1,17.0,.357,23.0,30.4,.757,12.6,28.6,41.2,18.6,8.0,4.1,13.9,22.6,101.7,25.3,99.8,42,40,1.85,-0.29,1.57,109.3,107.3,.484,12.8,29.5,70.9,.284,.504,15.1,.256,42.0,40.0,0.5121951219512195
WAS,2007,No,37.4,83.2,.450,30.6,63.5,.482,6.8,19.7,.348,22.6,29.6,.765,12.2,29.0,41.2,20.2,7.7,4.6,13.8,22.2,104.3,23.5,104.9,41,41,-0.51,-0.28,-0.80,110.1,110.6,.491,12.6,28.1,71.0,.272,.517,14.4,.249,41.0,41.0,0.5
WAS,2008,No,36.4,81.6,.446,29.4,62.0,.475,7.0,19.7,.356,19.0,24.3,.782,12.3,29.3,41.6,19.6,7.7,4.8,13.2,19.6,98.8,20.2,99.2,43,39,-0.33,-0.28,-0.61,109.2,109.6,.489,12.5,28.9,72.8,.233,.513,13.5,.217,43.0,39.0,0.524390243902439
WAS,2009,No,36.5,81.2,.450,31.7,66.5,.476,4.8,14.6,.330,18.2,23.8,.767,11.7,28.4,40.1,20.0,7.5,4.5,14.0,20.5,96.1,20.0,103.5,19,63,-7.46,0.48,-6.98,105.4,113.6,.480,13.2,27.7,71.4,.224,.533,13.3,.227,19.0,63.0,0.23170731707317074
WAS,2010,No,36.7,81.7,.449,31.4,66.8,.471,5.3,14.9,.353,17.6,23.1,.762,11.8,30.0,41.8,19.0,6.0,5.1,14.9,21.4,96.2,20.5,101.0,26,56,-4.78,0.06,-4.72,104.2,109.4,.481,13.9,27.6,72.4,.216,.502,12.8,.239,26.0,56.0,0.3170731707317073
WAS,2011,No,37.2,84.0,.443,32.4,69.6,.465,4.8,14.4,.332,18.2,24.4,.745,12.4,29.0,41.3,19.4,8.1,6.1,15.3,22.6,97.3,20.3,104.7,23,59,-7.40,0.11,-7.30,102.4,110.2,.471,13.9,28.0,70.5,.216,.512,14.4,.249,23.0,59.0,0.2804878048780488
WAS,2012,No,36.6,83.0,.441,31.4,66.7,.470,5.2,16.3,.320,15.3,21.0,.727,11.7,29.9,41.7,19.1,8.0,6.3,15.3,21.3,93.6,18.7,98.4,20,46,-4.80,-0.34,-5.14,101.0,106.2,.472,14.2,27.3,70.9,.184,.492,14.2,.229,20.0,46.0,0.30303030303030304
WAS,2013,No,35.5,81.6,.435,28.8,63.4,.455,6.6,18.2,.365,15.6,21.3,.733,10.8,32.3,43.2,21.6,7.3,4.6,15.1,20.5,93.2,19.1,95.8,29,53,-2.54,-0.25,-2.78,100.2,103.0,.475,14.2,24.6,74.6,.191,.483,13.7,.206,29.0,53.0,0.35365853658536583
