player,played,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,game_id,team,opponent,location,team_score,opponent_score,win
Jayson Tatum,1,38.65,13,22,0.591,3,8,0.375,5,6,0.833,0,11,11,4,2,1,4,3,34,0.0,0.69,0.659,0.364,0.273,0.0,24.4,14.7,23.8,2.6,2.2,14.0,35.1,122.0,102.0,10.7,6baf31d5-c4f8-4ae2-9124-9dc73c40aea7,BOS,NYK,Away,108,104,1
Jaylen Brown,1,38.13333333333333,4,11,0.364,0,4,0.0,3,4,0.75,0,6,6,5,1,0,2,5,11,8.0,0.431,0.364,0.364,0.364,0.0,13.5,8.1,19.7,1.3,0.0,13.6,18.3,94.0,112.0,-5.7,6baf31d5-c4f8-4ae2-9124-9dc73c40aea7,BOS,NYK,Away,108,104,1
Kristaps Porziņģis,1,37.9,8,15,0.533,5,9,0.556,9,10,0.9,1,7,8,0,0,4,1,4,30,13.0,0.773,0.7,0.6,0.667,3.4,15.8,10.9,0.0,0.0,9.0,4.9,25.5,150.0,109.0,11.7,6baf31d5-c4f8-4ae2-9124-9dc73c40aea7,BOS,NYK,Away,108,104,1
Jrue Holiday,1,34.78333333333333,4,10,0.4,1,5,0.2,0,0,0.0,2,2,4,2,0,3,2,3,9,3.0,0.45,0.45,0.5,0.0,7.5,4.9,5.9,8.8,0.0,7.4,16.7,16.3,92.0,116.0,-2.7,6baf31d5-c4f8-4ae2-9124-9dc73c40aea7,BOS,NYK,Away,108,104,1
Derrick White,1,31.933333333333334,4,6,0.667,1,3,0.333,3,4,0.75,0,6,6,2,2,1,1,3,12,7.0,0.773,0.75,0.5,0.667,0.0,16.1,9.7,9.7,3.2,2.7,11.4,13.0,142.0,105.0,5.7,6baf31d5-c4f8-4ae2-9124-9dc73c40aea7,BOS,NYK,Away,108,104,1
Al Horford,1,25.78333333333333,3,4,0.75,2,3,0.667,0,0,0.0,3,4,7,2,0,0,3,2,8,-7.0,1.0,1.0,0.75,0.0,15.1,13.3,14.0,11.9,0.0,0.0,42.9,12.8,125.0,116.0,2.2,6baf31d5-c4f8-4ae2-9124-9dc73c40aea7,BOS,NYK,Away,108,104,1
Sam Hauser,1,13.783333333333331,0,4,0.0,0,4,0.0,0,0,0.0,0,2,2,0,1,1,0,1,0,5.0,0.0,0.0,1.0,0.0,0.0,12.4,7.5,0.0,3.7,6.2,0.0,13.7,0.0,104.0,-10.4,6baf31d5-c4f8-4ae2-9124-9dc73c40aea7,BOS,NYK,Away,108,104,1
Payton Pritchard,1,11.033333333333331,1,4,0.25,0,3,0.0,2,2,1.0,0,1,1,1,0,0,0,1,4,-8.0,0.41,0.25,0.75,0.5,0.0,7.8,4.7,13.3,0.0,0.0,0.0,20.9,100.0,119.0,-7.9,6baf31d5-c4f8-4ae2-9124-9dc73c40aea7,BOS,NYK,Away,108,104,1
Luke Kornet,1,8.0,0,1,0.0,0,0,0.0,0,0,0.0,1,0,1,2,0,1,0,0,0,-1.0,0.0,0.0,0.0,0.0,16.2,0.0,6.5,32.4,0.0,10.7,0.0,5.9,123.0,119.0,7.8,6baf31d5-c4f8-4ae2-9124-9dc73c40aea7,BOS,NYK,Away,108,104,1
Dalano Banton,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6baf31d5-c4f8-4ae2-9124-9dc73c40aea7,BOS,NYK,Away,108,104,1
Oshae Brissett,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6baf31d5-c4f8-4ae2-9124-9dc73c40aea7,BOS,NYK,Away,108,104,1
Svi Mykhailiuk,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6baf31d5-c4f8-4ae2-9124-9dc73c40aea7,BOS,NYK,Away,108,104,1
Neemias Queta,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6baf31d5-c4f8-4ae2-9124-9dc73c40aea7,BOS,NYK,Away,108,104,1
Lamar Stevens,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6baf31d5-c4f8-4ae2-9124-9dc73c40aea7,BOS,NYK,Away,108,104,1
Jordan Walsh,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6baf31d5-c4f8-4ae2-9124-9dc73c40aea7,BOS,NYK,Away,108,104,1
