player,played,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,game_id,team,opponent,location,team_score,opponent_score,win
Mikal Bridges,1,35.18333333333333,6,12,0.5,0,2,0.0,8,9,0.889,2,4,6,4,3,0,3,4,20,-3.0,0.627,0.5,0.167,0.75,6.5,11.9,9.3,16.1,4.2,0.0,15.8,23.0,122.0,113.0,1.3,4e15874a-c416-4065-8dfc-23b46fc07c07,BRK,CLE,Home,113,114,0
Nic Claxton,1,28.283333333333335,3,10,0.3,0,0,0.0,1,1,1.0,4,3,7,4,0,3,0,1,7,-12.0,0.335,0.3,0.0,0.1,16.2,11.1,13.5,18.4,0.0,10.0,0.0,15.8,112.0,115.0,-1.4,4e15874a-c416-4065-8dfc-23b46fc07c07,BRK,CLE,Home,113,114,0
Cameron Johnson,1,26.133333333333333,5,10,0.5,1,4,0.25,1,2,0.5,2,3,5,3,2,0,2,1,12,-1.0,0.551,0.55,0.4,0.2,8.7,12.0,10.4,16.8,3.8,0.0,15.5,21.0,108.0,114.0,0.8,4e15874a-c416-4065-8dfc-23b46fc07c07,BRK,CLE,Home,113,114,0
Spencer Dinwiddie,1,23.95,1,3,0.333,1,3,0.333,2,2,1.0,0,1,1,3,0,0,1,2,5,-10.0,0.644,0.5,1.0,0.667,0.0,4.4,2.3,15.0,0.0,0.0,20.5,8.7,127.0,125.0,-6.8,4e15874a-c416-4065-8dfc-23b46fc07c07,BRK,CLE,Home,113,114,0
Ben Simmons,1,22.983333333333334,2,6,0.333,0,0,0.0,0,0,0.0,1,9,10,9,0,1,2,2,4,-6.0,0.333,0.333,0.0,0.0,5.0,40.9,23.7,49.7,0.0,4.1,25.0,14.9,103.0,113.0,3.3,4e15874a-c416-4065-8dfc-23b46fc07c07,BRK,CLE,Home,113,114,0
Dorian Finney-Smith,1,27.8,4,8,0.5,2,6,0.333,0,1,0.0,1,4,5,2,0,0,3,1,10,7.0,0.592,0.625,0.75,0.125,4.1,15.0,9.8,9.8,0.0,0.0,26.2,17.6,91.0,122.0,-5.5,4e15874a-c416-4065-8dfc-23b46fc07c07,BRK,CLE,Home,113,114,0
Cam Thomas,1,25.133333333333333,13,21,0.619,2,5,0.4,8,11,0.727,0,3,3,2,1,0,1,0,36,5.0,0.697,0.667,0.238,0.524,0.0,12.5,6.5,22.2,2.0,0.0,3.7,45.6,138.0,118.0,15.9,4e15874a-c416-4065-8dfc-23b46fc07c07,BRK,CLE,Home,113,114,0
Royce O'Neale,1,22.8,2,6,0.333,1,4,0.25,0,0,0.0,0,7,7,2,0,0,1,2,5,8.0,0.417,0.417,0.667,0.0,0.0,32.0,16.7,11.1,0.0,0.0,14.3,13.1,88.0,118.0,-7.3,4e15874a-c416-4065-8dfc-23b46fc07c07,BRK,CLE,Home,113,114,0
Dennis Smith Jr.,1,15.833333333333334,4,5,0.8,2,3,0.667,0,0,0.0,2,2,4,1,0,0,1,1,10,5.0,1.0,1.0,0.6,0.0,14.4,13.2,13.8,10.1,0.0,0.0,16.7,16.2,154.0,123.0,8.3,4e15874a-c416-4065-8dfc-23b46fc07c07,BRK,CLE,Home,113,114,0
Day'Ron Sharpe,1,11.9,2,3,0.667,0,0,0.0,0,0,0.0,1,1,2,0,0,2,3,2,4,2.0,0.667,0.667,0.0,0.0,9.6,8.8,9.2,0.0,0.0,15.8,50.0,21.5,62.0,111.0,-13.1,4e15874a-c416-4065-8dfc-23b46fc07c07,BRK,CLE,Home,113,114,0
Noah Clowney,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4e15874a-c416-4065-8dfc-23b46fc07c07,BRK,CLE,Home,113,114,0
Harry Giles,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4e15874a-c416-4065-8dfc-23b46fc07c07,BRK,CLE,Home,113,114,0
Lonnie Walker IV,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4e15874a-c416-4065-8dfc-23b46fc07c07,BRK,CLE,Home,113,114,0
