player,played,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,game_id,team,opponent,location,team_score,opponent_score,win
DeMar DeRozan,1,32.88333333333333,9,20,0.45,1,3,0.333,1,3,0.333,2,3,5,2,1,1,0,1,20,-29.0,0.469,0.475,0.15,0.15,5.7,12.9,8.6,11.3,1.5,3.4,0.0,27.3,104.0,127.0,-0.6,5e8282c4-5960-455e-b59f-f79bf6e8b416,CHI,OKC,Home,104,124,0
Nikola Vučević,1,31.95,5,8,0.625,0,2,0.0,1,1,1.0,1,8,9,4,3,2,4,2,11,-19.0,0.652,0.625,0.25,0.125,2.9,35.3,15.9,19.1,4.6,7.0,32.2,16.4,96.0,114.0,2.0,5e8282c4-5960-455e-b59f-f79bf6e8b416,CHI,OKC,Home,104,124,0
Coby White,1,30.58333333333333,4,14,0.286,2,7,0.286,5,6,0.833,1,3,4,4,0,0,0,3,15,-8.0,0.451,0.357,0.5,0.429,3.1,13.8,7.4,19.2,0.0,0.0,0.0,22.9,111.0,132.0,-4.7,5e8282c4-5960-455e-b59f-f79bf6e8b416,CHI,OKC,Home,104,124,0
Patrick Williams,1,30.03333333333333,4,10,0.4,0,4,0.0,0,0,0.0,2,1,3,4,2,0,0,3,8,-3.0,0.4,0.4,0.4,0.0,6.3,4.7,5.6,19.6,3.3,0.0,0.0,14.0,108.0,126.0,-2.9,5e8282c4-5960-455e-b59f-f79bf6e8b416,CHI,OKC,Home,104,124,0
Zach LaVine,1,24.716666666666665,4,16,0.25,2,9,0.222,6,6,1.0,0,4,4,3,0,0,4,3,16,1.0,0.429,0.313,0.563,0.375,0.0,22.8,9.1,18.7,0.0,0.0,17.7,38.6,81.0,132.0,-12.8,5e8282c4-5960-455e-b59f-f79bf6e8b416,CHI,OKC,Home,104,124,0
Torrey Craig,1,21.683333333333334,4,6,0.667,3,4,0.75,0,0,0.0,4,3,7,1,0,0,1,2,11,-12.0,0.917,0.917,0.667,0.0,17.4,19.5,18.2,7.3,0.0,0.0,14.3,13.6,155.0,132.0,5.2,5e8282c4-5960-455e-b59f-f79bf6e8b416,CHI,OKC,Home,104,124,0
Alex Caruso,1,19.616666666666667,2,5,0.4,1,4,0.25,1,2,0.5,0,2,2,3,2,0,1,1,6,-19.0,0.51,0.5,0.8,0.4,0.0,14.4,5.8,21.5,5.0,0.0,14.5,14.8,103.0,121.0,0.3,5e8282c4-5960-455e-b59f-f79bf6e8b416,CHI,OKC,Home,104,124,0
Andre Drummond,1,15.966666666666669,3,4,0.75,0,0,0.0,0,0,0.0,3,2,5,1,1,0,1,1,6,-1.0,0.75,0.75,0.0,0.0,17.7,17.7,17.7,10.0,3.1,0.0,20.0,13.2,133.0,125.0,0.6,5e8282c4-5960-455e-b59f-f79bf6e8b416,CHI,OKC,Home,104,124,0
Jevon Carter,1,15.933333333333334,1,4,0.25,1,4,0.25,0,0,0.0,0,1,1,2,0,0,0,0,3,-15.0,0.375,0.375,1.0,0.0,0.0,8.9,3.5,16.7,0.0,0.0,0.0,10.6,101.0,133.0,-6.8,5e8282c4-5960-455e-b59f-f79bf6e8b416,CHI,OKC,Home,104,124,0
Ayo Dosunmu,1,9.3,3,5,0.6,2,4,0.5,0,0,0.0,0,0,0,1,1,0,1,0,8,3.0,0.8,0.8,0.8,0.0,0.0,0.0,0.0,21.9,5.3,0.0,16.7,27.2,119.0,122.0,14.9,5e8282c4-5960-455e-b59f-f79bf6e8b416,CHI,OKC,Home,104,124,0
