player,played,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,game_id,team,opponent,location,team_score,opponent_score,win
Terry Rozier,1,34.35,7,16,0.438,2,7,0.286,8,12,0.667,1,4,5,6,0,0,3,2,24,14.0,0.564,0.5,0.438,0.75,3.3,11.0,7.5,25.2,0.0,0.0,12.4,29.1,114.0,110.0,-0.7,c9fdc323-87bb-460c-adc2-68c44cf7d2db,CHO,ATL,Home,116,110,1
Gordon Hayward,1,33.333333333333336,4,8,0.5,0,1,0.0,2,3,0.667,3,5,8,7,1,1,6,1,10,15.0,0.536,0.5,0.125,0.375,10.3,14.1,12.4,27.1,1.4,2.3,39.2,18.9,91.0,105.0,-2.0,c9fdc323-87bb-460c-adc2-68c44cf7d2db,CHO,ATL,Home,116,110,1
P.J. Washington,1,31.8,12,18,0.667,1,6,0.167,0,0,0.0,1,4,5,2,0,0,1,4,25,5.0,0.694,0.694,0.333,0.0,3.6,11.8,8.1,12.1,0.0,0.0,5.3,24.6,131.0,110.0,3.0,c9fdc323-87bb-460c-adc2-68c44cf7d2db,CHO,ATL,Home,116,110,1
LaMelo Ball,1,30.783333333333335,4,15,0.267,4,11,0.364,3,4,0.75,1,5,6,10,1,0,3,3,15,7.0,0.447,0.4,0.733,0.267,3.7,15.3,10.1,42.4,1.5,0.0,15.2,26.5,105.0,106.0,-0.2,c9fdc323-87bb-460c-adc2-68c44cf7d2db,CHO,ATL,Home,116,110,1
Mark Williams,1,29.916666666666668,5,6,0.833,0,0,0.0,3,3,1.0,4,11,15,1,3,1,2,2,13,19.0,0.888,0.833,0.0,0.5,15.3,34.6,25.9,4.6,4.7,2.5,21.5,12.8,145.0,92.0,7.8,c9fdc323-87bb-460c-adc2-68c44cf7d2db,CHO,ATL,Home,116,110,1
Brandon Miller,1,24.616666666666667,5,9,0.556,3,7,0.429,0,0,0.0,0,3,3,2,0,0,1,3,13,-13.0,0.722,0.722,0.778,0.0,0.0,11.5,6.3,11.7,0.0,0.0,10.0,16.7,126.0,110.0,1.6,c9fdc323-87bb-460c-adc2-68c44cf7d2db,CHO,ATL,Home,116,110,1
JT Thor,1,20.116666666666667,2,7,0.286,1,3,0.333,0,0,0.0,1,1,2,1,0,0,0,0,5,2.0,0.357,0.357,0.429,0.0,5.7,4.7,5.1,6.2,0.0,0.0,0.0,14.3,93.0,112.0,-6.1,c9fdc323-87bb-460c-adc2-68c44cf7d2db,CHO,ATL,Home,116,110,1
Nick Richards,1,18.05,2,2,1.0,0,0,0.0,3,4,0.75,1,3,4,1,0,1,2,3,7,-14.0,0.931,1.0,0.0,2.0,6.3,15.6,11.4,7.1,0.0,4.2,34.7,13.2,121.0,106.0,-1.1,c9fdc323-87bb-460c-adc2-68c44cf7d2db,CHO,ATL,Home,116,110,1
Théo Maledon,1,16.316666666666666,2,5,0.4,0,2,0.0,0,0,0.0,0,3,3,4,0,0,1,3,4,-5.0,0.4,0.4,0.4,0.0,0.0,17.3,9.5,31.7,0.0,0.0,16.7,15.2,98.0,108.0,-6.5,c9fdc323-87bb-460c-adc2-68c44cf7d2db,CHO,ATL,Home,116,110,1
Nick Smith Jr.,1,0.7166666666666667,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,-6.6,c9fdc323-87bb-460c-adc2-68c44cf7d2db,CHO,ATL,Home,116,110,1
Amari Bailey,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c9fdc323-87bb-460c-adc2-68c44cf7d2db,CHO,ATL,Home,116,110,1
Leaky Black,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c9fdc323-87bb-460c-adc2-68c44cf7d2db,CHO,ATL,Home,116,110,1
Terry Rozier,1,34.7,8,20,0.4,0,7,0.0,4,4,1.0,1,2,3,1,1,0,2,0,20,-11.0,0.46,0.4,0.35,0.2,2.7,6.6,4.4,6.3,1.3,0.0,8.4,27.2,90.0,111.0,-5.4,0d0f74b5-42d9-46e6-86fe-6e4a4f50f846,CHO,DET,Home,99,111,0
Gordon Hayward,1,33.86666666666667,6,15,0.4,2,4,0.5,5,6,0.833,1,8,9,4,3,0,3,2,19,-10.0,0.539,0.467,0.267,0.4,2.7,27.0,13.6,23.1,4.0,0.0,14.5,24.2,101.0,99.0,3.0,0d0f74b5-42d9-46e6-86fe-6e4a4f50f846,CHO,DET,Home,99,111,0
LaMelo Ball,1,33.06666666666667,4,17,0.235,2,7,0.286,10,12,0.833,3,6,9,9,2,1,4,1,20,-7.0,0.449,0.294,0.412,0.706,8.4,20.7,13.9,48.0,2.7,2.5,15.2,31.5,97.0,102.0,5.0,0d0f74b5-42d9-46e6-86fe-6e4a4f50f846,CHO,DET,Home,99,111,0
P.J. Washington,1,28.983333333333334,6,13,0.462,1,5,0.2,0,1,0.0,0,3,3,3,2,1,2,6,13,-12.0,0.484,0.5,0.385,0.077,0.0,11.8,5.3,21.5,3.1,2.9,13.0,21.1,88.0,103.0,-2.5,0d0f74b5-42d9-46e6-86fe-6e4a4f50f846,CHO,DET,Home,99,111,0
Mark Williams,1,20.7,1,4,0.25,0,0,0.0,0,0,0.0,2,1,3,1,0,1,1,5,2,-17.0,0.25,0.25,0.0,0.0,8.9,5.5,7.4,7.6,0.0,4.0,20.0,9.6,68.0,111.0,-13.6,0d0f74b5-42d9-46e6-86fe-6e4a4f50f846,CHO,DET,Home,99,111,0
