player,played,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,game_id,team,opponent,location,team_score,opponent_score,win
Max Strus,1,38.96666666666667,9,17,0.529,7,13,0.538,2,2,1.0,0,12,12,2,1,1,0,4,27,13.0,0.755,0.735,0.765,0.118,0.0,35.2,16.8,7.5,1.3,2.2,0.0,20.3,150.0,111.0,9.2,4e15874a-c416-4065-8dfc-23b46fc07c07,CLE,BRK,Away,114,113,1
Donovan Mitchell,1,35.733333333333334,11,21,0.524,4,10,0.4,1,1,1.0,2,3,5,6,4,1,0,1,27,7.0,0.63,0.619,0.476,0.048,5.8,9.6,7.6,27.6,5.5,2.4,0.0,26.6,139.0,109.0,15.7,4e15874a-c416-4065-8dfc-23b46fc07c07,CLE,BRK,Away,114,113,1
Evan Mobley,1,33.61666666666667,5,11,0.455,0,0,0.0,0,0,0.0,1,5,6,1,0,2,0,3,10,3.0,0.455,0.455,0.0,0.0,3.1,17.0,9.7,3.9,0.0,5.0,0.0,14.5,101.0,118.0,-7.3,4e15874a-c416-4065-8dfc-23b46fc07c07,CLE,BRK,Away,114,113,1
Darius Garland,1,32.333333333333336,6,12,0.5,1,5,0.2,2,2,1.0,1,1,2,5,2,0,6,2,15,6.0,0.582,0.542,0.417,0.167,3.2,3.5,3.4,21.2,3.0,0.0,31.8,25.9,91.0,118.0,-7.2,4e15874a-c416-4065-8dfc-23b46fc07c07,CLE,BRK,Away,114,113,1
Isaac Okoro,1,31.633333333333333,6,10,0.6,2,4,0.5,4,5,0.8,3,3,6,4,2,1,2,5,18,5.0,0.738,0.7,0.4,0.5,9.9,10.8,10.3,17.4,3.1,2.7,14.1,19.9,141.0,114.0,6.8,4e15874a-c416-4065-8dfc-23b46fc07c07,CLE,BRK,Away,114,113,1
Caris LeVert,1,31.366666666666667,4,17,0.235,3,8,0.375,0,0,0.0,0,3,3,5,1,1,0,1,11,-6.0,0.324,0.324,0.471,0.0,0.0,10.9,5.2,20.2,1.6,2.7,0.0,24.0,85.0,117.0,-6.2,4e15874a-c416-4065-8dfc-23b46fc07c07,CLE,BRK,Away,114,113,1
Georges Niang,1,19.766666666666666,0,3,0.0,0,3,0.0,0,0,0.0,2,2,4,0,0,0,0,3,0,-9.0,0.0,0.0,1.0,0.0,10.6,11.6,11.0,0.0,0.0,0.0,0.0,6.7,53.0,122.0,-15.7,4e15874a-c416-4065-8dfc-23b46fc07c07,CLE,BRK,Away,114,113,1
Damian Jones,1,11.083333333333334,2,2,1.0,0,0,0.0,0,0,0.0,0,0,0,2,0,0,2,3,4,-7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,24.5,0.0,0.0,50.0,16.0,103.0,125.0,-6.4,4e15874a-c416-4065-8dfc-23b46fc07c07,CLE,BRK,Away,114,113,1
Ty Jerome,1,5.5,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2,-7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,200.0,125.0,-5.2,4e15874a-c416-4065-8dfc-23b46fc07c07,CLE,BRK,Away,114,113,1
Emoni Bates,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4e15874a-c416-4065-8dfc-23b46fc07c07,CLE,BRK,Away,114,113,1
Sam Merrill,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4e15874a-c416-4065-8dfc-23b46fc07c07,CLE,BRK,Away,114,113,1
Isaiah Mobley,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4e15874a-c416-4065-8dfc-23b46fc07c07,CLE,BRK,Away,114,113,1
Tristan Thompson,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4e15874a-c416-4065-8dfc-23b46fc07c07,CLE,BRK,Away,114,113,1
Donovan Mitchell,1,42.15,15,27,0.556,4,11,0.364,9,11,0.818,1,7,8,5,3,2,5,1,43,7.0,0.675,0.63,0.407,0.407,2.3,17.3,9.6,27.2,3.2,3.7,13.6,36.4,120.0,98.0,15.5,bde10b23-9736-43ca-bf39-40732ccbc83f,CLE,OKC,Home,105,108,0
Max Strus,1,37.71666666666667,3,14,0.214,2,11,0.182,0,0,0.0,0,5,5,4,2,1,2,1,8,8.0,0.286,0.286,0.786,0.0,0.0,13.8,6.7,14.9,2.4,2.1,12.5,17.7,63.0,102.0,-5.4,bde10b23-9736-43ca-bf39-40732ccbc83f,CLE,OKC,Home,105,108,0
Evan Mobley,1,33.88333333333333,5,12,0.417,0,0,0.0,4,6,0.667,2,13,15,3,0,2,2,4,14,-9.0,0.478,0.417,0.0,0.5,5.8,40.0,22.4,13.7,0.0,4.6,12.0,20.5,98.0,101.0,-1.4,bde10b23-9736-43ca-bf39-40732ccbc83f,CLE,OKC,Home,105,108,0
Isaac Okoro,1,28.066666666666666,3,8,0.375,1,3,0.333,3,4,0.75,4,3,7,2,2,1,1,3,10,-7.0,0.512,0.438,0.375,0.5,14.0,11.2,12.6,10.4,3.2,2.8,9.3,16.0,116.0,100.0,3.3,bde10b23-9736-43ca-bf39-40732ccbc83f,CLE,OKC,Home,105,108,0
Dean Wade,1,26.583333333333332,3,6,0.5,2,5,0.4,0,0,0.0,0,5,5,0,2,0,1,3,8,-9.0,0.667,0.667,0.833,0.0,0.0,19.6,9.5,0.0,3.4,0.0,14.3,11.0,105.0,101.0,-0.1,bde10b23-9736-43ca-bf39-40732ccbc83f,CLE,OKC,Home,105,108,0
Caris LeVert,1,31.483333333333334,7,16,0.438,3,9,0.333,0,0,0.0,0,2,2,2,1,1,1,1,17,-3.0,0.531,0.531,0.563,0.0,0.0,6.6,3.2,11.2,1.4,2.5,5.9,22.5,101.0,105.0,1.4,bde10b23-9736-43ca-bf39-40732ccbc83f,CLE,OKC,Home,105,108,0
Georges Niang,1,20.916666666666668,1,6,0.167,0,5,0.0,0,0,0.0,0,2,2,1,0,0,0,2,2,0.0,0.167,0.167,0.833,0.0,0.0,10.0,4.8,6.4,0.0,0.0,0.0,12.0,45.0,110.0,-12.8,bde10b23-9736-43ca-bf39-40732ccbc83f,CLE,OKC,Home,105,108,0
Damian Jones,1,9.883333333333333,0,0,0.0,0,0,0.0,1,2,0.5,0,3,3,0,0,1,0,0,1,5.0,0.568,0.0,0.0,0.0,0.0,31.7,15.3,0.0,0.0,8.0,0.0,3.7,123.0,100.0,-1.2,bde10b23-9736-43ca-bf39-40732ccbc83f,CLE,OKC,Home,105,108,0
Ty Jerome,1,9.316666666666666,1,3,0.333,0,1,0.0,0,0,0.0,1,0,1,3,0,0,1,1,2,-7.0,0.333,0.333,0.333,0.0,10.5,0.0,5.4,47.1,0.0,0.0,25.0,17.9,91.0,112.0,-4.7,bde10b23-9736-43ca-bf39-40732ccbc83f,CLE,OKC,Home,105,108,0
Emoni Bates,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bde10b23-9736-43ca-bf39-40732ccbc83f,CLE,OKC,Home,105,108,0
Sam Merrill,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bde10b23-9736-43ca-bf39-40732ccbc83f,CLE,OKC,Home,105,108,0
Isaiah Mobley,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bde10b23-9736-43ca-bf39-40732ccbc83f,CLE,OKC,Home,105,108,0
Craig Porter Jr.,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bde10b23-9736-43ca-bf39-40732ccbc83f,CLE,OKC,Home,105,108,0
Tristan Thompson,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bde10b23-9736-43ca-bf39-40732ccbc83f,CLE,OKC,Home,105,108,0
Caris LeVert,1,44.35,12,28,0.429,4,10,0.4,3,9,0.333,2,3,5,8,1,0,2,2,31,-2.0,0.485,0.5,0.357,0.321,3.9,7.4,5.5,28.8,1.1,0.0,5.9,31.8,108.0,131.0,-0.4,d09713a0-daa6-43f1-b49e-5fb5f33a6d93,CLE,IND,Home,113,125,0
Max Strus,1,41.766666666666666,7,20,0.35,4,9,0.444,3,3,1.0,1,10,11,6,0,0,1,2,21,-5.0,0.492,0.45,0.45,0.15,2.1,26.1,12.8,19.7,0.0,0.0,4.5,22.2,116.0,129.0,-2.0,d09713a0-daa6-43f1-b49e-5fb5f33a6d93,CLE,IND,Home,113,125,0
