player,played,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,game_id,team,opponent,location,team_score,opponent_score,win
Kyrie Irving,1,36.25,10,24,0.417,1,8,0.125,1,1,1.0,0,2,2,6,1,0,2,3,22,1.0,0.45,0.438,0.333,0.042,0.0,6.0,2.8,23.5,1.2,0.0,7.6,28.9,100.0,114.0,-5.1,68f10ebb-eaa0-485a-a2a8-a3a26ac8566b,DAL,SAS,Away,126,119,1
Grant Williams,1,35.166666666666664,6,11,0.545,4,8,0.5,1,1,1.0,1,5,6,0,0,1,3,4,17,2.0,0.743,0.727,0.727,0.091,2.8,15.5,8.8,0.0,0.0,2.5,20.8,16.3,114.0,113.0,-1.6,68f10ebb-eaa0-485a-a2a8-a3a26ac8566b,DAL,SAS,Away,126,119,1
Luka Dončić,1,34.233333333333334,13,25,0.52,3,11,0.273,4,7,0.571,1,12,13,10,2,0,4,1,33,4.0,0.588,0.58,0.44,0.28,2.9,38.2,19.6,48.7,2.6,0.0,12.5,37.1,119.0,105.0,12.2,68f10ebb-eaa0-485a-a2a8-a3a26ac8566b,DAL,SAS,Away,126,119,1
Maxi Kleber,1,23.05,2,7,0.286,2,5,0.4,0,0,0.0,2,5,7,2,0,1,0,3,6,-12.0,0.429,0.429,0.714,0.0,8.5,23.7,15.7,9.7,0.0,3.9,0.0,12.0,119.0,111.0,-1.0,68f10ebb-eaa0-485a-a2a8-a3a26ac8566b,DAL,SAS,Away,126,119,1
Derrick Jones Jr.,1,11.5,0,3,0.0,0,2,0.0,1,2,0.5,0,1,1,0,0,0,1,0,1,-1.0,0.129,0.0,0.667,0.667,0.0,9.5,4.5,0.0,0.0,0.0,20.5,16.8,24.0,116.0,-19.8,68f10ebb-eaa0-485a-a2a8-a3a26ac8566b,DAL,SAS,Away,126,119,1
Dereck Lively II,1,30.666666666666668,7,8,0.875,0,0,0.0,2,3,0.667,5,5,10,1,1,1,1,4,16,20.0,0.858,0.875,0.0,0.375,16.0,17.8,16.8,4.3,1.5,2.9,9.7,13.3,165.0,109.0,4.3,68f10ebb-eaa0-485a-a2a8-a3a26ac8566b,DAL,SAS,Away,126,119,1
Josh Green,1,29.866666666666667,3,5,0.6,2,2,1.0,3,4,0.75,2,0,2,1,1,0,0,4,11,4.0,0.814,0.8,0.4,0.8,6.6,0.0,3.5,3.8,1.5,0.0,0.0,9.0,177.0,114.0,1.5,68f10ebb-eaa0-485a-a2a8-a3a26ac8566b,DAL,SAS,Away,126,119,1
Tim Hardaway Jr.,1,27.916666666666668,5,14,0.357,3,10,0.3,4,4,1.0,2,4,6,4,1,0,1,0,17,9.0,0.539,0.464,0.714,0.286,7.0,15.6,11.1,17.9,1.6,0.0,6.0,23.8,124.0,112.0,4.3,68f10ebb-eaa0-485a-a2a8-a3a26ac8566b,DAL,SAS,Away,126,119,1
Dante Exum,1,7.583333333333333,1,2,0.5,0,1,0.0,1,1,1.0,0,1,1,0,0,0,0,1,3,4.0,0.615,0.5,0.5,0.5,0.0,14.4,6.8,0.0,0.0,0.0,0.0,12.8,133.0,115.0,-6.6,68f10ebb-eaa0-485a-a2a8-a3a26ac8566b,DAL,SAS,Away,126,119,1
Seth Curry,1,3.7666666666666666,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,-6.8,68f10ebb-eaa0-485a-a2a8-a3a26ac8566b,DAL,SAS,Away,126,119,1
Jaden Hardy,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68f10ebb-eaa0-485a-a2a8-a3a26ac8566b,DAL,SAS,Away,126,119,1
Richaun Holmes,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68f10ebb-eaa0-485a-a2a8-a3a26ac8566b,DAL,SAS,Away,126,119,1
Markieff Morris,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68f10ebb-eaa0-485a-a2a8-a3a26ac8566b,DAL,SAS,Away,126,119,1
Dwight Powell,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68f10ebb-eaa0-485a-a2a8-a3a26ac8566b,DAL,SAS,Away,126,119,1
Olivier-Maxence Prosper,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68f10ebb-eaa0-485a-a2a8-a3a26ac8566b,DAL,SAS,Away,126,119,1
Luka Dončić,1,36.03333333333333,16,25,0.64,9,14,0.643,8,10,0.8,1,9,10,7,0,0,0,1,49,9.0,0.833,0.82,0.56,0.4,3.0,28.5,15.3,41.1,0.0,0.0,0.0,34.9,173.0,120.0,29.1,653739b2-d05a-4efe-889c-5f98e6da05cf,DAL,BRK,Home,125,120,1
Kyrie Irving,1,33.95,6,17,0.353,1,4,0.25,4,4,1.0,1,6,7,6,0,0,0,2,17,-7.0,0.453,0.382,0.235,0.235,3.1,20.2,11.4,23.9,0.0,0.0,0.0,23.6,113.0,122.0,-2.8,653739b2-d05a-4efe-889c-5f98e6da05cf,DAL,BRK,Home,125,120,1
Grant Williams,1,29.15,2,6,0.333,1,4,0.25,0,0,0.0,0,6,6,0,0,0,2,5,5,-4.0,0.417,0.417,0.667,0.0,0.0,23.5,11.4,0.0,0.0,0.0,25.0,11.7,61.0,121.0,-12.5,653739b2-d05a-4efe-889c-5f98e6da05cf,DAL,BRK,Home,125,120,1
