player,played,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,game_id,team,opponent,location,team_score,opponent_score,win
Nikola Jokić,1,36.266666666666666,12,22,0.545,3,5,0.6,2,4,0.5,3,10,13,11,1,1,2,2,29,15.0,0.61,0.614,0.227,0.182,9.9,28.8,20.0,45.3,1.4,2.2,7.8,31.8,133.0,109.0,15.0,6f29b116-9da4-4c9c-98a8-f5c909d94293,DEN,LAL,Home,119,107,1
Kentavious Caldwell-Pope,1,36.25,8,12,0.667,2,3,0.667,2,2,1.0,1,1,2,1,3,1,3,5,20,10.0,0.776,0.75,0.25,0.167,3.3,2.9,3.1,3.5,4.2,2.2,18.9,19.6,122.0,111.0,2.0,6f29b116-9da4-4c9c-98a8-f5c909d94293,DEN,LAL,Home,119,107,1
Aaron Gordon,1,34.983333333333334,7,11,0.636,1,2,0.5,0,0,0.0,2,5,7,5,2,1,0,0,15,6.0,0.682,0.682,0.182,0.0,6.9,14.9,11.2,17.9,2.9,2.2,0.0,14.1,155.0,110.0,8.7,6f29b116-9da4-4c9c-98a8-f5c909d94293,DEN,LAL,Home,119,107,1
Jamal Murray,1,34.25,8,13,0.615,3,5,0.6,2,2,1.0,0,2,2,6,0,1,1,3,21,3.0,0.756,0.731,0.385,0.154,0.0,6.1,3.3,22.9,0.0,2.3,6.7,19.4,150.0,119.0,5.1,6f29b116-9da4-4c9c-98a8-f5c909d94293,DEN,LAL,Home,119,107,1
Michael Porter Jr.,1,30.133333333333333,5,13,0.385,2,9,0.222,0,0,0.0,2,10,12,2,2,0,0,1,12,12.0,0.462,0.462,0.692,0.0,8.0,34.6,22.2,8.0,3.3,0.0,0.0,19.3,111.0,104.0,-0.1,6f29b116-9da4-4c9c-98a8-f5c909d94293,DEN,LAL,Home,119,107,1
Reggie Jackson,1,24.066666666666663,3,8,0.375,2,5,0.4,0,0,0.0,0,3,3,1,1,0,2,0,8,11.0,0.5,0.5,0.625,0.0,0.0,13.0,7.0,4.7,2.1,0.0,20.0,18.6,82.0,114.0,-7.8,6f29b116-9da4-4c9c-98a8-f5c909d94293,DEN,LAL,Home,119,107,1
Christian Braun,1,19.33333333333333,2,5,0.4,0,1,0.0,1,2,0.5,1,2,3,2,0,1,1,1,5,5.0,0.425,0.4,0.2,0.4,6.2,10.8,8.7,11.5,0.0,4.1,14.5,15.9,97.0,117.0,-6.1,6f29b116-9da4-4c9c-98a8-f5c909d94293,DEN,LAL,Home,119,107,1
Zeke Nnaji,1,11.733333333333333,1,3,0.333,0,1,0.0,2,2,1.0,0,0,0,1,0,0,1,2,4,-3.0,0.515,0.333,0.333,0.667,0.0,0.0,0.0,9.3,0.0,0.0,20.5,18.6,96.0,123.0,-11.8,6f29b116-9da4-4c9c-98a8-f5c909d94293,DEN,LAL,Home,119,107,1
Peyton Watson,1,10.833333333333334,1,3,0.333,1,3,0.333,0,0,0.0,0,0,0,0,0,1,1,1,3,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,25.0,16.5,71.0,118.0,-9.3,6f29b116-9da4-4c9c-98a8-f5c909d94293,DEN,LAL,Home,119,107,1
Jalen Pickett,1,0.7166666666666667,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.4,200.0,123.0,49.2,6f29b116-9da4-4c9c-98a8-f5c909d94293,DEN,LAL,Home,119,107,1
