player,played,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,game_id,team,opponent,location,team_score,opponent_score,win
Cade Cunningham,1,35.766666666666666,13,27,0.481,4,9,0.444,0,0,0.0,0,3,3,9,1,1,3,5,30,-2.0,0.556,0.556,0.333,0.0,0.0,7.3,3.9,51.3,1.4,1.9,10.0,35.1,116.0,113.0,8.2,9e2fa9f0-1114-4a88-acd8-b5ac9538d191,DET,MIA,Away,102,103,0
Isaiah Stewart,1,34.61666666666667,6,11,0.545,2,3,0.667,0,0,0.0,6,8,14,2,0,0,1,3,14,7.0,0.636,0.636,0.273,0.0,17.0,20.2,18.7,8.5,0.0,0.0,8.3,14.5,136.0,111.0,1.5,9e2fa9f0-1114-4a88-acd8-b5ac9538d191,DET,MIA,Away,102,103,0
Jalen Duren,1,31.816666666666663,8,11,0.727,0,0,0.0,1,3,0.333,6,8,14,4,0,4,4,4,17,-4.0,0.69,0.727,0.0,0.273,18.5,21.9,20.3,20.9,0.0,8.6,24.5,21.5,115.0,104.0,5.6,9e2fa9f0-1114-4a88-acd8-b5ac9538d191,DET,MIA,Away,102,103,0
Killian Hayes,1,30.5,4,12,0.333,0,6,0.0,2,3,0.667,0,1,1,3,2,1,1,2,10,1.0,0.375,0.333,0.5,0.25,0.0,2.9,1.5,13.6,3.4,2.2,7.0,19.7,90.0,111.0,-5.3,9e2fa9f0-1114-4a88-acd8-b5ac9538d191,DET,MIA,Away,102,103,0
Ausar Thompson,1,26.883333333333333,1,7,0.143,1,2,0.5,1,2,0.5,3,4,7,3,0,5,2,2,4,-14.0,0.254,0.214,0.286,0.286,10.9,13.0,12.0,13.7,0.0,12.8,20.2,15.4,75.0,106.0,-2.0,9e2fa9f0-1114-4a88-acd8-b5ac9538d191,DET,MIA,Away,102,103,0
Alec Burks,1,24.95,2,8,0.25,2,5,0.4,1,2,0.5,0,5,5,0,0,1,0,1,7,9.0,0.394,0.375,0.625,0.25,0.0,17.5,9.2,0.0,0.0,2.7,0.0,14.9,92.0,111.0,-6.8,9e2fa9f0-1114-4a88-acd8-b5ac9538d191,DET,MIA,Away,102,103,0
Jaden Ivey,1,17.133333333333333,1,7,0.143,0,2,0.0,2,3,0.667,0,2,2,3,0,0,3,3,4,-2.0,0.24,0.143,0.286,0.429,0.0,10.2,5.4,22.0,0.0,0.0,26.5,27.7,55.0,116.0,-22.6,9e2fa9f0-1114-4a88-acd8-b5ac9538d191,DET,MIA,Away,102,103,0
Marvin Bagley III,1,16.183333333333334,3,3,1.0,0,0,0.0,2,2,1.0,2,6,8,3,0,1,1,1,8,3.0,1.031,1.0,0.0,0.667,12.1,32.4,22.8,27.7,0.0,4.2,20.5,12.6,172.0,102.0,14.7,9e2fa9f0-1114-4a88-acd8-b5ac9538d191,DET,MIA,Away,102,103,0
Joe Harris,1,11.766666666666667,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,-5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,0.0,121.0,-18.7,9e2fa9f0-1114-4a88-acd8-b5ac9538d191,DET,MIA,Away,102,103,0
Marcus Sasser,1,10.383333333333333,3,4,0.75,2,3,0.667,0,0,0.0,0,2,2,1,0,0,1,0,8,2.0,1.0,1.0,0.75,0.0,0.0,16.8,8.9,17.0,0.0,0.0,20.0,20.2,138.0,113.0,12.2,9e2fa9f0-1114-4a88-acd8-b5ac9538d191,DET,MIA,Away,102,103,0
