player,played,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,game_id,team,opponent,location,team_score,opponent_score,win
Klay Thompson,1,36.266666666666666,6,18,0.333,3,11,0.273,0,0,0.0,1,6,7,3,0,1,3,3,15,9.0,0.417,0.417,0.611,0.0,2.2,16.5,8.5,14.2,0.0,2.1,14.3,22.4,83.0,110.0,-5.0,0a5554c7-1b2e-4f8a-9f4d-b8feecb07a7e,GSW,PHO,Home,104,108,0
Chris Paul,1,34.21666666666667,4,15,0.267,0,6,0.0,6,7,0.857,1,5,6,9,2,0,1,0,14,5.0,0.387,0.267,0.4,0.467,2.3,14.6,7.7,41.5,2.8,0.0,5.2,21.5,103.0,106.0,2.5,0a5554c7-1b2e-4f8a-9f4d-b8feecb07a7e,GSW,PHO,Home,104,108,0
Stephen Curry,1,30.75,8,20,0.4,4,14,0.286,7,7,1.0,1,4,5,1,1,0,2,5,27,-9.0,0.585,0.5,0.7,0.35,2.6,13.0,7.2,6.6,1.5,0.0,8.0,31.5,117.0,109.0,6.3,0a5554c7-1b2e-4f8a-9f4d-b8feecb07a7e,GSW,PHO,Home,104,108,0
Kevon Looney,1,27.966666666666665,3,6,0.5,0,0,0.0,1,1,1.0,5,6,11,1,0,0,2,2,7,-11.0,0.543,0.5,0.0,0.167,14.1,21.5,17.3,5.6,0.0,0.0,23.7,11.7,106.0,109.0,-5.1,0a5554c7-1b2e-4f8a-9f4d-b8feecb07a7e,GSW,PHO,Home,104,108,0
Andrew Wiggins,1,27.283333333333335,4,12,0.333,0,3,0.0,2,3,0.667,1,0,1,0,0,1,0,3,10,-22.0,0.375,0.333,0.25,0.25,2.9,0.0,1.6,0.0,0.0,2.8,0.0,18.8,88.0,117.0,-8.4,0a5554c7-1b2e-4f8a-9f4d-b8feecb07a7e,GSW,PHO,Home,104,108,0
Gary Payton II,1,21.666666666666668,0,5,0.0,0,2,0.0,1,2,0.5,0,2,2,2,3,0,0,1,1,15.0,0.085,0.0,0.4,0.4,0.0,9.2,4.1,12.3,6.5,0.0,0.0,10.5,40.0,100.0,-4.2,0a5554c7-1b2e-4f8a-9f4d-b8feecb07a7e,GSW,PHO,Home,104,108,0
Jonathan Kuminga,1,20.133333333333333,4,8,0.5,0,0,0.0,4,6,0.667,3,3,6,1,2,1,2,5,12,4.0,0.564,0.5,0.0,0.75,11.7,14.9,13.1,9.0,4.7,3.8,15.8,24.2,108.0,99.0,3.9,0a5554c7-1b2e-4f8a-9f4d-b8feecb07a7e,GSW,PHO,Home,104,108,0
Dario Šarić,1,20.033333333333335,3,11,0.273,1,3,0.333,0,0,0.0,4,3,7,1,0,2,0,3,7,7.0,0.318,0.318,0.273,0.0,15.7,15.0,15.4,8.3,0.0,7.7,0.0,21.2,91.0,108.0,-2.2,0a5554c7-1b2e-4f8a-9f4d-b8feecb07a7e,GSW,PHO,Home,104,108,0
Moses Moody,1,17.983333333333334,4,6,0.667,2,4,0.5,1,2,0.5,1,2,3,0,3,1,1,1,11,-6.0,0.799,0.833,0.667,0.333,4.4,11.1,7.3,0.0,7.9,4.3,12.7,16.9,133.0,94.0,16.7,0a5554c7-1b2e-4f8a-9f4d-b8feecb07a7e,GSW,PHO,Home,104,108,0
Cory Joseph,1,3.7,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,1,0,0,0,0,0,-12.0,0.0,0.0,0.0,0.0,21.3,0.0,11.9,36.0,0.0,0.0,0.0,0.0,225.0,118.0,6.5,0a5554c7-1b2e-4f8a-9f4d-b8feecb07a7e,GSW,PHO,Home,104,108,0
Trayce Jackson-Davis,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0a5554c7-1b2e-4f8a-9f4d-b8feecb07a7e,GSW,PHO,Home,104,108,0
Brandin Podziemski,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0a5554c7-1b2e-4f8a-9f4d-b8feecb07a7e,GSW,PHO,Home,104,108,0
Stephen Curry,1,34.833333333333336,14,19,0.737,7,10,0.7,6,6,1.0,1,3,4,4,2,0,4,0,41,10.0,0.947,0.921,0.526,0.316,3.6,9.8,6.9,19.2,2.6,0.0,15.6,31.5,150.0,112.0,18.9,ed0a3676-3eba-40c0-b525-ffd8141718f9,GSW,SAC,Away,122,114,1
Chris Paul,1,33.166666666666664,5,12,0.417,0,2,0.0,0,0,0.0,0,2,2,12,3,0,3,2,10,2.0,0.417,0.417,0.167,0.0,0.0,6.9,3.6,42.6,4.1,0.0,20.0,19.4,104.0,109.0,-1.3,ed0a3676-3eba-40c0-b525-ffd8141718f9,GSW,SAC,Away,122,114,1
