player,played,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,game_id,team,opponent,location,team_score,opponent_score,win
Fred VanVleet,1,33.53333333333333,5,13,0.385,4,6,0.667,0,0,0.0,0,1,1,5,1,0,3,0,14,-3.0,0.538,0.538,0.462,0.0,0.0,3.5,1.6,28.8,1.5,0.0,18.8,22.0,94.0,128.0,-0.3,18b3adbf-f677-4e93-aed2-5cfed2dec69e,HOU,ORL,Away,86,116,0
Jalen Green,1,29.816666666666666,2,10,0.2,0,1,0.0,6,7,0.857,0,1,1,0,1,1,4,2,10,-12.0,0.382,0.2,0.1,0.7,0.0,3.9,1.8,0.0,1.7,3.0,23.4,26.4,61.0,126.0,-13.4,18b3adbf-f677-4e93-aed2-5cfed2dec69e,HOU,ORL,Away,86,116,0
Alperen ÅengÃ¼n,1,28.466666666666665,6,11,0.545,0,1,0.0,2,4,0.5,2,6,8,6,0,0,1,4,14,-2.0,0.549,0.545,0.091,0.364,7.2,24.7,15.3,46.2,0.0,0.0,7.3,22.3,121.0,122.0,5.0,18b3adbf-f677-4e93-aed2-5cfed2dec69e,HOU,ORL,Away,86,116,0
Jabari Smith Jr.,1,26.166666666666668,3,9,0.333,0,4,0.0,1,2,0.5,1,4,5,1,1,0,1,6,7,-8.0,0.354,0.333,0.444,0.222,3.9,17.9,10.4,6.9,2.0,0.0,9.2,19.2,73.0,121.0,-10.5,18b3adbf-f677-4e93-aed2-5cfed2dec69e,HOU,ORL,Away,86,116,0
Dillon Brooks,1,26.133333333333333,5,7,0.714,4,6,0.667,0,0,0.0,0,4,4,2,1,0,2,4,14,-15.0,1.0,1.0,0.857,0.0,0.0,17.9,8.3,16.1,2.0,0.0,22.2,15.9,136.0,121.0,8.5,18b3adbf-f677-4e93-aed2-5cfed2dec69e,HOU,ORL,Away,86,116,0
Amen Thompson,1,21.333333333333332,3,10,0.3,1,7,0.143,1,2,0.5,1,4,5,2,0,0,4,2,8,-34.0,0.368,0.35,0.7,0.2,4.8,22.0,12.8,17.8,0.0,0.0,26.9,32.2,62.0,124.0,-13.7,18b3adbf-f677-4e93-aed2-5cfed2dec69e,HOU,ORL,Away,86,116,0
Jae'Sean Tate,1,15.133333333333333,2,2,1.0,1,1,1.0,0,0,0.0,0,2,2,0,1,1,0,1,5,-11.0,1.25,1.25,0.5,0.0,0.0,15.5,7.2,0.0,3.4,6.0,0.0,6.1,250.0,116.0,10.6,18b3adbf-f677-4e93-aed2-5cfed2dec69e,HOU,ORL,Away,86,116,0
Jeff Green,1,13.866666666666667,2,4,0.5,0,1,0.0,0,1,0.0,3,0,3,1,0,0,1,2,4,-11.0,0.45,0.5,0.25,0.25,22.1,0.0,11.8,13.8,0.0,0.0,18.4,18.1,98.0,133.0,-6.2,18b3adbf-f677-4e93-aed2-5cfed2dec69e,HOU,ORL,Away,86,116,0
Reggie Bullock,1,11.233333333333333,1,1,1.0,1,1,1.0,0,0,0.0,0,1,1,0,1,1,0,1,3,-5.0,1.5,1.5,1.0,0.0,0.0,10.4,4.9,0.0,4.6,8.1,0.0,4.1,300.0,115.0,11.9,18b3adbf-f677-4e93-aed2-5cfed2dec69e,HOU,ORL,Away,86,116,0
Cam Whitmore,1,9.65,0,4,0.0,0,2,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,-12.0,0.0,0.0,0.5,0.0,0.0,12.1,5.7,0.0,0.0,0.0,20.0,23.9,0.0,128.0,-27.6,18b3adbf-f677-4e93-aed2-5cfed2dec69e,HOU,ORL,Away,86,116,0
