player,played,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,game_id,team,opponent,location,team_score,opponent_score,win
Bruce Brown,1,27.2,8,11,0.727,6,8,0.75,2,2,1.0,1,2,3,1,1,0,1,3,24,15.0,1.01,1.0,0.727,0.182,4.0,6.8,5.5,4.2,1.6,0.0,7.8,18.3,172.0,113.0,10.8,6ace0de5-e91b-42a3-9896-ce4b611343cb,IND,WAS,Home,143,120,1
Tyrese Haliburton,1,26.9,9,16,0.563,2,6,0.333,0,0,0.0,0,3,3,11,1,2,3,1,20,6.0,0.625,0.625,0.375,0.0,0.0,10.3,5.6,49.1,1.6,5.0,15.8,27.3,126.0,108.0,7.4,6ace0de5-e91b-42a3-9896-ce4b611343cb,IND,WAS,Home,143,120,1
Bennedict Mathurin,1,25.833333333333332,6,15,0.4,2,6,0.333,4,4,1.0,0,4,4,5,2,0,2,1,18,14.0,0.537,0.467,0.4,0.267,0.0,14.3,7.7,20.7,3.4,0.0,10.7,28.0,111.0,108.0,-0.2,6ace0de5-e91b-42a3-9896-ce4b611343cb,IND,WAS,Home,143,120,1
Myles Turner,1,23.333333333333332,5,8,0.625,0,2,0.0,1,2,0.5,0,8,8,1,0,3,2,4,11,14.0,0.619,0.625,0.25,0.25,0.0,31.6,17.1,4.5,0.0,8.6,18.4,18.0,99.0,103.0,-4.9,6ace0de5-e91b-42a3-9896-ce4b611343cb,IND,WAS,Home,143,120,1
Obi Toppin,1,19.233333333333334,4,9,0.444,2,5,0.4,1,1,1.0,1,3,4,1,1,0,0,0,11,7.0,0.583,0.556,0.556,0.111,5.7,14.4,10.4,5.4,2.3,0.0,0.0,19.0,127.0,110.0,0.4,6ace0de5-e91b-42a3-9896-ce4b611343cb,IND,WAS,Home,143,120,1
Buddy Hield,1,25.1,5,9,0.556,4,7,0.571,0,0,0.0,0,2,2,5,1,1,1,0,14,15.0,0.778,0.778,0.778,0.0,0.0,7.4,4.0,20.6,1.7,2.7,10.0,15.4,146.0,111.0,9.2,6ace0de5-e91b-42a3-9896-ce4b611343cb,IND,WAS,Home,143,120,1
Aaron Nesmith,1,23.083333333333332,2,5,0.4,1,3,0.333,2,2,1.0,1,4,5,1,0,1,1,3,7,13.0,0.595,0.5,0.6,0.4,4.7,16.0,10.8,4.0,0.0,2.9,14.5,11.5,117.0,112.0,-5.8,6ace0de5-e91b-42a3-9896-ce4b611343cb,IND,WAS,Home,143,120,1
Andrew Nembhard,1,21.6,6,9,0.667,0,1,0.0,0,0,0.0,1,3,4,10,0,0,2,4,12,12.0,0.667,0.667,0.111,0.0,5.1,12.8,9.3,52.1,0.0,0.0,18.2,19.7,141.0,115.0,2.0,6ace0de5-e91b-42a3-9896-ce4b611343cb,IND,WAS,Home,143,120,1
Jalen Smith,1,13.416666666666666,5,6,0.833,2,2,1.0,1,1,1.0,3,5,8,0,1,0,0,4,13,6.0,1.009,1.0,0.333,0.167,24.4,34.4,29.8,0.0,3.2,0.0,0.0,18.5,202.0,102.0,13.2,6ace0de5-e91b-42a3-9896-ce4b611343cb,IND,WAS,Home,143,120,1
Isaiah Jackson,1,11.25,2,4,0.5,0,0,0.0,0,0,0.0,1,3,4,0,0,0,0,2,4,3.0,0.5,0.5,0.0,0.0,9.7,24.6,17.8,0.0,0.0,0.0,0.0,13.7,115.0,112.0,-10.5,6ace0de5-e91b-42a3-9896-ce4b611343cb,IND,WAS,Home,143,120,1
T.J. McConnell,1,6.0,2,2,1.0,0,0,0.0,0,0,0.0,0,1,1,2,2,0,0,0,4,1.0,1.0,1.0,0.0,0.0,0.0,15.4,8.3,40.0,14.5,0.0,0.0,12.9,211.0,83.0,29.3,6ace0de5-e91b-42a3-9896-ce4b611343cb,IND,WAS,Home,143,120,1
Jordan Nwora,1,5.683333333333334,2,7,0.286,1,2,0.5,0,0,0.0,1,0,1,1,0,1,0,0,5,3.0,0.357,0.357,0.286,0.0,19.2,0.0,8.8,21.6,0.0,11.7,0.0,47.6,93.0,109.0,-6.8,6ace0de5-e91b-42a3-9896-ce4b611343cb,IND,WAS,Home,143,120,1
