player,played,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,game_id,team,opponent,location,team_score,opponent_score,win
Paul George,1,31.633333333333333,11,17,0.647,4,7,0.571,1,1,1.0,0,3,3,6,3,0,4,2,27,23.0,0.774,0.765,0.412,0.059,0.0,9.9,5.4,30.0,4.6,0.0,18.7,28.5,128.0,110.0,9.4,82242a9e-31c5-4eda-89cc-6d3559942051,LAC,POR,Home,123,111,1
Russell Westbrook,1,28.8,5,8,0.625,1,2,0.5,0,0,0.0,2,3,5,13,0,0,3,3,11,30.0,0.688,0.688,0.25,0.0,8.5,10.9,9.8,56.0,0.0,0.0,27.3,16.1,142.0,120.0,5.2,82242a9e-31c5-4eda-89cc-6d3559942051,LAC,POR,Home,123,111,1
Kawhi Leonard,1,28.716666666666665,9,17,0.529,5,5,1.0,0,0,0.0,1,4,5,6,1,1,4,2,23,25.0,0.676,0.676,0.294,0.0,4.3,14.5,9.8,31.4,1.7,2.7,19.0,30.8,119.0,113.0,6.0,82242a9e-31c5-4eda-89cc-6d3559942051,LAC,POR,Home,123,111,1
Ivica Zubac,1,25.6,8,10,0.8,0,0,0.0,4,5,0.8,5,7,12,0,0,4,2,3,20,25.0,0.82,0.8,0.0,0.5,24.0,28.5,26.5,0.0,0.0,12.3,14.1,23.3,146.0,106.0,4.8,82242a9e-31c5-4eda-89cc-6d3559942051,LAC,POR,Home,123,111,1
Robert Covington,1,23.166666666666668,2,5,0.4,1,4,0.25,0,0,0.0,1,3,4,2,3,1,0,2,5,26.0,0.5,0.5,0.8,0.0,5.3,13.5,9.8,9.7,6.3,3.4,0.0,9.1,136.0,103.0,4.0,82242a9e-31c5-4eda-89cc-6d3559942051,LAC,POR,Home,123,111,1
Norman Powell,1,22.9,2,6,0.333,2,5,0.4,2,2,1.0,0,3,3,1,0,0,2,0,8,-4.0,0.581,0.5,0.833,0.333,0.0,13.7,7.4,4.9,0.0,0.0,22.5,16.3,99.0,119.0,-9.1,82242a9e-31c5-4eda-89cc-6d3559942051,LAC,POR,Home,123,111,1
Bones Hyland,1,21.75,6,11,0.545,3,8,0.375,2,2,1.0,0,0,0,3,0,0,2,4,17,-4.0,0.715,0.682,0.727,0.182,0.0,0.0,0.0,19.6,0.0,0.0,14.4,26.9,129.0,124.0,-3.5,82242a9e-31c5-4eda-89cc-6d3559942051,LAC,POR,Home,123,111,1
Mason Plumlee,1,17.516666666666666,2,4,0.5,0,0,0.0,2,4,0.5,3,5,8,2,0,0,0,0,6,-6.0,0.521,0.5,0.0,1.0,21.1,29.8,25.8,13.2,0.0,0.0,0.0,13.8,144.0,113.0,-0.8,82242a9e-31c5-4eda-89cc-6d3559942051,LAC,POR,Home,123,111,1
KJ Martin,1,13.583333333333334,0,4,0.0,0,2,0.0,0,0,0.0,1,0,1,1,1,0,0,2,0,-17.0,0.0,0.0,0.5,0.0,9.1,0.0,4.2,7.5,3.6,0.0,0.0,12.4,45.0,116.0,-16.9,82242a9e-31c5-4eda-89cc-6d3559942051,LAC,POR,Home,123,111,1
Nicolas Batum,1,9.133333333333333,0,0,0.0,0,0,0.0,0,0,0.0,0,3,3,1,1,1,0,0,0,-2.0,0.0,0.0,0.0,0.0,0.0,34.3,18.5,11.2,5.3,8.6,0.0,0.0,234.0,95.0,9.2,82242a9e-31c5-4eda-89cc-6d3559942051,LAC,POR,Home,123,111,1
