player,played,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,game_id,team,opponent,location,team_score,opponent_score,win
D'Angelo Russell,1,36.18333333333333,4,12,0.333,2,5,0.4,1,2,0.5,0,4,4,7,1,0,3,3,11,1.0,0.427,0.417,0.417,0.167,0.0,13.3,6.2,26.0,1.4,0.0,18.9,19.2,91.0,125.0,-6.2,6f29b116-9da4-4c9c-98a8-f5c909d94293,LAL,DEN,Away,107,119,0
Anthony Davis,1,34.15,6,17,0.353,1,2,0.5,4,4,1.0,1,7,8,4,0,2,2,3,17,-17.0,0.453,0.382,0.118,0.235,3.1,24.6,13.1,17.3,0.0,4.9,9.6,26.6,100.0,122.0,-2.1,6f29b116-9da4-4c9c-98a8-f5c909d94293,LAL,DEN,Away,107,119,0
Austin Reaves,1,31.33333333333333,4,11,0.364,1,2,0.5,5,7,0.714,4,4,8,4,2,0,2,2,14,-14.0,0.497,0.409,0.182,0.636,13.3,15.3,14.3,17.6,3.2,0.0,12.4,22.4,113.0,121.0,1.5,6f29b116-9da4-4c9c-98a8-f5c909d94293,LAL,DEN,Away,107,119,0
Taurean Prince,1,29.883333333333333,6,8,0.75,4,6,0.667,2,2,1.0,1,2,3,1,0,1,1,0,18,-14.0,1.014,1.0,0.75,0.25,3.5,8.0,5.6,5.1,0.0,2.8,10.1,14.5,175.0,128.0,11.3,6f29b116-9da4-4c9c-98a8-f5c909d94293,LAL,DEN,Away,107,119,0
LeBron James,1,29.0,10,16,0.625,1,4,0.25,0,1,0.0,1,7,8,5,1,0,0,1,21,7.0,0.639,0.656,0.25,0.063,3.6,29.0,15.4,33.9,1.7,0.0,0.0,24.8,141.0,122.0,11.7,6f29b116-9da4-4c9c-98a8-f5c909d94293,LAL,DEN,Away,107,119,0
Gabe Vincent,1,22.3,3,8,0.375,0,4,0.0,0,0,0.0,1,0,1,2,1,0,2,3,6,-17.0,0.375,0.375,0.5,0.0,4.7,0.0,2.5,12.5,2.3,0.0,20.0,19.6,77.0,126.0,-11.0,6f29b116-9da4-4c9c-98a8-f5c909d94293,LAL,DEN,Away,107,119,0
Cam Reddish,1,17.633333333333333,2,4,0.5,1,2,0.5,2,2,1.0,2,2,4,0,0,1,0,2,7,7.0,0.717,0.625,0.5,0.5,11.8,13.6,12.7,0.0,0.0,4.8,0.0,12.1,163.0,125.0,3.8,6f29b116-9da4-4c9c-98a8-f5c909d94293,LAL,DEN,Away,107,119,0
Christian Wood,1,15.466666666666669,3,4,0.75,0,1,0.0,1,2,0.5,1,3,4,0,0,0,1,1,7,2.0,0.717,0.75,0.25,0.5,6.7,23.3,14.4,0.0,0.0,0.0,17.0,16.6,118.0,127.0,-3.2,6f29b116-9da4-4c9c-98a8-f5c909d94293,LAL,DEN,Away,107,119,0
Rui Hachimura,1,14.65,3,10,0.3,0,3,0.0,0,0,0.0,2,1,3,0,0,0,0,2,6,-8.0,0.3,0.3,0.3,0.0,14.2,8.2,11.4,0.0,0.0,0.0,0.0,29.8,79.0,130.0,-17.2,6f29b116-9da4-4c9c-98a8-f5c909d94293,LAL,DEN,Away,107,119,0
Jaxson Hayes,1,6.9,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-7.0,0.0,0.0,0.0,0.0,0.0,17.4,8.1,0.0,0.0,0.0,0.0,0.0,0.0,128.0,-9.9,6f29b116-9da4-4c9c-98a8-f5c909d94293,LAL,DEN,Away,107,119,0
