player,played,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,game_id,team,opponent,location,team_score,opponent_score,win
Desmond Bane,1,36.13333333333333,11,22,0.5,5,10,0.5,4,5,0.8,0,5,5,5,2,1,2,1,31,6.0,0.64,0.614,0.455,0.227,0.0,16.6,7.5,28.4,2.6,2.5,7.6,30.9,120.0,106.0,12.6,e76f1da9-93f4-4b52-8433-de77db1067a2,MEM,NOP,Home,104,111,0
Jaren Jackson Jr.,1,35.71666666666667,2,9,0.222,0,5,0.0,4,4,1.0,1,4,5,3,0,5,3,5,8,-1.0,0.372,0.222,0.556,0.444,2.7,13.4,7.6,11.4,0.0,12.7,21.8,16.4,74.0,107.0,-6.8,e76f1da9-93f4-4b52-8433-de77db1067a2,MEM,NOP,Home,104,111,0
Xavier Tillman Sr.,1,33.7,7,16,0.438,1,5,0.2,2,2,1.0,4,8,12,4,3,1,0,2,17,3.0,0.504,0.469,0.313,0.125,11.6,28.5,19.2,20.3,4.2,2.7,0.0,21.3,119.0,99.0,8.0,e76f1da9-93f4-4b52-8433-de77db1067a2,MEM,NOP,Home,104,111,0
Marcus Smart,1,32.11666666666667,6,11,0.545,2,6,0.333,3,6,0.5,0,0,0,3,2,0,5,3,17,3.0,0.623,0.636,0.545,0.545,0.0,0.0,0.0,15.4,2.9,0.0,26.8,24.7,90.0,111.0,-4.5,e76f1da9-93f4-4b52-8433-de77db1067a2,MEM,NOP,Home,104,111,0
Ziaire Williams,1,29.266666666666666,4,7,0.571,1,3,0.333,0,0,0.0,0,4,4,0,0,0,1,2,9,-8.0,0.643,0.643,0.429,0.0,0.0,16.4,7.4,0.0,0.0,0.0,12.5,11.6,103.0,114.0,-6.1,e76f1da9-93f4-4b52-8433-de77db1067a2,MEM,NOP,Home,104,111,0
David Roddy,1,27.883333333333333,4,7,0.571,1,3,0.333,0,0,0.0,1,4,5,2,0,0,1,2,9,-3.0,0.643,0.643,0.429,0.0,3.5,17.2,9.7,11.1,0.0,0.0,12.5,12.2,118.0,114.0,-2.2,e76f1da9-93f4-4b52-8433-de77db1067a2,MEM,NOP,Home,104,111,0
Derrick Rose,1,15.883333333333333,3,11,0.273,2,4,0.5,0,0,0.0,1,1,2,3,0,0,0,0,8,-10.0,0.364,0.364,0.364,0.0,6.2,7.6,6.8,31.3,0.0,0.0,0.0,29.5,90.0,116.0,-2.7,e76f1da9-93f4-4b52-8433-de77db1067a2,MEM,NOP,Home,104,111,0
Luke Kennard,1,14.666666666666666,0,5,0.0,0,5,0.0,3,3,1.0,1,1,2,2,0,0,1,0,3,-14.0,0.237,0.0,1.0,0.6,6.7,8.2,7.4,17.2,0.0,0.0,13.7,21.2,66.0,116.0,-13.3,e76f1da9-93f4-4b52-8433-de77db1067a2,MEM,NOP,Home,104,111,0
Jake LaRavia,1,14.633333333333333,1,3,0.333,0,2,0.0,0,0,0.0,0,2,2,1,1,0,0,4,2,-11.0,0.333,0.333,0.667,0.0,0.0,16.4,7.4,9.4,3.2,0.0,0.0,8.7,82.0,106.0,-8.4,e76f1da9-93f4-4b52-8433-de77db1067a2,MEM,NOP,Home,104,111,0
Jacob Gilyard,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,e76f1da9-93f4-4b52-8433-de77db1067a2,MEM,NOP,Home,104,111,0
GG Jackson II,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,e76f1da9-93f4-4b52-8433-de77db1067a2,MEM,NOP,Home,104,111,0
John Konchar,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,e76f1da9-93f4-4b52-8433-de77db1067a2,MEM,NOP,Home,104,111,0
Kenneth Lofton Jr.,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,e76f1da9-93f4-4b52-8433-de77db1067a2,MEM,NOP,Home,104,111,0
Ja Morant,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,e76f1da9-93f4-4b52-8433-de77db1067a2,MEM,NOP,Home,104,111,0
Vince Williams Jr.,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,e76f1da9-93f4-4b52-8433-de77db1067a2,MEM,NOP,Home,104,111,0
Xavier Tillman Sr.,1,34.05,5,9,0.556,1,3,0.333,2,4,0.5,2,6,8,2,3,2,5,5,13,-5.0,0.604,0.611,0.333,0.444,6.0,20.6,12.8,9.4,4.1,5.5,31.7,19.2,88.0,99.0,-1.0,06acef51-0e73-490f-9d50-375aedd6eaec,MEM,DEN,Home,104,108,0
Desmond Bane,1,31.783333333333335,4,17,0.235,1,10,0.1,6,6,1.0,1,2,3,3,2,0,2,3,15,-8.0,0.382,0.265,0.588,0.353,3.2,7.4,5.1,14.6,2.9,0.0,9.2,28.3,87.0,108.0,-7.8,06acef51-0e73-490f-9d50-375aedd6eaec,MEM,DEN,Home,104,108,0
Ziaire Williams,1,31.083333333333332,3,10,0.3,0,3,0.0,5,5,1.0,2,7,9,3,0,0,4,0,11,0.0,0.451,0.3,0.3,0.5,6.6,26.4,15.8,14.3,0.0,0.0,24.7,21.6,86.0,112.0,-7.9,06acef51-0e73-490f-9d50-375aedd6eaec,MEM,DEN,Home,104,108,0
Marcus Smart,1,30.833333333333332,7,13,0.538,3,7,0.429,3,3,1.0,1,1,2,5,5,0,2,3,20,-6.0,0.698,0.654,0.538,0.231,3.3,3.8,3.5,29.8,7.6,0.0,12.3,22.0,134.0,98.0,12.8,06acef51-0e73-490f-9d50-375aedd6eaec,MEM,DEN,Home,104,108,0
Jaren Jackson Jr.,1,28.45,9,13,0.692,2,2,1.0,1,2,0.5,2,7,9,2,0,3,0,5,21,-1.0,0.756,0.769,0.154,0.154,7.2,28.8,17.3,15.5,0.0,9.9,0.0,20.3,156.0,103.0,11.9,06acef51-0e73-490f-9d50-375aedd6eaec,MEM,DEN,Home,104,108,0
