player,played,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,game_id,team,opponent,location,team_score,opponent_score,win
Tyler Herro,1,34.5,7,24,0.292,2,7,0.286,0,0,0.0,0,2,2,3,3,0,2,1,16,6.0,0.333,0.333,0.292,0.0,0.0,5.7,2.7,15.3,4.5,0.0,7.7,32.8,72.0,108.0,-8.1,6f65a496-2662-4908-82cc-99f277116b92,MIA,DET,Home,103,102,1
Jimmy Butler,1,34.46666666666667,6,18,0.333,0,0,0.0,7,9,0.778,8,5,13,4,2,0,0,0,19,-3.0,0.433,0.333,0.0,0.5,20.3,14.2,17.4,19.4,3.0,0.0,0.0,27.7,118.0,108.0,5.6,6f65a496-2662-4908-82cc-99f277116b92,MIA,DET,Home,103,102,1
Bam Adebayo,1,32.15,7,13,0.538,0,0,0.0,8,10,0.8,2,6,8,3,0,2,2,3,22,-4.0,0.632,0.538,0.0,0.769,5.4,18.3,11.5,16.9,0.0,5.0,10.3,26.2,126.0,109.0,4.5,6f65a496-2662-4908-82cc-99f277116b92,MIA,DET,Home,103,102,1
Kyle Lowry,1,31.866666666666667,0,1,0.0,0,0,0.0,0,0,0.0,0,2,2,2,2,1,0,4,0,4.0,0.0,0.0,0.0,0.0,0.0,6.1,2.9,8.1,3.2,2.5,0.0,1.4,82.0,109.0,-6.8,6f65a496-2662-4908-82cc-99f277116b92,MIA,DET,Home,103,102,1
Kevin Love,1,27.733333333333334,4,9,0.444,3,6,0.5,2,2,1.0,2,8,10,2,0,0,1,5,13,5.0,0.658,0.611,0.667,0.222,6.3,28.3,16.6,11.5,0.0,0.0,9.2,17.1,132.0,107.0,0.5,6f65a496-2662-4908-82cc-99f277116b92,MIA,DET,Home,103,102,1
Duncan Robinson,1,22.1,6,10,0.6,3,5,0.6,0,0,0.0,1,1,2,1,0,0,0,1,15,-3.0,0.75,0.75,0.5,0.0,3.9,4.4,4.2,9.1,0.0,0.0,0.0,19.7,151.0,118.0,7.1,6f65a496-2662-4908-82cc-99f277116b92,MIA,DET,Home,103,102,1
Caleb Martin,1,19.5,1,7,0.143,0,3,0.0,0,0,0.0,1,2,3,1,1,0,0,1,2,-5.0,0.143,0.143,0.429,0.0,4.5,10.0,7.1,7.1,2.6,0.0,0.0,15.6,51.0,110.0,-13.2,6f65a496-2662-4908-82cc-99f277116b92,MIA,DET,Home,103,102,1
Thomas Bryant,1,15.833333333333334,2,5,0.4,0,0,0.0,4,5,0.8,2,4,6,3,1,0,1,0,8,5.0,0.556,0.4,0.0,1.0,11.0,24.7,17.5,29.4,3.2,0.0,12.2,22.5,123.0,102.0,8.5,6f65a496-2662-4908-82cc-99f277116b92,MIA,DET,Home,103,102,1
Jaime Jaquez Jr.,1,13.183333333333334,3,3,1.0,0,0,0.0,0,0,0.0,0,2,2,2,2,0,1,2,6,4.0,1.0,1.0,0.0,0.0,0.0,14.9,7.0,27.9,7.8,0.0,25.0,13.2,142.0,96.0,10.3,6f65a496-2662-4908-82cc-99f277116b92,MIA,DET,Home,103,102,1
Dru Smith,1,8.666666666666666,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,1,2,-4.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,17.6,0.0,0.0,0.0,10.0,120.0,120.0,-7.6,6f65a496-2662-4908-82cc-99f277116b92,MIA,DET,Home,103,102,1
Jamal Cain,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6f65a496-2662-4908-82cc-99f277116b92,MIA,DET,Home,103,102,1
R.J. Hampton,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6f65a496-2662-4908-82cc-99f277116b92,MIA,DET,Home,103,102,1
Nikola Jović,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6f65a496-2662-4908-82cc-99f277116b92,MIA,DET,Home,103,102,1
Orlando Robinson,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6f65a496-2662-4908-82cc-99f277116b92,MIA,DET,Home,103,102,1
Tyler Herro,1,40.3,10,20,0.5,5,12,0.417,3,3,1.0,1,5,6,6,1,0,3,2,28,-1.0,0.657,0.625,0.6,0.15,2.4,11.9,7.1,27.4,1.2,0.0,12.3,26.1,123.0,122.0,5.9,ee7587a8-1f7d-488a-90eb-359ca4d0b7b6,MIA,BOS,Away,111,119,0
Bam Adebayo,1,35.016666666666666,10,23,0.435,0,0,0.0,7,9,0.778,3,4,7,2,1,2,3,1,27,0.0,0.501,0.435,0.0,0.391,8.2,11.0,9.6,11.3,1.4,4.9,10.0,37.0,100.0,120.0,-1.8,ee7587a8-1f7d-488a-90eb-359ca4d0b7b6,MIA,BOS,Away,111,119,0
Jimmy Butler,1,33.68333333333333,3,11,0.273,0,0,0.0,8,9,0.889,2,3,5,3,1,1,1,1,14,0.0,0.468,0.273,0.0,0.818,5.7,8.6,7.1,12.7,1.4,2.5,6.3,20.5,110.0,122.0,-2.5,ee7587a8-1f7d-488a-90eb-359ca4d0b7b6,MIA,BOS,Away,111,119,0
Kyle Lowry,1,31.816666666666666,5,7,0.714,3,4,0.75,0,0,0.0,1,7,8,5,0,1,1,3,13,-1.0,0.929,0.929,0.571,0.0,3.0,21.1,12.1,24.8,0.0,2.7,12.5,10.9,167.0,120.0,7.4,ee7587a8-1f7d-488a-90eb-359ca4d0b7b6,MIA,BOS,Away,111,119,0
Kevin Love,1,20.533333333333335,3,7,0.429,2,4,0.5,1,2,0.5,2,7,9,2,1,0,0,1,9,13.0,0.571,0.571,0.571,0.286,9.4,32.7,21.0,15.1,2.4,0.0,0.0,16.6,134.0,111.0,6.5,ee7587a8-1f7d-488a-90eb-359ca4d0b7b6,MIA,BOS,Away,111,119,0
Duncan Robinson,1,24.316666666666666,3,7,0.429,3,6,0.5,0,0,0.0,0,1,1,0,0,0,0,2,9,-12.0,0.643,0.643,0.857,0.0,0.0,3.9,2.0,0.0,0.0,0.0,0.0,12.4,123.0,128.0,-3.8,ee7587a8-1f7d-488a-90eb-359ca4d0b7b6,MIA,BOS,Away,111,119,0
