player,played,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,game_id,team,opponent,location,team_score,opponent_score,win
Anthony Edwards,1,38.3,8,27,0.296,4,7,0.571,6,6,1.0,5,9,14,1,0,0,2,1,26,0.0,0.439,0.37,0.259,0.222,11.4,20.9,16.1,5.2,0.0,0.0,6.3,32.1,98.0,101.0,2.3,cc8460de-f70a-4968-8669-c90c9d529c9e,MIN,TOR,Away,94,97,0
Karl-Anthony Towns,1,35.96666666666667,8,25,0.32,2,10,0.2,1,1,1.0,2,8,10,3,0,4,4,2,19,-1.0,0.373,0.36,0.4,0.04,4.9,19.8,12.2,17.2,0.0,9.7,13.6,31.8,76.0,93.0,-1.0,cc8460de-f70a-4968-8669-c90c9d529c9e,MIN,TOR,Away,94,97,0
Rudy Gobert,1,32.0,6,12,0.5,0,0,0.0,3,5,0.6,5,8,13,1,2,4,2,3,15,-11.0,0.528,0.5,0.0,0.417,13.6,22.2,17.9,6.0,2.9,10.9,12.3,19.6,106.0,84.0,5.2,cc8460de-f70a-4968-8669-c90c9d529c9e,MIN,TOR,Away,94,97,0
Mike Conley,1,30.5,4,9,0.444,1,4,0.25,2,2,1.0,1,3,4,3,1,1,1,1,11,-6.0,0.557,0.5,0.444,0.222,2.9,8.7,5.8,17.0,1.5,2.9,9.2,13.8,117.0,98.0,1.8,cc8460de-f70a-4968-8669-c90c9d529c9e,MIN,TOR,Away,94,97,0
Nickeil Alexander-Walker,1,22.633333333333333,1,5,0.2,0,3,0.0,0,0,0.0,0,4,4,2,1,0,1,3,2,-17.0,0.2,0.2,0.6,0.0,0.0,15.7,7.8,13.3,2.1,0.0,16.7,10.3,51.0,97.0,-9.6,cc8460de-f70a-4968-8669-c90c9d529c9e,MIN,TOR,Away,94,97,0
Kyle Anderson,1,30.316666666666666,3,9,0.333,0,1,0.0,1,2,0.5,2,7,9,5,2,0,1,0,7,15.0,0.354,0.333,0.111,0.222,5.8,20.5,13.1,27.1,3.1,0.0,9.2,13.9,92.0,94.0,1.7,cc8460de-f70a-4968-8669-c90c9d529c9e,MIN,TOR,Away,94,97,0
Naz Reid,1,23.766666666666666,3,8,0.375,0,2,0.0,4,4,1.0,1,3,4,1,0,0,1,0,10,1.0,0.512,0.375,0.25,0.5,3.7,11.2,7.4,7.2,0.0,0.0,9.3,17.6,108.0,103.0,-2.1,cc8460de-f70a-4968-8669-c90c9d529c9e,MIN,TOR,Away,94,97,0
Shake Milton,1,21.266666666666666,1,5,0.2,1,4,0.25,1,2,0.5,0,3,3,4,2,0,2,4,4,3.0,0.34,0.3,0.8,0.4,0.0,12.5,6.2,28.4,4.4,0.0,25.4,14.4,72.0,92.0,-2.9,cc8460de-f70a-4968-8669-c90c9d529c9e,MIN,TOR,Away,94,97,0
Troy Brown Jr.,1,5.25,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,16.9,8.4,0.0,0.0,0.0,0.0,0.0,0.0,102.0,-7.9,cc8460de-f70a-4968-8669-c90c9d529c9e,MIN,TOR,Away,94,97,0
Luka Garza,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cc8460de-f70a-4968-8669-c90c9d529c9e,MIN,TOR,Away,94,97,0
Jordan McLaughlin,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cc8460de-f70a-4968-8669-c90c9d529c9e,MIN,TOR,Away,94,97,0
Leonard Miller,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cc8460de-f70a-4968-8669-c90c9d529c9e,MIN,TOR,Away,94,97,0
Josh Minott,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cc8460de-f70a-4968-8669-c90c9d529c9e,MIN,TOR,Away,94,97,0
Wendell Moore Jr.,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cc8460de-f70a-4968-8669-c90c9d529c9e,MIN,TOR,Away,94,97,0
Daishen Nix,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cc8460de-f70a-4968-8669-c90c9d529c9e,MIN,TOR,Away,94,97,0
Anthony Edwards,1,33.36666666666667,7,15,0.467,3,5,0.6,2,2,1.0,0,2,2,7,0,0,2,3,19,21.0,0.598,0.567,0.333,0.133,0.0,5.9,3.2,29.7,0.0,0.0,11.2,24.8,117.0,102.0,2.9,000ee00e-f984-4ec5-8de8-527c31c05346,MIN,MIA,Home,106,90,1
Karl-Anthony Towns,1,31.0,5,12,0.417,1,4,0.25,1,2,0.5,0,10,10,2,1,0,1,3,12,6.0,0.466,0.458,0.333,0.167,0.0,31.6,17.4,8.5,1.6,0.0,7.2,20.8,91.0,91.0,-3.0,000ee00e-f984-4ec5-8de8-527c31c05346,MIN,MIA,Home,106,90,1
Rudy Gobert,1,30.8,7,9,0.778,0,0,0.0,0,0,0.0,4,10,14,1,1,0,2,1,14,14.0,0.778,0.778,0.0,0.0,15.6,31.8,24.5,4.7,1.6,0.0,18.2,16.6,132.0,91.0,4.5,000ee00e-f984-4ec5-8de8-527c31c05346,MIN,MIA,Home,106,90,1
Mike Conley,1,28.866666666666667,6,10,0.6,2,6,0.333,0,0,0.0,2,2,4,5,1,0,0,1,14,21.0,0.7,0.7,0.6,0.0,8.3,6.8,7.5,24.4,1.7,0.0,0.0,16.1,154.0,98.0,9.2,000ee00e-f984-4ec5-8de8-527c31c05346,MIN,MIA,Home,106,90,1
Nickeil Alexander-Walker,1,22.783333333333335,2,8,0.25,1,6,0.167,0,0,0.0,0,3,3,3,1,2,3,3,5,8.0,0.313,0.313,0.75,0.0,0.0,12.9,7.1,15.9,2.2,8.6,27.3,22.4,59.0,89.0,-6.7,000ee00e-f984-4ec5-8de8-527c31c05346,MIN,MIA,Home,106,90,1
Naz Reid,1,28.433333333333334,10,14,0.714,4,7,0.571,1,1,1.0,1,7,8,1,2,0,0,3,25,30.0,0.866,0.857,0.5,0.071,4.2,24.1,15.2,6.2,3.5,0.0,0.0,23.5,163.0,89.0,18.6,000ee00e-f984-4ec5-8de8-527c31c05346,MIN,MIA,Home,106,90,1
Kyle Anderson,1,22.95,5,6,0.833,0,0,0.0,2,2,1.0,0,2,2,4,2,0,2,1,12,7.0,0.872,0.833,0.0,0.333,0.0,8.5,4.7,24.9,4.4,0.0,22.5,17.9,139.0,92.0,10.4,000ee00e-f984-4ec5-8de8-527c31c05346,MIN,MIA,Home,106,90,1
