player,played,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,game_id,team,opponent,location,team_score,opponent_score,win
Herbert Jones,1,38.1,4,8,0.5,2,3,0.667,3,5,0.6,3,5,8,3,1,1,3,3,13,2.0,0.637,0.625,0.375,0.625,9.4,12.9,11.3,10.8,1.2,2.6,22.7,14.4,115.0,103.0,0.7,e76f1da9-93f4-4b52-8433-de77db1067a2,NOP,MEM,Away,111,104,1
CJ McCollum,1,37.333333333333336,8,16,0.5,6,11,0.545,2,2,1.0,1,3,4,6,2,1,2,3,24,-1.0,0.711,0.688,0.688,0.125,3.2,7.9,5.8,26.0,2.5,2.7,10.6,21.0,141.0,101.0,11.3,e76f1da9-93f4-4b52-8433-de77db1067a2,NOP,MEM,Away,111,104,1
Brandon Ingram,1,35.95,7,18,0.389,0,3,0.0,5,6,0.833,0,7,7,6,2,0,5,3,19,-2.0,0.46,0.389,0.167,0.333,0.0,19.1,10.5,26.1,2.6,0.0,19.5,29.6,91.0,100.0,-5.3,e76f1da9-93f4-4b52-8433-de77db1067a2,NOP,MEM,Away,111,104,1
Zion Williamson,1,31.716666666666665,9,17,0.529,0,0,0.0,5,7,0.714,4,3,7,3,0,0,3,1,23,-8.0,0.573,0.529,0.0,0.412,15.1,9.3,11.9,17.2,0.0,0.0,13.0,30.2,115.0,109.0,-0.1,e76f1da9-93f4-4b52-8433-de77db1067a2,NOP,MEM,Away,111,104,1
Jonas ValanÄiÅ«nas,1,29.2,4,7,0.571,2,4,0.5,2,2,1.0,0,12,12,1,0,1,3,1,12,16.0,0.761,0.714,0.571,0.286,0.0,40.3,22.2,4.9,0.0,3.4,27.6,15.5,108.0,99.0,1.3,e76f1da9-93f4-4b52-8433-de77db1067a2,NOP,MEM,Away,111,104,1
Dyson Daniels,1,18.883333333333333,3,6,0.5,0,1,0.0,0,0,0.0,2,3,5,0,2,1,2,4,6,-2.0,0.5,0.5,0.167,0.0,12.7,15.6,14.3,0.0,5.0,5.3,25.0,17.6,85.0,92.0,-2.5,e76f1da9-93f4-4b52-8433-de77db1067a2,NOP,MEM,Away,111,104,1
Larry Nance Jr.,1,14.933333333333334,1,2,0.5,0,0,0.0,0,0,0.0,1,7,8,0,1,0,2,1,2,-4.0,0.5,0.5,0.0,0.0,8.0,45.9,28.9,0.0,3.1,0.0,50.0,11.1,59.0,93.0,-5.4,e76f1da9-93f4-4b52-8433-de77db1067a2,NOP,MEM,Away,111,104,1
Matt Ryan,1,13.85,3,6,0.5,3,6,0.5,0,0,0.0,0,1,1,1,0,0,0,2,9,20.0,0.75,0.75,1.0,0.0,0.0,7.1,3.9,11.7,0.0,0.0,0.0,18.0,156.0,109.0,7.2,e76f1da9-93f4-4b52-8433-de77db1067a2,NOP,MEM,Away,111,104,1
Kira Lewis Jr.,1,10.816666666666666,0,3,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,1,1,1,0,0.0,0.0,0.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,9.2,25.0,15.3,0.0,104.0,-17.7,e76f1da9-93f4-4b52-8433-de77db1067a2,NOP,MEM,Away,111,104,1
Jordan Hawkins,1,9.216666666666667,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0,2,0,0,0,2,3,14.0,0.75,0.75,1.0,0.0,0.0,0.0,0.0,29.9,0.0,0.0,0.0,9.0,178.0,111.0,4.8,e76f1da9-93f4-4b52-8433-de77db1067a2,NOP,MEM,Away,111,104,1
Kaiser Gates,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,e76f1da9-93f4-4b52-8433-de77db1067a2,NOP,MEM,Away,111,104,1
E.J. Liddell,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,e76f1da9-93f4-4b52-8433-de77db1067a2,NOP,MEM,Away,111,104,1
Cody Zeller,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,e76f1da9-93f4-4b52-8433-de77db1067a2,NOP,MEM,Away,111,104,1
Brandon Ingram,1,31.9,11,17,0.647,1,3,0.333,3,4,0.75,2,5,7,3,1,0,5,4,26,5.0,0.693,0.676,0.176,0.235,6.4,13.7,10.3,19.3,1.5,0.0,21.0,33.4,109.0,89.0,6.9,1dcd8d3b-8f4f-4ca2-b2af-05895a99b1af,NOP,NYK,Home,96,87,1
CJ McCollum,1,29.633333333333333,4,11,0.364,2,7,0.286,2,4,0.5,0,3,3,7,4,0,1,2,12,18.0,0.47,0.455,0.636,0.364,0.0,8.8,4.8,33.8,6.5,0.0,7.3,20.8,103.0,80.0,11.5,1dcd8d3b-8f4f-4ca2-b2af-05895a99b1af,NOP,NYK,Home,96,87,1
Zion Williamson,1,28.083333333333332,12,17,0.706,0,0,0.0,0,2,0.0,1,4,5,2,1,0,0,0,24,11.0,0.671,0.706,0.0,0.118,3.6,12.4,8.4,17.5,1.7,0.0,0.0,28.6,131.0,89.0,15.0,1dcd8d3b-8f4f-4ca2-b2af-05895a99b1af,NOP,NYK,Home,96,87,1
Herbert Jones,1,27.533333333333335,4,6,0.667,2,2,1.0,0,0,0.0,0,2,2,1,0,3,1,5,10,6.0,0.833,0.833,0.333,0.0,0.0,6.3,3.4,5.3,0.0,9.9,14.3,11.4,132.0,91.0,5.8,1dcd8d3b-8f4f-4ca2-b2af-05895a99b1af,NOP,NYK,Home,96,87,1
Jonas ValanÄiÅ«nas,1,20.983333333333334,3,7,0.429,0,1,0.0,2,2,1.0,0,4,4,0,0,0,4,4,8,5.0,0.508,0.429,0.143,0.286,0.0,16.6,9.0,0.0,0.0,0.0,33.7,25.4,64.0,91.0,-13.4,1dcd8d3b-8f4f-4ca2-b2af-05895a99b1af,NOP,NYK,Home,96,87,1
Matt Ryan,1,25.716666666666665,1,8,0.125,1,8,0.125,0,0,0.0,0,3,3,3,1,1,0,3,3,8.0,0.188,0.188,1.0,0.0,0.0,10.2,5.5,14.7,1.9,3.5,0.0,13.9,56.0,88.0,-3.2,1dcd8d3b-8f4f-4ca2-b2af-05895a99b1af,NOP,NYK,Home,96,87,1
Dyson Daniels,1,21.766666666666666,1,7,0.143,0,3,0.0,0,4,0.0,0,4,4,3,1,0,1,2,2,11.0,0.114,0.143,0.429,0.571,0.0,16.0,8.6,17.5,2.2,0.0,10.2,20.1,37.0,86.0,-10.4,1dcd8d3b-8f4f-4ca2-b2af-05895a99b1af,NOP,NYK,Home,96,87,1
Jordan Hawkins,1,17.766666666666666,3,7,0.429,3,6,0.5,0,0,0.0,0,4,4,1,0,0,1,0,9,1.0,0.643,0.643,0.857,0.0,0.0,19.6,10.6,8.5,0.0,0.0,12.5,20.2,106.0,90.0,6.3,1dcd8d3b-8f4f-4ca2-b2af-05895a99b1af,NOP,NYK,Home,96,87,1
Larry Nance Jr.,1,16.25,0,1,0.0,0,0,0.0,0,0,0.0,1,5,6,0,0,1,0,2,0,7.0,0.0,0.0,0.0,0.0,6.3,26.9,17.4,0.0,0.0,5.6,0.0,2.8,62.0,83.0,-3.5,1dcd8d3b-8f4f-4ca2-b2af-05895a99b1af,NOP,NYK,Home,96,87,1
Kira Lewis Jr.,1,10.166666666666666,1,4,0.25,0,2,0.0,0,0,0.0,0,2,2,0,0,0,0,0,2,-10.0,0.25,0.25,0.5,0.0,0.0,17.2,9.3,0.0,0.0,0.0,0.0,17.6,50.0,91.0,-9.8,1dcd8d3b-8f4f-4ca2-b2af-05895a99b1af,NOP,NYK,Home,96,87,1
Cody Zeller,1,7.733333333333333,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-7.0,0.0,0.0,0.0,0.0,0.0,11.3,6.1,0.0,0.0,0.0,0.0,5.8,0.0,94.0,-8.1,1dcd8d3b-8f4f-4ca2-b2af-05895a99b1af,NOP,NYK,Home,96,87,1
E.J. Liddell,1,2.466666666666667,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,-10.0,0.0,0.0,1.0,0.0,0.0,70.8,38.2,0.0,0.0,0.0,0.0,18.2,0.0,63.0,-12.5,1dcd8d3b-8f4f-4ca2-b2af-05895a99b1af,NOP,NYK,Home,96,87,1
Jordan Hawkins,1,35.016666666666666,6,13,0.462,2,7,0.286,0,2,0.0,2,3,5,2,2,0,1,1,14,-14.0,0.504,0.538,0.538,0.154,4.8,8.9,6.7,9.2,2.8,0.0,6.7,17.7,102.0,131.0,-1.5,996273bf-5f07-401c-ad9e-73623f349cad,NOP,GSW,Home,102,130,0
CJ McCollum,1,33.483333333333334,7,21,0.333,2,8,0.25,3,4,0.75,2,4,6,5,1,0,0,1,19,-19.0,0.417,0.381,0.381,0.19,5.0,12.5,8.4,25.6,1.5,0.0,0.0,28.3,102.0,133.0,-0.3,996273bf-5f07-401c-ad9e-73623f349cad,NOP,GSW,Home,102,130,0
