player,played,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,game_id,team,opponent,location,team_score,opponent_score,win
RJ Barrett,1,36.333333333333336,8,20,0.4,2,5,0.4,6,7,0.857,1,2,3,2,1,0,2,0,24,6.0,0.52,0.45,0.25,0.35,2.4,7.1,4.3,10.4,1.4,0.0,8.0,28.2,107.0,118.0,2.3,5b97140e-2cca-4ed8-b440-294dcff4222b,NYK,BOS,Home,104,108,0
Julius Randle,1,34.016666666666666,5,22,0.227,3,8,0.375,1,5,0.2,4,7,11,7,2,0,0,3,14,-13.0,0.289,0.295,0.364,0.227,10.1,26.7,16.7,34.1,3.0,0.0,0.0,29.1,90.0,111.0,2.8,5b97140e-2cca-4ed8-b440-294dcff4222b,NYK,BOS,Home,104,108,0
Jalen Brunson,1,32.583333333333336,6,21,0.286,3,8,0.375,0,1,0.0,1,2,3,6,3,0,2,3,15,-9.0,0.35,0.357,0.381,0.048,2.6,8.0,4.8,32.5,4.7,0.0,8.5,29.4,85.0,110.0,0.3,5b97140e-2cca-4ed8-b440-294dcff4222b,NYK,BOS,Home,104,108,0
Quentin Grimes,1,23.333333333333332,4,7,0.571,3,6,0.5,0,1,0.0,0,1,1,0,0,0,0,2,11,-1.0,0.739,0.786,0.857,0.143,0.0,5.6,2.2,0.0,0.0,0.0,0.0,13.0,139.0,122.0,2.5,5b97140e-2cca-4ed8-b440-294dcff4222b,NYK,BOS,Home,104,108,0
Mitchell Robinson,1,22.1,1,4,0.25,0,0,0.0,0,2,0.0,3,3,6,1,2,0,1,4,2,1.0,0.205,0.25,0.0,0.5,11.6,17.6,14.0,6.4,4.6,0.0,17.0,10.9,68.0,108.0,-7.1,5b97140e-2cca-4ed8-b440-294dcff4222b,NYK,BOS,Home,104,108,0
Immanuel Quickley,1,28.0,7,11,0.636,5,7,0.714,5,6,0.833,2,4,6,4,1,0,2,3,24,-3.0,0.88,0.864,0.636,0.545,6.1,18.5,11.1,28.6,1.8,0.0,12.8,22.8,157.0,115.0,20.3,5b97140e-2cca-4ed8-b440-294dcff4222b,NYK,BOS,Home,104,108,0
Isaiah Hartenstein,1,25.733333333333334,3,4,0.75,0,0,0.0,1,2,0.5,5,3,8,2,0,0,1,5,7,-5.0,0.717,0.75,0.0,0.5,16.7,15.1,16.0,12.3,0.0,0.0,17.0,9.3,145.0,120.0,-1.9,5b97140e-2cca-4ed8-b440-294dcff4222b,NYK,BOS,Home,104,108,0
Josh Hart,1,22.483333333333334,2,4,0.5,2,4,0.5,1,2,0.5,1,5,6,0,0,0,1,1,7,-1.0,0.717,0.75,1.0,0.5,3.8,28.9,13.8,0.0,0.0,0.0,17.0,10.7,116.0,117.0,-0.9,5b97140e-2cca-4ed8-b440-294dcff4222b,NYK,BOS,Home,104,108,0
Donte DiVincenzo,1,15.416666666666666,0,4,0.0,0,3,0.0,0,0,0.0,0,3,3,2,0,0,0,1,0,5.0,0.0,0.0,0.75,0.0,0.0,25.2,10.0,17.3,0.0,0.0,0.0,10.6,35.0,118.0,-13.3,5b97140e-2cca-4ed8-b440-294dcff4222b,NYK,BOS,Home,104,108,0
Ryan Arcidiacono,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5b97140e-2cca-4ed8-b440-294dcff4222b,NYK,BOS,Home,104,108,0
Evan Fournier,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5b97140e-2cca-4ed8-b440-294dcff4222b,NYK,BOS,Home,104,108,0
DaQuan Jeffries,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5b97140e-2cca-4ed8-b440-294dcff4222b,NYK,BOS,Home,104,108,0
Miles McBride,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5b97140e-2cca-4ed8-b440-294dcff4222b,NYK,BOS,Home,104,108,0
Jericho Sims,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5b97140e-2cca-4ed8-b440-294dcff4222b,NYK,BOS,Home,104,108,0
Dylan Windler,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5b97140e-2cca-4ed8-b440-294dcff4222b,NYK,BOS,Home,104,108,0
Mitchell Robinson,1,37.7,2,6,0.333,0,0,0.0,3,4,0.75,6,7,13,1,4,4,0,1,7,11.0,0.451,0.333,0.0,0.667,16.3,21.2,18.6,3.1,4.9,9.3,0.0,8.4,137.0,103.0,4.0,45384248-9d10-4fda-8aed-eea7d8e52ecd,NYK,ATL,Away,126,120,1
Julius Randle,1,34.25,4,10,0.4,3,7,0.429,6,8,0.75,2,10,12,9,0,0,3,3,17,7.0,0.629,0.55,0.7,0.8,6.0,33.4,18.9,33.7,0.0,0.0,18.2,19.6,131.0,118.0,4.4,45384248-9d10-4fda-8aed-eea7d8e52ecd,NYK,ATL,Away,126,120,1
RJ Barrett,1,33.9,9,15,0.6,3,5,0.6,5,6,0.833,1,2,3,6,1,0,3,2,26,6.0,0.737,0.7,0.333,0.4,3.0,6.7,4.8,28.1,1.4,0.0,14.5,24.7,136.0,121.0,6.4,45384248-9d10-4fda-8aed-eea7d8e52ecd,NYK,ATL,Away,126,120,1
Jalen Brunson,1,32.7,11,21,0.524,8,12,0.667,1,2,0.5,0,3,3,5,0,0,2,1,31,13.0,0.708,0.714,0.571,0.095,0.0,10.5,4.9,27.3,0.0,0.0,8.4,29.6,130.0,123.0,8.1,45384248-9d10-4fda-8aed-eea7d8e52ecd,NYK,ATL,Away,126,120,1
Quentin Grimes,1,24.95,2,6,0.333,2,5,0.4,0,0,0.0,1,0,1,1,0,0,1,3,6,8.0,0.5,0.5,0.833,0.0,4.1,0.0,2.2,4.9,0.0,0.0,14.3,11.4,99.0,125.0,-8.6,45384248-9d10-4fda-8aed-eea7d8e52ecd,NYK,ATL,Away,126,120,1
Immanuel Quickley,1,24.15,4,14,0.286,1,9,0.111,2,2,1.0,0,6,6,6,1,0,4,2,11,-3.0,0.37,0.321,0.643,0.143,0.0,28.4,13.4,34.0,1.9,0.0,21.2,31.7,81.0,115.0,-11.6,45384248-9d10-4fda-8aed-eea7d8e52ecd,NYK,ATL,Away,126,120,1
Josh Hart,1,21.683333333333334,2,4,0.5,0,1,0.0,0,0,0.0,0,3,3,0,1,0,0,3,4,-2.0,0.5,0.5,0.25,0.0,0.0,15.8,7.5,0.0,2.1,0.0,0.0,7.5,101.0,117.0,-7.3,45384248-9d10-4fda-8aed-eea7d8e52ecd,NYK,ATL,Away,126,120,1
Donte DiVincenzo,1,20.366666666666667,6,10,0.6,3,5,0.6,1,2,0.5,1,1,2,1,1,1,2,2,16,-5.0,0.735,0.75,0.5,0.2,5.0,5.6,5.3,8.2,2.3,4.3,15.5,25.7,117.0,116.0,5.8,45384248-9d10-4fda-8aed-eea7d8e52ecd,NYK,ATL,Away,126,120,1
Isaiah Hartenstein,1,10.3,3,4,0.75,0,0,0.0,2,4,0.5,1,1,2,1,1,1,1,4,8,-5.0,0.694,0.75,0.0,1.0,9.9,11.1,10.5,16.1,4.5,8.5,14.8,26.6,124.0,106.0,2.9,45384248-9d10-4fda-8aed-eea7d8e52ecd,NYK,ATL,Away,126,120,1
Ryan Arcidiacono,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45384248-9d10-4fda-8aed-eea7d8e52ecd,NYK,ATL,Away,126,120,1
Evan Fournier,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45384248-9d10-4fda-8aed-eea7d8e52ecd,NYK,ATL,Away,126,120,1
DaQuan Jeffries,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45384248-9d10-4fda-8aed-eea7d8e52ecd,NYK,ATL,Away,126,120,1
Miles McBride,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45384248-9d10-4fda-8aed-eea7d8e52ecd,NYK,ATL,Away,126,120,1
Jericho Sims,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45384248-9d10-4fda-8aed-eea7d8e52ecd,NYK,ATL,Away,126,120,1
Dylan Windler,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45384248-9d10-4fda-8aed-eea7d8e52ecd,NYK,ATL,Away,126,120,1
Julius Randle,1,33.7,4,15,0.267,0,5,0.0,2,2,1.0,0,12,12,4,0,0,8,4,10,-11.0,0.315,0.267,0.333,0.133,0.0,36.4,16.8,20.9,0.0,0.0,33.5,29.3,51.0,97.0,-13.7,5103d1f4-9356-4cb3-aa92-668d4b26e1cf,NYK,NOP,Away,87,96,0
Jalen Brunson,1,30.583333333333332,4,14,0.286,1,5,0.2,5,6,0.833,1,3,4,5,0,0,1,2,14,-9.0,0.421,0.321,0.357,0.429,2.9,10.0,6.2,29.4,0.0,0.0,5.7,23.9,101.0,101.0,0.4,5103d1f4-9356-4cb3-aa92-668d4b26e1cf,NYK,NOP,Away,87,96,0
RJ Barrett,1,29.983333333333334,7,16,0.438,1,6,0.167,3,4,0.75,0,3,3,2,0,1,3,0,18,-15.0,0.507,0.469,0.375,0.25,0.0,10.2,4.7,14.7,0.0,3.0,14.5,28.7,93.0,99.0,2.0,5103d1f4-9356-4cb3-aa92-668d4b26e1cf,NYK,NOP,Away,87,96,0
Mitchell Robinson,1,28.95,4,8,0.5,0,0,0.0,0,0,0.0,10,5,15,0,1,2,0,1,8,-11.0,0.5,0.5,0.0,0.0,30.1,17.6,24.4,0.0,1.7,6.1,0.0,11.4,134.0,91.0,5.6,5103d1f4-9356-4cb3-aa92-668d4b26e1cf,NYK,NOP,Away,87,96,0
Quentin Grimes,1,26.5,2,9,0.222,1,6,0.167,0,0,0.0,0,2,2,1,2,0,0,1,5,-1.0,0.278,0.278,0.667,0.0,0.0,7.7,3.6,6.2,3.6,0.0,0.0,14.1,69.0,94.0,-2.3,5103d1f4-9356-4cb3-aa92-668d4b26e1cf,NYK,NOP,Away,87,96,0
Josh Hart,1,21.45,1,5,0.2,1,3,0.333,0,0,0.0,2,8,10,2,1,0,2,2,3,-10.0,0.3,0.3,0.6,0.0,8.1,38.1,21.9,14.5,2.2,0.0,28.6,13.5,66.0,93.0,-1.8,5103d1f4-9356-4cb3-aa92-668d4b26e1cf,NYK,NOP,Away,87,96,0
Donte DiVincenzo,1,19.666666666666668,2,7,0.286,1,5,0.2,0,0,0.0,2,2,4,1,2,0,2,3,5,-8.0,0.357,0.357,0.714,0.0,8.9,10.4,9.6,8.7,4.9,0.0,22.2,18.9,70.0,89.0,-2.6,5103d1f4-9356-4cb3-aa92-668d4b26e1cf,NYK,NOP,Away,87,96,0
Immanuel Quickley,1,19.066666666666666,4,9,0.444,0,3,0.0,2,2,1.0,0,1,1,1,0,0,2,3,10,-12.0,0.506,0.444,0.333,0.222,0.0,5.4,2.5,11.0,0.0,0.0,16.8,25.8,90.0,100.0,-5.8,5103d1f4-9356-4cb3-aa92-668d4b26e1cf,NYK,NOP,Away,87,96,0
Isaiah Hartenstein,1,14.533333333333333,1,1,1.0,0,0,0.0,2,4,0.5,1,2,3,1,0,0,0,0,4,-8.0,0.725,1.0,0.0,4.0,6.0,14.1,9.7,11.1,0.0,0.0,0.0,7.9,157.0,101.0,4.2,5103d1f4-9356-4cb3-aa92-668d4b26e1cf,NYK,NOP,Away,87,96,0
Miles McBride,1,4.516666666666667,1,3,0.333,0,2,0.0,0,0,0.0,0,1,1,1,1,0,0,0,2,10.0,0.333,0.333,0.667,0.0,0.0,22.6,10.4,47.5,10.6,0.0,0.0,27.5,88.0,78.0,14.4,5103d1f4-9356-4cb3-aa92-668d4b26e1cf,NYK,NOP,Away,87,96,0
Jericho Sims,1,4.516666666666667,0,0,0.0,0,0,0.0,0,0,0.0,0,3,3,0,0,0,0,0,0,10.0,0.0,0.0,0.0,0.0,0.0,67.8,31.3,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.4,5103d1f4-9356-4cb3-aa92-668d4b26e1cf,NYK,NOP,Away,87,96,0
DaQuan Jeffries,1,3.2666666666666666,2,2,1.0,1,1,1.0,0,0,0.0,0,1,1,0,0,0,0,0,5,10.0,1.25,1.25,0.5,0.0,0.0,31.3,14.4,0.0,0.0,0.0,0.0,25.4,250.0,99.0,46.3,5103d1f4-9356-4cb3-aa92-668d4b26e1cf,NYK,NOP,Away,87,96,0
Dylan Windler,1,3.2666666666666666,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,1,0,0,0,1,3,10.0,1.5,1.5,1.0,0.0,0.0,0.0,0.0,80.3,0.0,0.0,0.0,12.7,284.0,99.0,34.7,5103d1f4-9356-4cb3-aa92-668d4b26e1cf,NYK,NOP,Away,87,96,0
Ryan Arcidiacono,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5103d1f4-9356-4cb3-aa92-668d4b26e1cf,NYK,NOP,Away,87,96,0
