player,played,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,game_id,team,opponent,location,team_score,opponent_score,win
Shai Gilgeous-Alexander,1,36.016666666666666,12,18,0.667,2,5,0.4,5,5,1.0,0,5,5,10,1,2,1,0,31,19.0,0.767,0.722,0.278,0.278,0.0,13.1,7.8,45.9,1.4,5.1,4.7,26.9,161.0,105.0,17.3,5e8282c4-5960-455e-b59f-f79bf6e8b416,OKC,CHI,Away,124,104,1
Luguentz Dort,1,32.583333333333336,3,8,0.375,2,5,0.4,0,0,0.0,0,7,7,2,2,1,2,1,8,13.0,0.5,0.5,0.625,0.0,0.0,20.2,12.1,7.3,3.0,2.8,20.0,14.0,86.0,99.0,-0.5,5e8282c4-5960-455e-b59f-f79bf6e8b416,OKC,CHI,Away,124,104,1
Jalen Williams,1,31.8,5,11,0.455,2,6,0.333,4,4,1.0,0,3,3,5,1,0,2,3,16,8.0,0.627,0.545,0.545,0.364,0.0,8.9,5.3,20.2,1.5,0.0,13.6,21.2,122.0,109.0,-0.7,5e8282c4-5960-455e-b59f-f79bf6e8b416,OKC,CHI,Away,124,104,1
Josh Giddey,1,31.783333333333335,7,14,0.5,2,3,0.667,0,0,0.0,1,5,6,6,0,0,3,1,16,19.0,0.571,0.571,0.214,0.0,4.4,14.8,10.7,26.3,0.0,0.0,17.6,24.5,110.0,110.0,-1.1,5e8282c4-5960-455e-b59f-f79bf6e8b416,OKC,CHI,Away,124,104,1
Chet Holmgren,1,25.116666666666667,4,7,0.571,2,3,0.667,1,3,0.333,0,4,4,3,1,0,1,3,11,14.0,0.661,0.714,0.429,0.429,0.0,15.0,9.0,15.3,1.9,0.0,10.7,17.0,123.0,105.0,2.7,5e8282c4-5960-455e-b59f-f79bf6e8b416,OKC,CHI,Away,124,104,1
Isaiah Joe,1,21.616666666666667,4,8,0.5,3,6,0.5,3,4,0.75,1,4,5,2,1,0,2,2,14,14.0,0.717,0.688,0.75,0.5,6.5,17.4,13.1,12.3,2.3,0.0,17.0,24.9,123.0,104.0,3.9,5e8282c4-5960-455e-b59f-f79bf6e8b416,OKC,CHI,Away,124,104,1
Cason Wallace,1,19.033333333333335,5,5,1.0,3,3,1.0,0,0,0.0,0,2,2,1,0,1,1,3,13,9.0,1.3,1.3,0.6,0.0,0.0,9.9,5.9,7.8,0.0,4.8,16.7,14.4,186.0,109.0,13.0,5e8282c4-5960-455e-b59f-f79bf6e8b416,OKC,CHI,Away,124,104,1
Ousmane Dieng,1,14.25,3,5,0.6,3,5,0.6,0,0,0.0,1,1,2,0,0,0,1,1,9,2.0,0.9,0.9,1.0,0.0,9.9,6.6,7.9,0.0,0.0,0.0,16.7,19.3,131.0,113.0,4.7,5e8282c4-5960-455e-b59f-f79bf6e8b416,OKC,CHI,Away,124,104,1
Aaron Wiggins,1,10.8,1,3,0.333,0,1,0.0,0,0,0.0,1,2,3,0,0,0,1,2,2,-4.0,0.333,0.333,0.333,0.0,13.1,17.4,15.7,0.0,0.0,0.0,25.0,16.9,68.0,109.0,-16.5,5e8282c4-5960-455e-b59f-f79bf6e8b416,OKC,CHI,Away,124,104,1
Olivier Sarr,1,10.5,1,1,1.0,0,0,0.0,2,2,1.0,1,3,4,0,0,0,1,3,4,6.0,1.064,1.0,0.0,2.0,13.4,26.9,21.5,0.0,0.0,0.0,34.7,12.5,148.0,105.0,-4.3,5e8282c4-5960-455e-b59f-f79bf6e8b416,OKC,CHI,Away,124,104,1
