player,played,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,game_id,team,opponent,location,team_score,opponent_score,win
Paolo Banchero,1,27.9,3,6,0.5,0,1,0.0,6,7,0.857,0,5,5,5,1,0,1,2,12,13.0,0.661,0.5,0.167,1.167,0.0,18.3,9.8,23.4,1.8,0.0,9.9,15.4,148.0,93.0,7.4,3e1f331f-b87c-426b-b267-ffd4ac9f1dc3,ORL,HOU,Home,116,86,1
Franz Wagner,1,27.05,5,12,0.417,3,7,0.429,6,6,1.0,3,1,4,2,1,0,3,1,19,10.0,0.649,0.542,0.583,0.5,13.0,3.8,8.1,10.7,1.9,0.0,17.0,27.8,130.0,96.0,7.1,3e1f331f-b87c-426b-b267-ffd4ac9f1dc3,ORL,HOU,Home,116,86,1
Wendell Carter Jr.,1,26.916666666666668,4,10,0.4,0,2,0.0,0,0,0.0,4,4,8,1,2,0,2,3,8,8.0,0.4,0.4,0.2,0.0,17.4,15.2,16.2,5.1,3.8,0.0,16.7,19.0,95.0,89.0,-4.2,3e1f331f-b87c-426b-b267-ffd4ac9f1dc3,ORL,HOU,Home,116,86,1
Markelle Fultz,1,24.516666666666666,5,9,0.556,0,0,0.0,0,0,0.0,3,1,4,2,3,0,1,0,10,12.0,0.556,0.556,0.0,0.0,14.3,4.2,8.9,12.2,6.3,0.0,10.0,17.4,127.0,86.0,9.5,3e1f331f-b87c-426b-b267-ffd4ac9f1dc3,ORL,HOU,Home,116,86,1
Jalen Suggs,1,20.85,3,12,0.25,2,7,0.286,0,0,0.0,1,3,4,0,0,0,0,2,8,5.0,0.333,0.333,0.583,0.0,5.6,14.7,10.5,0.0,0.0,0.0,0.0,24.6,93.0,98.0,-10.4,3e1f331f-b87c-426b-b267-ffd4ac9f1dc3,ORL,HOU,Home,116,86,1
Cole Anthony,1,24.083333333333332,8,12,0.667,1,2,0.5,3,3,1.0,1,7,8,2,0,0,0,2,20,17.0,0.751,0.708,0.167,0.25,4.9,29.7,18.1,15.3,0.0,0.0,0.0,23.6,170.0,94.0,13.8,3e1f331f-b87c-426b-b267-ffd4ac9f1dc3,ORL,HOU,Home,116,86,1
Joe Ingles,1,18.233333333333334,0,3,0.0,0,3,0.0,0,0,0.0,0,4,4,5,0,0,1,3,0,9.0,0.0,0.0,1.0,0.0,0.0,22.4,12.0,31.3,0.0,0.0,25.0,9.4,71.0,95.0,-7.8,3e1f331f-b87c-426b-b267-ffd4ac9f1dc3,ORL,HOU,Home,116,86,1
Gary Harris,1,16.95,5,8,0.625,1,4,0.25,0,0,0.0,3,2,5,0,0,1,0,0,11,8.0,0.688,0.688,0.5,0.0,20.7,12.1,16.1,0.0,0.0,6.3,0.0,20.1,160.0,94.0,13.4,3e1f331f-b87c-426b-b267-ffd4ac9f1dc3,ORL,HOU,Home,116,86,1
Moritz Wagner,1,15.35,0,1,0.0,0,1,0.0,2,2,1.0,0,4,4,0,0,1,3,4,2,13.0,0.532,0.0,1.0,2.0,0.0,26.6,14.2,0.0,0.0,6.9,61.5,13.6,43.0,89.0,-14.9,3e1f331f-b87c-426b-b267-ffd4ac9f1dc3,ORL,HOU,Home,116,86,1
Jonathan Isaac,1,14.15,4,6,0.667,1,3,0.333,2,3,0.667,1,3,4,0,0,2,2,2,11,10.0,0.751,0.75,0.5,0.5,8.3,21.7,15.4,0.0,0.0,15.1,21.5,28.1,120.0,85.0,6.9,3e1f331f-b87c-426b-b267-ffd4ac9f1dc3,ORL,HOU,Home,116,86,1
