player,played,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,game_id,team,opponent,location,team_score,opponent_score,win
Tyrese Maxey,1,40.21666666666667,10,22,0.455,3,8,0.375,8,10,0.8,0,4,4,8,2,0,0,3,31,0.0,0.587,0.523,0.364,0.455,0.0,11.1,5.8,32.9,2.3,0.0,0.0,29.4,130.0,116.0,6.3,113df98a-698a-419b-8587-797fd4dd208e,PHI,MIL,Away,117,118,0
Tobias Harris,1,37.05,8,9,0.889,3,3,1.0,1,2,0.5,0,7,7,2,0,0,2,2,20,-14.0,1.012,1.056,0.333,0.222,0.0,21.1,11.1,8.5,0.0,0.0,16.8,14.3,154.0,120.0,5.0,113df98a-698a-419b-8587-797fd4dd208e,PHI,MIL,Away,117,118,0
Joel Embiid,1,36.43333333333333,9,21,0.429,3,7,0.429,3,8,0.375,0,7,7,6,0,1,7,5,24,-1.0,0.489,0.5,0.333,0.381,0.0,21.4,11.2,27.1,0.0,2.6,22.2,38.7,83.0,118.0,-7.7,113df98a-698a-419b-8587-797fd4dd208e,PHI,MIL,Away,117,118,0
P.J. Tucker,1,25.583333333333332,0,2,0.0,0,2,0.0,0,0,0.0,1,6,7,0,2,0,0,5,0,2.0,0.0,0.0,1.0,0.0,4.8,26.2,16.0,0.0,3.7,0.0,0.0,3.5,44.0,110.0,-5.3,113df98a-698a-419b-8587-797fd4dd208e,PHI,MIL,Away,117,118,0
De'Anthony Melton,1,24.883333333333333,3,10,0.3,2,6,0.333,2,2,1.0,1,1,2,4,2,0,1,2,10,-4.0,0.46,0.4,0.6,0.2,4.9,4.5,4.7,21.9,3.8,0.0,8.4,21.4,104.0,114.0,0.0,113df98a-698a-419b-8587-797fd4dd208e,PHI,MIL,Away,117,118,0
Kelly Oubre Jr.,1,32.46666666666667,9,11,0.818,5,6,0.833,4,4,1.0,1,3,4,0,1,0,3,4,27,14.0,1.058,1.045,0.545,0.364,3.8,10.3,7.2,0.0,1.5,0.0,19.0,21.7,152.0,118.0,9.6,113df98a-698a-419b-8587-797fd4dd208e,PHI,MIL,Away,117,118,0
Danny Green,1,13.683333333333334,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,1,1,0,0,0,0,2.0,0.0,0.0,1.0,0.0,0.0,16.3,8.6,8.6,3.5,0.0,0.0,3.3,60.0,113.0,-1.1,113df98a-698a-419b-8587-797fd4dd208e,PHI,MIL,Away,117,118,0
Patrick Beverley,1,13.55,1,1,1.0,0,0,0.0,0,0,0.0,0,2,2,2,0,0,0,2,2,6.0,1.0,1.0,0.0,0.0,0.0,16.5,8.6,18.9,0.0,0.0,0.0,3.3,218.0,120.0,-1.0,113df98a-698a-419b-8587-797fd4dd208e,PHI,MIL,Away,117,118,0
Paul Reed,1,11.566666666666666,1,2,0.5,0,1,0.0,1,2,0.5,1,3,4,2,0,1,2,4,3,0.0,0.521,0.5,0.5,1.0,10.6,29.0,20.2,22.5,0.0,8.1,41.0,18.9,91.0,111.0,-6.3,113df98a-698a-419b-8587-797fd4dd208e,PHI,MIL,Away,117,118,0
Jaden Springer,1,4.566666666666666,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,2,0,1,0,-10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.2,0.0,9.8,0.0,93.0,3.0,113df98a-698a-419b-8587-797fd4dd208e,PHI,MIL,Away,117,118,0
Mo Bamba,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113df98a-698a-419b-8587-797fd4dd208e,PHI,MIL,Away,117,118,0
Danuel House Jr.,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113df98a-698a-419b-8587-797fd4dd208e,PHI,MIL,Away,117,118,0
Furkan Korkmaz,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113df98a-698a-419b-8587-797fd4dd208e,PHI,MIL,Away,117,118,0
Filip PetruÅ¡ev,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113df98a-698a-419b-8587-797fd4dd208e,PHI,MIL,Away,117,118,0
Tyrese Maxey,1,40.56666666666667,12,20,0.6,7,9,0.778,3,3,1.0,1,5,6,7,0,1,1,1,34,10.0,0.797,0.775,0.45,0.15,3.2,12.9,8.6,28.8,0.0,2.2,4.5,25.3,159.0,121.0,14.7,fce976eb-90d3-4e9e-ae43-9669b05165f1,PHI,TOR,Away,114,107,1
Tobias Harris,1,35.8,4,10,0.4,1,4,0.25,6,7,0.857,1,1,2,2,2,2,2,1,15,0.0,0.573,0.45,0.4,0.7,3.6,2.9,3.2,7.1,2.9,4.9,13.3,19.4,113.0,116.0,-0.9,fce976eb-90d3-4e9e-ae43-9669b05165f1,PHI,TOR,Away,114,107,1
Joel Embiid,1,35.35,14,21,0.667,1,3,0.333,5,6,0.833,0,9,9,8,1,2,1,0,34,-2.0,0.719,0.69,0.143,0.286,0.0,26.6,14.7,45.3,1.5,4.9,4.1,32.1,149.0,110.0,21.2,fce976eb-90d3-4e9e-ae43-9669b05165f1,PHI,TOR,Away,114,107,1
De'Anthony Melton,1,31.783333333333335,1,7,0.143,0,4,0.0,0,0,0.0,0,5,5,4,1,1,2,2,2,0.0,0.143,0.143,0.571,0.0,0.0,16.4,9.1,14.6,1.6,2.7,22.2,13.0,51.0,115.0,-11.9,fce976eb-90d3-4e9e-ae43-9669b05165f1,PHI,TOR,Away,114,107,1
P.J. Tucker,1,21.2,1,1,1.0,1,1,1.0,0,0,0.0,0,3,3,0,0,0,1,3,3,0.0,1.5,1.5,1.0,0.0,0.0,14.8,8.2,0.0,0.0,0.0,50.0,4.3,99.0,121.0,-6.6,fce976eb-90d3-4e9e-ae43-9669b05165f1,PHI,TOR,Away,114,107,1
Kelly Oubre Jr.,1,29.366666666666667,7,17,0.412,0,6,0.0,4,5,0.8,2,3,5,2,3,0,0,3,18,3.0,0.469,0.412,0.353,0.294,8.8,10.7,9.8,10.4,5.3,0.0,0.0,30.1,111.0,110.0,-2.4,fce976eb-90d3-4e9e-ae43-9669b05165f1,PHI,TOR,Away,114,107,1
Patrick Beverley,1,16.966666666666665,1,2,0.5,0,0,0.0,0,0,0.0,3,2,5,2,0,0,1,2,2,10.0,0.5,0.5,0.0,0.0,22.9,12.3,17.0,14.1,0.0,0.0,33.3,8.1,126.0,122.0,-6.1,fce976eb-90d3-4e9e-ae43-9669b05165f1,PHI,TOR,Away,114,107,1
Paul Reed,1,12.65,2,4,0.5,0,0,0.0,0,0,0.0,2,3,5,0,1,0,1,4,4,9.0,0.5,0.5,0.0,0.0,20.5,24.7,22.9,0.0,4.1,0.0,20.0,18.2,100.0,107.0,-11.7,fce976eb-90d3-4e9e-ae43-9669b05165f1,PHI,TOR,Away,114,107,1
Danuel House Jr.,1,11.55,1,3,0.333,0,1,0.0,0,0,0.0,0,2,2,0,0,1,0,1,2,7.0,0.333,0.333,0.333,0.0,0.0,18.1,10.0,0.0,0.0,7.6,0.0,12.0,72.0,115.0,-8.8,fce976eb-90d3-4e9e-ae43-9669b05165f1,PHI,TOR,Away,114,107,1
Danny Green,1,4.766666666666667,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7,0.0,127.0,-22.6,fce976eb-90d3-4e9e-ae43-9669b05165f1,PHI,TOR,Away,114,107,1
Mo Bamba,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fce976eb-90d3-4e9e-ae43-9669b05165f1,PHI,TOR,Away,114,107,1
Furkan Korkmaz,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fce976eb-90d3-4e9e-ae43-9669b05165f1,PHI,TOR,Away,114,107,1
Filip PetruÅ¡ev,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fce976eb-90d3-4e9e-ae43-9669b05165f1,PHI,TOR,Away,114,107,1
Jaden Springer,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fce976eb-90d3-4e9e-ae43-9669b05165f1,PHI,TOR,Away,114,107,1
Tobias Harris,1,37.733333333333334,8,11,0.727,2,4,0.5,6,7,0.857,0,5,5,2,1,2,3,3,24,31.0,0.852,0.818,0.364,0.636,0.0,11.8,6.8,8.5,1.3,4.0,17.6,19.0,137.0,101.0,3.5,70c067cf-cae4-4e06-bddc-60cfd11edb85,PHI,POR,Home,126,98,1
Tyrese Maxey,1,34.71666666666667,6,14,0.429,4,8,0.5,10,10,1.0,1,9,10,4,0,0,2,1,26,19.0,0.707,0.571,0.571,0.714,3.5,23.0,14.9,17.4,0.0,0.0,9.8,24.6,142.0,101.0,2.9,70c067cf-cae4-4e06-bddc-60cfd11edb85,PHI,POR,Home,126,98,1
De'Anthony Melton,1,30.55,4,9,0.444,1,2,0.5,3,3,1.0,0,2,2,8,2,0,1,2,12,27.0,0.581,0.5,0.222,0.333,0.0,5.8,3.4,37.3,3.1,0.0,8.8,15.5,136.0,102.0,3.1,70c067cf-cae4-4e06-bddc-60cfd11edb85,PHI,POR,Home,126,98,1
Joel Embiid,1,29.416666666666668,12,22,0.545,2,4,0.5,9,12,0.75,5,10,15,7,2,6,3,3,35,28.0,0.641,0.591,0.182,0.545,20.9,30.2,26.3,55.9,3.2,15.5,9.9,43.1,133.0,82.0,23.3,70c067cf-cae4-4e06-bddc-60cfd11edb85,PHI,POR,Home,126,98,1
P.J. Tucker,1,19.566666666666666,1,2,0.5,1,2,0.5,0,0,0.0,0,4,4,0,1,2,1,1,3,26.0,0.75,0.75,1.0,0.0,0.0,18.2,10.6,0.0,2.4,7.8,33.3,6.4,84.0,93.0,0.6,70c067cf-cae4-4e06-bddc-60cfd11edb85,PHI,POR,Home,126,98,1
Kelly Oubre Jr.,1,25.75,3,10,0.3,0,4,0.0,6,6,1.0,1,2,3,0,2,1,1,1,12,-1.0,0.475,0.3,0.4,0.6,4.8,6.9,6.0,0.0,3.7,3.0,7.3,22.2,103.0,98.0,-6.4,70c067cf-cae4-4e06-bddc-60cfd11edb85,PHI,POR,Home,126,98,1
Patrick Beverley,1,20.433333333333334,2,3,0.667,0,0,0.0,0,0,0.0,1,1,2,2,1,3,1,3,4,8.0,0.667,0.667,0.0,0.0,6.0,4.4,5.1,13.3,2.3,11.2,25.0,8.2,121.0,97.0,2.6,70c067cf-cae4-4e06-bddc-60cfd11edb85,PHI,POR,Home,126,98,1
Paul Reed,1,17.05,1,5,0.2,0,2,0.0,0,0,0.0,1,4,5,1,0,1,1,2,2,0.0,0.2,0.2,0.4,0.0,7.2,20.9,15.1,7.6,0.0,4.5,16.7,14.7,59.0,100.0,-14.1,70c067cf-cae4-4e06-bddc-60cfd11edb85,PHI,POR,Home,126,98,1
Danuel House Jr.,1,10.266666666666667,1,2,0.5,0,1,0.0,0,0,0.0,1,1,2,2,1,0,1,0,2,-3.0,0.5,0.5,0.5,0.0,12.0,8.7,10.1,26.5,4.6,0.0,33.3,12.2,106.0,97.0,2.0,70c067cf-cae4-4e06-bddc-60cfd11edb85,PHI,POR,Home,126,98,1
Jaden Springer,1,7.6,1,3,0.333,0,0,0.0,0,0,0.0,1,1,2,2,0,1,1,4,2,-1.0,0.333,0.333,0.0,0.0,16.2,11.7,13.6,37.5,0.0,10.0,25.0,22.0,90.0,100.0,-10.7,70c067cf-cae4-4e06-bddc-60cfd11edb85,PHI,POR,Home,126,98,1
Furkan Korkmaz,1,2.6833333333333336,1,1,1.0,1,1,1.0,1,2,0.5,0,0,0,0,0,0,0,0,4,3.0,1.064,1.5,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,165.0,111.0,27.6,70c067cf-cae4-4e06-bddc-60cfd11edb85,PHI,POR,Home,126,98,1
Filip PetruÅ¡ev,1,2.6833333333333336,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,3.0,0.0,0.0,0.0,0.0,0.0,33.1,19.2,0.0,0.0,0.0,0.0,0.0,0.0,97.0,-4.9,70c067cf-cae4-4e06-bddc-60cfd11edb85,PHI,POR,Home,126,98,1
Mo Bamba,1,1.5333333333333332,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.7,0.0,0.0,0.0,80.0,13.6,70c067cf-cae4-4e06-bddc-60cfd11edb85,PHI,POR,Home,126,98,1
Danny Green,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70c067cf-cae4-4e06-bddc-60cfd11edb85,PHI,POR,Home,126,98,1
Tobias Harris,1,40.016666666666666,10,17,0.588,2,6,0.333,1,2,0.5,0,7,7,3,3,0,2,1,23,6.0,0.643,0.647,0.353,0.118,0.0,21.0,9.7,12.0,3.7,0.0,10.1,20.4,123.0,99.0,6.8,7eeebc10-3a53-4e38-9244-ddce1d8f6bec,PHI,TOR,Home,114,99,1
Tyrese Maxey,1,40.016666666666666,7,16,0.438,0,3,0.0,4,4,1.0,0,1,1,4,2,0,1,1,18,6.0,0.507,0.438,0.188,0.25,0.0,3.0,1.4,14.3,2.5,0.0,5.3,19.2,115.0,106.0,-1.0,7eeebc10-3a53-4e38-9244-ddce1d8f6bec,PHI,TOR,Home,114,99,1
Joel Embiid,1,34.75,8,22,0.364,0,2,0.0,12,13,0.923,5,8,13,7,0,1,4,2,28,22.0,0.505,0.364,0.091,0.591,14.7,27.6,20.6,31.2,0.0,2.7,12.6,37.4,114.0,104.0,6.1,7eeebc10-3a53-4e38-9244-ddce1d8f6bec,PHI,TOR,Home,114,99,1
Kelly Oubre Jr.,1,29.883333333333333,8,13,0.615,5,6,0.833,2,3,0.667,3,2,5,0,1,0,0,3,23,8.0,0.803,0.808,0.462,0.231,10.3,8.0,9.2,0.0,1.7,0.0,0.0,19.7,169.0,106.0,12.8,7eeebc10-3a53-4e38-9244-ddce1d8f6bec,PHI,TOR,Home,114,99,1
De'Anthony Melton,1,21.333333333333332,1,6,0.167,1,3,0.333,1,2,0.5,0,5,5,5,1,0,1,4,4,10.0,0.291,0.25,0.5,0.333,0.0,28.1,12.9,28.3,2.3,0.0,12.7,15.2,87.0,100.0,-4.0,7eeebc10-3a53-4e38-9244-ddce1d8f6bec,PHI,TOR,Home,114,99,1
Patrick Beverley,1,28.083333333333332,1,6,0.167,0,3,0.0,0,0,0.0,3,2,5,1,2,1,2,3,2,10.0,0.167,0.167,0.5,0.0,10.9,8.5,9.8,4.2,3.5,3.4,25.0,11.7,57.0,100.0,-7.7,7eeebc10-3a53-4e38-9244-ddce1d8f6bec,PHI,TOR,Home,114,99,1
