player,played,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,game_id,team,opponent,location,team_score,opponent_score,win
Devin Booker,1,36.96666666666667,13,21,0.619,3,8,0.375,3,3,1.0,1,5,6,8,1,0,6,4,32,5.0,0.717,0.69,0.381,0.143,2.7,10.6,7.1,41.4,1.3,0.0,21.2,30.3,123.0,105.0,9.5,2389064f-fa7d-4b49-a57a-a57efdb9e75b,PHO,GSW,Away,108,104,1
Kevin Durant,1,36.78333333333333,7,22,0.318,1,2,0.5,3,5,0.6,2,9,11,3,0,1,2,1,18,0.0,0.372,0.341,0.091,0.227,5.4,19.3,13.2,11.9,0.0,2.2,7.6,28.1,89.0,102.0,-4.7,2389064f-fa7d-4b49-a57a-a57efdb9e75b,PHO,GSW,Away,108,104,1
Josh Okogie,1,31.633333333333333,7,9,0.778,1,1,1.0,2,2,1.0,4,1,5,1,1,0,2,2,17,2.0,0.86,0.833,0.111,0.222,12.6,2.5,7.0,4.8,1.5,0.0,16.8,14.8,148.0,109.0,6.9,2389064f-fa7d-4b49-a57a-a57efdb9e75b,PHO,GSW,Away,108,104,1
Jusuf NurkiÄ,1,27.866666666666667,5,8,0.625,1,2,0.5,3,3,1.0,3,11,14,3,0,1,1,5,14,2.0,0.751,0.688,0.25,0.375,10.8,31.1,22.1,15.5,0.0,3.0,9.7,14.6,155.0,94.0,8.4,2389064f-fa7d-4b49-a57a-a57efdb9e75b,PHO,GSW,Away,108,104,1
Grayson Allen,1,20.916666666666668,0,6,0.0,0,5,0.0,0,0,0.0,3,1,4,2,0,0,1,2,0,-4.0,0.0,0.0,0.833,0.0,14.3,3.8,8.4,10.9,0.0,0.0,14.3,13.2,44.0,112.0,-14.3,2389064f-fa7d-4b49-a57a-a57efdb9e75b,PHO,GSW,Away,108,104,1
Eric Gordon,1,31.65,4,16,0.25,2,9,0.222,0,0,0.0,1,3,4,1,1,1,1,2,10,6.0,0.313,0.313,0.563,0.0,3.2,7.5,5.6,4.2,1.5,2.6,5.9,21.2,77.0,105.0,-7.4,2389064f-fa7d-4b49-a57a-a57efdb9e75b,PHO,GSW,Away,108,104,1
Drew Eubanks,1,19.233333333333334,1,3,0.333,0,0,0.0,2,4,0.5,2,5,7,2,0,3,3,3,4,-2.0,0.42,0.333,0.0,1.333,10.4,20.5,16.0,12.6,0.0,12.9,38.7,15.9,74.0,96.0,-2.9,2389064f-fa7d-4b49-a57a-a57efdb9e75b,PHO,GSW,Away,108,104,1
Yuta Watanabe,1,17.883333333333333,3,5,0.6,2,4,0.5,0,0,0.0,0,4,4,0,0,1,1,2,8,7.0,0.8,0.8,0.8,0.0,0.0,17.6,9.8,0.0,0.0,4.6,16.7,13.3,127.0,101.0,4.4,2389064f-fa7d-4b49-a57a-a57efdb9e75b,PHO,GSW,Away,108,104,1
Jordan Goodwin,1,14.183333333333334,1,4,0.25,0,1,0.0,0,0,0.0,1,3,4,3,1,0,2,0,2,7.0,0.25,0.25,0.25,0.0,7.1,16.6,12.4,26.3,3.3,0.0,33.3,16.7,68.0,97.0,-2.6,2389064f-fa7d-4b49-a57a-a57efdb9e75b,PHO,GSW,Away,108,104,1
Nassir Little,1,2.8833333333333333,1,1,1.0,1,1,1.0,0,0,0.0,0,1,1,0,1,0,0,1,3,-3.0,1.5,1.5,1.0,0.0,0.0,27.3,15.3,0.0,16.4,0.0,0.0,13.7,300.0,61.0,45.6,2389064f-fa7d-4b49-a57a-a57efdb9e75b,PHO,GSW,Away,108,104,1
