player,played,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,game_id,team,opponent,location,team_score,opponent_score,win
Scoot Henderson,1,35.833333333333336,5,11,0.455,0,3,0.0,1,1,1.0,1,2,3,4,0,0,4,2,11,-16.0,0.481,0.455,0.273,0.091,2.9,6.9,4.7,14.4,0.0,0.0,25.9,17.6,88.0,133.0,-11.4,6d6bca29-ce0b-41b9-b26c-dd4ba35356a6,POR,LAC,Away,111,123,0
Jerami Grant,1,29.95,5,12,0.417,0,4,0.0,3,4,0.75,2,1,3,1,0,1,3,1,13,-22.0,0.472,0.417,0.333,0.333,7.0,4.1,5.7,4.5,0.0,2.9,17.9,22.9,91.0,133.0,-9.4,6d6bca29-ce0b-41b9-b26c-dd4ba35356a6,POR,LAC,Away,111,123,0
Anfernee Simons,1,27.366666666666667,6,14,0.429,2,6,0.333,4,4,1.0,1,1,2,4,2,0,0,2,18,-27.0,0.571,0.5,0.429,0.286,3.8,4.5,4.1,21.0,3.6,0.0,0.0,23.5,140.0,126.0,7.1,6d6bca29-ce0b-41b9-b26c-dd4ba35356a6,POR,LAC,Away,111,123,0
Deandre Ayton,1,23.08333333333333,2,4,0.5,0,0,0.0,0,0,0.0,3,9,12,1,3,1,3,5,4,-5.0,0.5,0.5,0.0,0.0,13.6,48.0,29.4,5.2,6.3,3.7,42.9,12.4,80.0,103.0,-4.2,6d6bca29-ce0b-41b9-b26c-dd4ba35356a6,POR,LAC,Away,111,123,0
Matisse Thybulle,1,20.08333333333333,3,7,0.429,2,6,0.333,0,0,0.0,1,0,1,1,1,0,2,0,8,-12.0,0.571,0.571,0.857,0.0,5.2,0.0,2.8,6.5,2.4,0.0,22.2,18.3,100.0,130.0,-2.5,6d6bca29-ce0b-41b9-b26c-dd4ba35356a6,POR,LAC,Away,111,123,0
Shaedon Sharpe,1,28.48333333333333,6,14,0.429,1,6,0.167,1,1,1.0,4,2,6,3,1,0,0,4,14,10.0,0.485,0.464,0.429,0.071,14.7,8.6,11.9,14.9,1.7,0.0,0.0,20.7,127.0,129.0,-0.3,6d6bca29-ce0b-41b9-b26c-dd4ba35356a6,POR,LAC,Away,111,123,0
Robert Williams,1,23.216666666666665,5,7,0.714,0,0,0.0,0,1,0.0,2,5,7,0,3,1,2,4,10,-23.0,0.672,0.714,0.0,0.143,9.0,26.5,17.0,0.0,6.3,3.7,21.2,16.6,108.0,110.0,0.2,6d6bca29-ce0b-41b9-b26c-dd4ba35356a6,POR,LAC,Away,111,123,0
Malcolm Brogdon,1,22.65,8,16,0.5,3,5,0.6,1,1,1.0,0,2,2,5,0,0,1,0,20,-5.0,0.608,0.594,0.313,0.063,0.0,10.9,5.0,39.2,0.0,0.0,5.7,31.5,133.0,132.0,9.1,6d6bca29-ce0b-41b9-b26c-dd4ba35356a6,POR,LAC,Away,111,123,0
Toumani Camara,1,15.85,2,5,0.4,2,2,1.0,1,2,0.5,0,2,2,1,0,1,0,2,7,13.0,0.595,0.6,0.4,0.4,0.0,15.5,7.1,8.0,0.0,5.4,0.0,15.2,137.0,127.0,2.2,6d6bca29-ce0b-41b9-b26c-dd4ba35356a6,POR,LAC,Away,111,123,0
Jabari Walker,1,6.35,2,3,0.667,0,0,0.0,2,3,0.667,1,0,1,0,0,0,2,0,6,12.0,0.694,0.667,0.0,1.0,16.4,0.0,8.9,0.0,0.0,0.0,31.6,40.7,97.0,135.0,-8.8,6d6bca29-ce0b-41b9-b26c-dd4ba35356a6,POR,LAC,Away,111,123,0
Kris Murray,1,5.3,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,12.0,0.0,0.0,0.0,0.0,0.0,23.2,10.7,0.0,0.0,0.0,0.0,0.0,0.0,128.0,-6.4,6d6bca29-ce0b-41b9-b26c-dd4ba35356a6,POR,LAC,Away,111,123,0
Rayan Rupert,1,1.8333333333333333,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,-8.3,6d6bca29-ce0b-41b9-b26c-dd4ba35356a6,POR,LAC,Away,111,123,0
Moses Brown,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6d6bca29-ce0b-41b9-b26c-dd4ba35356a6,POR,LAC,Away,111,123,0
Shaedon Sharpe,1,41.4,9,23,0.391,4,11,0.364,2,2,1.0,4,1,5,2,2,0,3,1,24,-4.0,0.503,0.478,0.478,0.087,9.3,2.8,6.3,9.4,2.4,0.0,11.2,27.5,104.0,109.0,3.5,d22ef9a8-fda6-45bc-a445-e3cd39f37bfc,POR,ORL,Home,97,102,0
Jerami Grant,1,36.083333333333336,4,14,0.286,1,5,0.2,6,7,0.857,0,4,4,3,2,0,3,5,15,2.0,0.439,0.321,0.357,0.5,0.0,12.7,5.8,13.4,2.8,0.0,14.9,23.6,90.0,105.0,-4.0,d22ef9a8-fda6-45bc-a445-e3cd39f37bfc,POR,ORL,Home,97,102,0
