player,played,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,game_id,team,opponent,location,team_score,opponent_score,win
Harrison Barnes,1,33.43333333333333,11,16,0.688,5,7,0.714,6,6,1.0,0,4,4,2,1,0,1,2,33,10.0,0.885,0.844,0.438,0.375,0.0,12.5,5.8,9.2,1.4,0.0,5.1,23.2,168.0,114.0,14.0,64a696bf-b87a-42f6-9231-f21ef41216d6,SAC,UTA,Away,130,114,1
De'Aaron Fox,1,32.95,6,18,0.333,1,7,0.143,5,6,0.833,2,3,5,6,1,1,3,4,18,14.0,0.436,0.361,0.389,0.333,5.5,9.5,7.4,22.8,1.4,2.3,12.7,28.3,100.0,114.0,-5.9,64a696bf-b87a-42f6-9231-f21ef41216d6,SAC,UTA,Away,130,114,1
Domantas Sabonis,1,32.13333333333333,8,14,0.571,1,2,0.5,5,7,0.714,6,6,12,5,1,2,3,3,22,5.0,0.644,0.607,0.143,0.5,16.9,19.5,18.1,21.3,1.5,4.7,14.9,24.6,131.0,109.0,7.3,64a696bf-b87a-42f6-9231-f21ef41216d6,SAC,UTA,Away,130,114,1
Keegan Murray,1,29.683333333333334,5,13,0.385,4,9,0.444,1,1,1.0,2,6,8,1,1,2,0,4,15,12.0,0.558,0.538,0.692,0.077,6.1,21.1,13.1,4.2,1.6,5.1,0.0,17.8,127.0,108.0,2.9,64a696bf-b87a-42f6-9231-f21ef41216d6,SAC,UTA,Away,130,114,1
Kevin Huerter,1,23.566666666666663,3,9,0.333,1,5,0.2,0,0,0.0,2,3,5,2,0,0,1,3,7,6.0,0.389,0.389,0.556,0.0,7.7,13.3,10.3,10.0,0.0,0.0,10.0,16.7,96.0,117.0,-9.6,64a696bf-b87a-42f6-9231-f21ef41216d6,SAC,UTA,Away,130,114,1
Malik Monk,1,23.133333333333333,4,12,0.333,2,9,0.222,0,0,0.0,1,1,2,7,0,2,2,2,10,12.0,0.417,0.417,0.75,0.0,3.9,4.5,4.2,37.5,0.0,6.6,14.3,23.8,103.0,117.0,0.0,64a696bf-b87a-42f6-9231-f21ef41216d6,SAC,UTA,Away,130,114,1
Sasha Vezenkov,1,15.616666666666667,3,6,0.5,2,5,0.4,0,0,0.0,1,1,2,0,2,0,0,1,8,9.0,0.667,0.667,0.833,0.0,5.8,6.7,6.2,0.0,6.1,0.0,0.0,15.1,140.0,106.0,6.8,64a696bf-b87a-42f6-9231-f21ef41216d6,SAC,UTA,Away,130,114,1
Chris Duarte,1,14.733333333333333,3,5,0.6,3,4,0.75,0,0,0.0,1,1,2,1,0,0,0,3,9,5.0,0.9,0.9,0.8,0.0,6.1,7.1,6.6,8.8,0.0,0.0,0.0,13.4,182.0,119.0,7.7,64a696bf-b87a-42f6-9231-f21ef41216d6,SAC,UTA,Away,130,114,1
Davion Mitchell,1,13.816666666666666,0,3,0.0,0,2,0.0,0,0,0.0,0,3,3,4,0,0,1,3,0,4.0,0.0,0.0,0.667,0.0,0.0,22.7,10.5,29.6,0.0,0.0,25.0,11.4,61.0,113.0,-13.8,64a696bf-b87a-42f6-9231-f21ef41216d6,SAC,UTA,Away,130,114,1
JaVale McGee,1,13.45,4,4,1.0,0,0,0.0,0,0,0.0,0,1,1,1,0,1,0,0,8,13.0,1.0,1.0,0.0,0.0,0.0,7.8,3.6,10.9,0.0,5.7,0.0,11.7,204.0,117.0,10.3,64a696bf-b87a-42f6-9231-f21ef41216d6,SAC,UTA,Away,130,114,1
