player,played,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,game_id,team,opponent,location,team_score,opponent_score,win
Devin Vassell,1,35.25,9,17,0.529,1,6,0.167,4,5,0.8,1,4,5,3,2,0,2,2,23,4.0,0.599,0.559,0.353,0.294,3.1,11.1,7.3,12.1,2.6,0.0,9.4,24.5,114.0,119.0,-0.8,68f10ebb-eaa0-485a-a2a8-a3a26ac8566b,SAS,DAL,Home,119,126,0
Zach Collins,1,31.916666666666668,6,10,0.6,0,4,0.0,2,2,1.0,1,4,5,3,1,2,3,4,14,-4.0,0.643,0.6,0.4,0.2,3.4,12.3,8.1,12.2,1.4,5.8,21.6,17.7,107.0,117.0,-2.4,68f10ebb-eaa0-485a-a2a8-a3a26ac8566b,SAS,DAL,Home,119,126,0
Keldon Johnson,1,31.733333333333334,7,15,0.467,1,3,0.333,2,3,0.667,2,7,9,7,0,0,3,4,17,0.0,0.521,0.5,0.2,0.2,6.9,21.6,14.6,29.9,0.0,0.0,15.5,24.8,106.0,121.0,-3.0,68f10ebb-eaa0-485a-a2a8-a3a26ac8566b,SAS,DAL,Home,119,126,0
Jeremy Sochan,1,28.683333333333334,4,12,0.333,2,4,0.5,3,6,0.5,3,5,8,5,1,0,3,4,13,-10.0,0.444,0.417,0.333,0.5,11.4,17.1,14.4,21.3,1.6,0.0,17.0,25.1,95.0,119.0,-5.4,68f10ebb-eaa0-485a-a2a8-a3a26ac8566b,SAS,DAL,Home,119,126,0
Victor Wembanyama,1,23.316666666666666,6,9,0.667,3,5,0.6,0,1,0.0,0,5,5,2,2,1,5,5,15,0.0,0.794,0.833,0.556,0.111,0.0,21.0,11.1,12.2,3.9,4.0,34.6,25.3,87.0,110.0,0.2,68f10ebb-eaa0-485a-a2a8-a3a26ac8566b,SAS,DAL,Home,119,126,0
Tre Jones,1,25.1,5,7,0.714,2,3,0.667,4,4,1.0,1,4,5,6,0,0,1,0,16,1.0,0.913,0.857,0.429,0.571,4.3,15.6,10.3,31.5,0.0,0.0,10.2,15.9,173.0,123.0,9.6,68f10ebb-eaa0-485a-a2a8-a3a26ac8566b,SAS,DAL,Home,119,126,0
Cedi Osman,1,22.266666666666666,5,10,0.5,2,6,0.333,0,0,0.0,0,0,0,2,0,1,0,2,12,-11.0,0.6,0.6,0.6,0.0,0.0,0.0,0.0,12.2,0.0,4.1,0.0,18.3,122.0,125.0,-0.2,68f10ebb-eaa0-485a-a2a8-a3a26ac8566b,SAS,DAL,Home,119,126,0
Malaki Branham,1,17.75,3,7,0.429,0,3,0.0,1,1,1.0,0,2,2,2,1,0,1,1,7,-2.0,0.47,0.429,0.429,0.143,0.0,11.0,5.8,14.3,2.5,0.0,11.8,19.4,93.0,119.0,-5.9,68f10ebb-eaa0-485a-a2a8-a3a26ac8566b,SAS,DAL,Home,119,126,0
Charles Bassey,1,13.05,1,1,1.0,0,0,0.0,0,0,0.0,1,4,5,2,1,0,1,0,2,-6.0,1.0,1.0,0.0,0.0,8.4,30.0,19.8,17.4,3.5,0.0,50.0,6.3,129.0,111.0,4.5,68f10ebb-eaa0-485a-a2a8-a3a26ac8566b,SAS,DAL,Home,119,126,0
Doug McDermott,1,10.933333333333334,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,1,0,1,0,-7.0,0.0,0.0,1.0,0.0,0.0,9.0,4.7,9.5,0.0,8.4,0.0,3.7,58.0,120.0,-6.0,68f10ebb-eaa0-485a-a2a8-a3a26ac8566b,SAS,DAL,Home,119,126,0
