player,played,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,game_id,team,opponent,location,team_score,opponent_score,win
Lauri Markkanen,1,31.6,6,15,0.4,2,6,0.333,5,6,0.833,2,8,10,1,2,0,1,1,19,-7.0,0.539,0.467,0.4,0.4,6.6,22.9,15.3,4.8,3.0,0.0,5.4,23.9,121.0,120.0,2.0,0dbde6c6-beda-4ca5-a99f-01a8e0f2180c,UTA,SAC,Home,114,130,0
John Collins,1,30.933333333333334,6,11,0.545,1,3,0.333,2,2,1.0,3,8,11,2,1,0,0,3,15,-9.0,0.631,0.591,0.273,0.182,10.1,23.4,17.2,9.8,1.5,0.0,0.0,15.5,149.0,124.0,3.4,0dbde6c6-beda-4ca5-a99f-01a8e0f2180c,UTA,SAC,Home,114,130,0
Jordan Clarkson,1,30.733333333333334,8,16,0.5,2,5,0.4,6,8,0.75,2,2,4,6,0,0,2,4,24,-4.0,0.615,0.563,0.313,0.5,6.8,5.9,6.3,32.9,0.0,0.0,9.3,28.3,132.0,134.0,3.6,0dbde6c6-beda-4ca5-a99f-01a8e0f2180c,UTA,SAC,Home,114,130,0
Walker Kessler,1,22.166666666666668,4,5,0.8,0,0,0.0,0,0,0.0,4,4,8,0,0,1,1,3,8,-14.0,0.8,0.8,0.0,0.0,18.8,16.3,17.5,0.0,0.0,4.2,16.7,11.0,143.0,127.0,-1.9,0dbde6c6-beda-4ca5-a99f-01a8e0f2180c,UTA,SAC,Home,114,130,0
Talen Horton-Tucker,1,21.8,3,9,0.333,2,4,0.5,0,0,0.0,0,1,1,4,0,1,1,1,8,-5.0,0.444,0.444,0.444,0.0,0.0,4.2,2.2,25.6,0.0,4.3,10.0,18.6,106.0,132.0,-2.3,0dbde6c6-beda-4ca5-a99f-01a8e0f2180c,UTA,SAC,Home,114,130,0
Collin Sexton,1,19.966666666666665,2,9,0.222,0,2,0.0,5,7,0.714,0,3,3,0,0,0,3,3,9,-10.0,0.373,0.222,0.222,0.778,0.0,13.6,7.3,0.0,0.0,0.0,19.9,30.6,69.0,131.0,-21.4,0dbde6c6-beda-4ca5-a99f-01a8e0f2180c,UTA,SAC,Home,114,130,0
Ochai Agbaji,1,19.45,2,6,0.333,1,2,0.5,0,0,0.0,0,3,3,0,0,0,0,2,5,-11.0,0.417,0.417,0.333,0.0,0.0,14.0,7.5,0.0,0.0,0.0,0.0,12.5,97.0,131.0,-8.8,0dbde6c6-beda-4ca5-a99f-01a8e0f2180c,UTA,SAC,Home,114,130,0
Keyonte George,1,18.883333333333333,3,5,0.6,1,3,0.333,1,1,1.0,0,2,2,2,0,0,1,0,8,-9.0,0.735,0.7,0.6,0.2,0.0,9.6,5.1,15.2,0.0,0.0,15.5,13.8,134.0,132.0,-0.6,0dbde6c6-beda-4ca5-a99f-01a8e0f2180c,UTA,SAC,Home,114,130,0
Kelly Olynyk,1,16.65,2,3,0.667,0,0,0.0,1,1,1.0,3,3,6,4,1,0,1,3,5,-5.0,0.727,0.667,0.0,0.333,18.8,16.3,17.5,32.7,2.8,0.0,22.5,10.8,149.0,123.0,5.5,0dbde6c6-beda-4ca5-a99f-01a8e0f2180c,UTA,SAC,Home,114,130,0
Kris Dunn,1,15.733333333333333,3,6,0.5,0,1,0.0,2,4,0.5,0,1,1,2,2,0,4,0,8,-16.0,0.515,0.5,0.167,0.667,0.0,5.8,3.1,19.2,6.0,0.0,34.0,30.2,75.0,120.0,-6.2,0dbde6c6-beda-4ca5-a99f-01a8e0f2180c,UTA,SAC,Home,114,130,0
