player,played,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,game_id,team,opponent,location,team_score,opponent_score,win
Tyus Jones,1,28.333333333333332,7,12,0.583,2,4,0.5,0,1,0.0,1,2,3,6,1,1,2,1,16,-17.0,0.643,0.667,0.333,0.083,3.3,7.7,5.3,31.6,1.5,2.6,13.9,19.9,119.0,130.0,1.3,5e7d1bcc-4bda-44f7-ab39-7db8e75ed764,WAS,IND,Away,120,143,0
Jordan Poole,1,26.316666666666666,7,18,0.389,0,6,0.0,4,5,0.8,0,2,2,5,1,1,4,1,18,-12.0,0.446,0.389,0.333,0.278,0.0,8.3,3.8,29.2,1.6,2.8,16.5,36.0,84.0,130.0,-9.4,5e7d1bcc-4bda-44f7-ab39-7db8e75ed764,WAS,IND,Away,120,143,0
Kyle Kuzma,1,24.866666666666667,9,18,0.5,1,4,0.25,6,6,1.0,1,1,2,0,0,2,0,0,25,-10.0,0.606,0.528,0.222,0.333,3.7,4.4,4.0,0.0,0.0,6.0,0.0,32.5,125.0,132.0,2.8,5e7d1bcc-4bda-44f7-ab39-7db8e75ed764,WAS,IND,Away,120,143,0
Daniel Gafford,1,21.05,2,2,1.0,0,0,0.0,2,4,0.5,1,4,5,0,0,2,0,5,6,-23.0,0.798,1.0,0.0,2.0,4.4,20.7,11.9,0.0,0.0,7.1,0.0,7.0,164.0,127.0,-6.6,5e7d1bcc-4bda-44f7-ab39-7db8e75ed764,WAS,IND,Away,120,143,0
Deni Avdija,1,20.666666666666668,4,8,0.5,0,0,0.0,1,2,0.5,2,5,7,5,1,0,2,0,9,-15.0,0.507,0.5,0.0,0.25,8.9,26.4,16.9,33.5,2.1,0.0,18.4,20.6,105.0,127.0,0.1,5e7d1bcc-4bda-44f7-ab39-7db8e75ed764,WAS,IND,Away,120,143,0
Delon Wright,1,25.316666666666666,3,8,0.375,1,1,1.0,1,1,1.0,1,5,6,6,3,0,0,1,8,-15.0,0.474,0.438,0.125,0.125,3.6,21.5,11.8,29.7,5.1,0.0,0.0,13.0,125.0,121.0,3.1,5e7d1bcc-4bda-44f7-ab39-7db8e75ed764,WAS,IND,Away,120,143,0
Corey Kispert,1,24.45,4,11,0.364,1,5,0.2,2,2,1.0,2,3,5,1,0,0,1,1,11,-8.0,0.463,0.409,0.455,0.182,7.6,13.4,10.2,5.4,0.0,0.0,7.8,20.6,98.0,135.0,-9.9,5e7d1bcc-4bda-44f7-ab39-7db8e75ed764,WAS,IND,Away,120,143,0
Bilal Coulibaly,1,23.133333333333333,1,3,0.333,1,1,1.0,0,0,0.0,0,4,4,3,0,3,3,1,3,-13.0,0.5,0.5,0.333,0.0,0.0,18.9,8.6,14.8,0.0,9.7,50.0,10.1,65.0,126.0,-4.7,5e7d1bcc-4bda-44f7-ab39-7db8e75ed764,WAS,IND,Away,120,143,0
Danilo Gallinari,1,17.166666666666668,4,7,0.571,2,2,1.0,6,6,1.0,2,1,3,0,0,0,0,1,16,5.0,0.83,0.714,0.286,0.857,10.8,6.4,8.7,0.0,0.0,0.0,0.0,22.0,174.0,136.0,6.9,5e7d1bcc-4bda-44f7-ab39-7db8e75ed764,WAS,IND,Away,120,143,0
Mike Muscala,1,8.166666666666666,0,0,0.0,0,0,0.0,0,0,0.0,0,3,3,0,0,0,0,0,0,-8.0,0.0,0.0,0.0,0.0,0.0,40.1,18.4,0.0,0.0,0.0,0.0,0.0,0.0,129.0,-7.6,5e7d1bcc-4bda-44f7-ab39-7db8e75ed764,WAS,IND,Away,120,143,0
Eugene Omoruyi,1,7.766666666666667,2,3,0.667,0,0,0.0,0,0,0.0,1,1,2,1,0,0,1,0,4,-2.0,0.667,0.667,0.0,0.0,11.9,14.0,12.9,19.5,0.0,0.0,25.0,20.1,109.0,135.0,-3.7,5e7d1bcc-4bda-44f7-ab39-7db8e75ed764,WAS,IND,Away,120,143,0
Ryan Rollins,1,6.0,0,3,0.0,0,0,0.0,1,2,0.5,0,3,3,1,0,0,1,0,1,-1.0,0.129,0.0,0.0,0.667,0.0,54.5,25.0,18.2,0.0,0.0,20.5,31.8,34.0,127.0,-27.9,5e7d1bcc-4bda-44f7-ab39-7db8e75ed764,WAS,IND,Away,120,143,0
Jared Butler,1,3.3833333333333333,1,2,0.5,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,3,2.0,0.75,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.1,132.0,137.0,5.4,5e7d1bcc-4bda-44f7-ab39-7db8e75ed764,WAS,IND,Away,120,143,0
