mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,opp_mp,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_game_score,opp_plus_minus,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_usg_pct,opp_off_rtg,opp_def_rtg,opp_bpm
240,39,93,.419,5,29,.172,27,33,.818,12,30,42,24,12,1,12,19,110,,,.512,.446,.312,.355,23.5,71.4,45.2,61.5,11.6,2.0,10.0,100.0,106.4,112.2,,240,43,86,.500,11,37,.297,19,26,.731,12,39,51,34,5,3,19,21,116,,,.595,.564,.430,.302,28.6,76.5,54.8,79.1,4.8,4.7,16.3,100.0,112.2,106.4,
240,42,87,.483,12,32,.375,24,30,.800,9,35,44,28,7,6,14,20,120,,,.599,.552,.368,.345,21.4,74.5,49.4,66.7,6.8,13.0,12.3,100.0,115.9,121.7,,240,43,90,.478,20,44,.455,20,28,.714,12,33,45,30,9,6,16,21,126,,,.616,.589,.489,.311,25.5,78.6,50.6,69.8,8.7,10.9,13.5,100.0,121.7,115.9,
240,47,93,.505,15,37,.405,18,22,.818,13,33,46,32,15,2,17,17,127,,,.618,.586,.398,.237,32.5,73.3,54.1,68.1,14.5,4.8,14.2,100.0,123.1,106.6,,240,39,86,.453,16,44,.364,16,20,.800,12,27,39,22,10,3,23,22,110,,,.580,.547,.512,.233,26.7,67.5,45.9,56.4,9.7,5.4,19.5,100.0,106.6,123.1,
240,48,86,.558,14,30,.467,17,18,.944,4,32,36,28,6,7,11,12,127,,,.676,.640,.349,.209,12.5,76.2,48.6,58.3,6.1,12.3,10.5,100.0,128.7,114.5,,240,44,90,.489,16,33,.485,9,15,.600,10,28,38,24,5,5,14,17,113,,,.585,.578,.367,.167,23.8,87.5,51.4,54.5,5.1,8.9,12.7,100.0,114.5,128.7,
240,46,92,.500,9,32,.281,29,32,.906,14,43,57,26,8,3,21,16,130,,,.613,.549,.348,.348,32.6,87.8,62.0,56.5,7.2,4.9,16.5,100.0,117.7,109.6,,240,51,101,.505,10,40,.250,9,14,.643,6,29,35,32,14,3,11,25,121,,,.565,.554,.396,.139,12.2,67.4,38.0,62.7,12.7,5.0,9.3,100.0,109.6,117.7,
240,45,93,.484,14,41,.341,19,24,.792,19,33,52,28,4,6,13,16,123,,,.594,.559,.441,.258,42.2,78.6,59.8,62.2,4.3,11.3,11.2,100.0,131.4,112.2,,240,40,84,.476,8,31,.258,17,21,.810,9,26,35,24,9,7,11,15,105,,,.563,.524,.369,.250,21.4,57.8,40.2,60.0,9.6,13.5,10.6,100.0,112.2,131.4,
240,38,102,.373,14,42,.333,27,32,.844,25,34,59,27,8,3,15,16,117,,,.504,.441,.412,.314,39.7,75.6,54.6,71.1,7.8,5.1,11.4,100.0,113.6,122.3,,240,45,94,.479,14,35,.400,22,23,.957,11,38,49,27,7,7,13,22,126,,,.605,.553,.372,.245,24.4,60.3,45.4,60.0,6.8,11.7,11.1,100.0,122.3,113.6,
240,41,85,.482,15,39,.385,23,30,.767,8,28,36,22,13,7,18,25,120,,,.611,.571,.459,.353,21.6,60.9,43.4,53.7,12.5,11.1,15.5,100.0,115.5,114.6,,240,42,90,.467,10,27,.370,25,35,.714,18,29,47,19,12,6,19,24,119,,,.565,.522,.300,.389,39.1,78.4,56.6,45.2,11.6,13.0,15.3,100.0,114.6,115.5,
240,38,87,.437,18,46,.391,15,18,.833,15,33,48,23,6,6,22,19,109,,,.574,.540,.529,.207,31.9,82.5,55.2,60.5,6.0,13.0,18.8,100.0,108.8,116.8,,240,41,84,.488,12,38,.316,23,25,.920,7,32,39,23,10,4,15,14,117,,,.616,.560,.452,.298,17.5,68.1,44.8,56.1,10.0,9.8,13.6,100.0,116.8,108.8,
240,45,87,.517,12,33,.364,24,26,.923,10,31,41,28,9,7,14,19,126,,,.640,.586,.379,.299,26.3,68.9,49.4,62.2,8.9,11.5,12.5,100.0,125.1,119.1,,240,47,90,.522,10,29,.345,16,23,.696,14,28,42,36,9,6,17,20,120,,,.599,.578,.322,.256,31.1,73.7,50.6,76.6,8.9,11.1,14.5,100.0,119.1,125.1,
